ISO,Year,Variable,Value
AFG,1961,TLA,65286.0
AFG,1962,TLA,65286.0
AFG,1963,TLA,65286.0
AFG,1964,TLA,65286.0
AFG,1965,TLA,65286.0
AFG,1966,TLA,65286.0
AFG,1967,TLA,65286.0
AFG,1968,TLA,65286.0
AFG,1969,TLA,65286.0
AFG,1970,TLA,65286.0
AFG,1971,TLA,65286.0
AFG,1972,TLA,65286.0
AFG,1973,TLA,65286.0
AFG,1974,TLA,65286.0
AFG,1975,TLA,65286.0
AFG,1976,TLA,65286.0
AFG,1977,TLA,65286.0
AFG,1978,TLA,65286.0
AFG,1979,TLA,65286.0
AFG,1980,TLA,65286.0
AFG,1981,TLA,65286.0
AFG,1982,TLA,65286.0
AFG,1983,TLA,65286.0
AFG,1984,TLA,65286.0
AFG,1985,TLA,65286.0
AFG,1986,TLA,65286.0
AFG,1987,TLA,65286.0
AFG,1988,TLA,65286.0
AFG,1989,TLA,65286.0
AFG,1990,TLA,65286.0
AFG,1991,TLA,65286.0
AFG,1992,TLA,65286.0
AFG,1993,TLA,65286.0
AFG,1994,TLA,65286.0
AFG,1995,TLA,65286.0
AFG,1996,TLA,65286.0
AFG,1997,TLA,65286.0
AFG,1998,TLA,65286.0
AFG,1999,TLA,65286.0
AFG,2000,TLA,65286.0
AFG,2001,TLA,65286.0
AFG,2002,TLA,65286.0
AFG,2003,TLA,65286.0
AFG,2004,TLA,65286.0
AFG,2005,TLA,65286.0
AFG,2006,TLA,65286.0
AFG,2007,TLA,65286.0
AFG,2008,TLA,65286.0
AFG,2009,TLA,65286.0
AFG,2010,TLA,65286.0
AFG,2011,TLA,65286.0
AFG,2012,TLA,65286.0
AFG,2013,TLA,65286.0
AFG,2014,TLA,65286.0
AFG,2015,TLA,65286.0
AFG,2016,TLA,65286.0
AFG,2017,TLA,65286.0
AFG,2018,TLA,65286.0
ALB,1961,TLA,2740.0
ALB,1962,TLA,2740.0
ALB,1963,TLA,2740.0
ALB,1964,TLA,2740.0
ALB,1965,TLA,2740.0
ALB,1966,TLA,2740.0
ALB,1967,TLA,2740.0
ALB,1968,TLA,2740.0
ALB,1969,TLA,2740.0
ALB,1970,TLA,2740.0
ALB,1971,TLA,2740.0
ALB,1972,TLA,2740.0
ALB,1973,TLA,2740.0
ALB,1974,TLA,2740.0
ALB,1975,TLA,2740.0
ALB,1976,TLA,2740.0
ALB,1977,TLA,2740.0
ALB,1978,TLA,2740.0
ALB,1979,TLA,2740.0
ALB,1980,TLA,2740.0
ALB,1981,TLA,2740.0
ALB,1982,TLA,2740.0
ALB,1983,TLA,2740.0
ALB,1984,TLA,2740.0
ALB,1985,TLA,2740.0
ALB,1986,TLA,2740.0
ALB,1987,TLA,2740.0
ALB,1988,TLA,2740.0
ALB,1989,TLA,2740.0
ALB,1990,TLA,2740.0
ALB,1991,TLA,2740.0
ALB,1992,TLA,2740.0
ALB,1993,TLA,2740.0
ALB,1994,TLA,2740.0
ALB,1995,TLA,2740.0
ALB,1996,TLA,2740.0
ALB,1997,TLA,2740.0
ALB,1998,TLA,2740.0
ALB,1999,TLA,2740.0
ALB,2000,TLA,2740.0
ALB,2001,TLA,2740.0
ALB,2002,TLA,2740.0
ALB,2003,TLA,2740.0
ALB,2004,TLA,2740.0
ALB,2005,TLA,2740.0
ALB,2006,TLA,2740.0
ALB,2007,TLA,2740.0
ALB,2008,TLA,2740.0
ALB,2009,TLA,2740.0
ALB,2010,TLA,2740.0
ALB,2011,TLA,2740.0
ALB,2012,TLA,2740.0
ALB,2013,TLA,2740.0
ALB,2014,TLA,2740.0
ALB,2015,TLA,2740.0
ALB,2016,TLA,2740.0
ALB,2017,TLA,2740.0
ALB,2018,TLA,2740.0
DZA,1961,TLA,238174.0
DZA,1962,TLA,238174.0
DZA,1963,TLA,238174.0
DZA,1964,TLA,238174.0
DZA,1965,TLA,238174.0
DZA,1966,TLA,238174.0
DZA,1967,TLA,238174.0
DZA,1968,TLA,238174.0
DZA,1969,TLA,238174.0
DZA,1970,TLA,238174.0
DZA,1971,TLA,238174.0
DZA,1972,TLA,238174.0
DZA,1973,TLA,238174.0
DZA,1974,TLA,238174.0
DZA,1975,TLA,238174.0
DZA,1976,TLA,238174.0
DZA,1977,TLA,238174.0
DZA,1978,TLA,238174.0
DZA,1979,TLA,238174.0
DZA,1980,TLA,238174.0
DZA,1981,TLA,238174.0
DZA,1982,TLA,238174.0
DZA,1983,TLA,238174.0
DZA,1984,TLA,238174.0
DZA,1985,TLA,238174.0
DZA,1986,TLA,238174.0
DZA,1987,TLA,238174.0
DZA,1988,TLA,238174.0
DZA,1989,TLA,238174.0
DZA,1990,TLA,238174.0
DZA,1991,TLA,238174.0
DZA,1992,TLA,238174.0
DZA,1993,TLA,238174.0
DZA,1994,TLA,238174.0
DZA,1995,TLA,238174.0
DZA,1996,TLA,238174.0
DZA,1997,TLA,238174.0
DZA,1998,TLA,238174.0
DZA,1999,TLA,238174.0
DZA,2000,TLA,238174.0
DZA,2001,TLA,238174.0
DZA,2002,TLA,238174.0
DZA,2003,TLA,238174.0
DZA,2004,TLA,238174.0
DZA,2005,TLA,238174.0
DZA,2006,TLA,238174.0
DZA,2007,TLA,238174.0
DZA,2008,TLA,238174.0
DZA,2009,TLA,238174.0
DZA,2010,TLA,238174.0
DZA,2011,TLA,238174.0
DZA,2012,TLA,238174.0
DZA,2013,TLA,238174.0
DZA,2014,TLA,238174.0
DZA,2015,TLA,238174.1
DZA,2016,TLA,238174.1
DZA,2017,TLA,238174.1
DZA,2018,TLA,238174.1
ASM,1961,TLA,20.0
ASM,1962,TLA,20.0
ASM,1963,TLA,20.0
ASM,1964,TLA,20.0
ASM,1965,TLA,20.0
ASM,1966,TLA,20.0
ASM,1967,TLA,20.0
ASM,1968,TLA,20.0
ASM,1969,TLA,20.0
ASM,1970,TLA,20.0
ASM,1971,TLA,20.0
ASM,1972,TLA,20.0
ASM,1973,TLA,20.0
ASM,1974,TLA,20.0
ASM,1975,TLA,20.0
ASM,1976,TLA,20.0
ASM,1977,TLA,20.0
ASM,1978,TLA,20.0
ASM,1979,TLA,20.0
ASM,1980,TLA,20.0
ASM,1981,TLA,20.0
ASM,1982,TLA,20.0
ASM,1983,TLA,20.0
ASM,1984,TLA,20.0
ASM,1985,TLA,20.0
ASM,1986,TLA,20.0
ASM,1987,TLA,20.0
ASM,1988,TLA,20.0
ASM,1989,TLA,20.0
ASM,1990,TLA,20.0
ASM,1991,TLA,20.0
ASM,1992,TLA,20.0
ASM,1993,TLA,20.0
ASM,1994,TLA,20.0
ASM,1995,TLA,20.0
ASM,1996,TLA,20.0
ASM,1997,TLA,20.0
ASM,1998,TLA,20.0
ASM,1999,TLA,20.0
ASM,2000,TLA,20.0
ASM,2001,TLA,20.0
ASM,2002,TLA,20.0
ASM,2003,TLA,20.0
ASM,2004,TLA,20.0
ASM,2005,TLA,20.0
ASM,2006,TLA,20.0
ASM,2007,TLA,20.0
