ISO,Year,AGVA
ABW,1980,0.0
ABW,1981,0.0
ABW,1982,0.0
ABW,1983,0.0
ABW,1984,0.0
ABW,1985,0.0
ABW,1986,0.0
ABW,1987,0.0
ABW,1988,0.0
ABW,1989,0.0
ABW,1990,0.0
ABW,1991,0.0
ABW,1992,0.0
ABW,1993,0.0
ABW,1994,0.0
ABW,1995,0.0
ABW,1996,0.0
ABW,1997,0.0
ABW,1998,0.0
ABW,1999,0.0
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
ABW,2020,0.0
ABW,2021,0.0
ABW,2022,0.0
ABW,2023,0.0
ABW,2024,0.0
ABW,2025,0.0
ABW,2026,0.0
ABW,2027,0.0
ABW,2028,0.0
ABW,2029,0.0
ABW,2030,0.0
ABW,2031,0.0
ABW,2032,0.0
ABW,2033,0.0
ABW,2034,0.0
ABW,2035,0.0
ABW,2036,0.0
ABW,2037,0.0
ABW,2038,0.0
ABW,2039,0.0
ABW,2040,0.0
ABW,2041,0.0
ABW,2042,0.0
ABW,2043,0.0
ABW,2044,0.0
ABW,2045,0.0
ABW,2046,0.0
ABW,2047,0.0
ABW,2048,0.0
ABW,2049,0.0
ABW,2050,0.0
AFG,1980,3524212368.71544
AFG,1981,3524212368.71544
AFG,1982,3524212368.71544
AFG,1983,3524212368.71544
AFG,1984,3524212368.71544
AFG,1985,3524212368.71544
AFG,1986,3524212368.71544
AFG,1987,3524212368.71544
AFG,1988,3524212368.71544
AFG,1989,3524212368.71544
AFG,1990,3524212368.71544
AFG,1991,3524212368.71544
AFG,1992,3524212368.71544
AFG,1993,3524212368.71544
AFG,1994,3524212368.71544
AFG,1995,3524212368.71544
AFG,1996,3524212368.71544
AFG,1997,3524212368.71544
AFG,1998,3524212368.71544
AFG,1999,3524212368.71544
AFG,2000,3524212368.71544
AFG,2001,3524212368.71544
AFG,2002,3524212368.71544
AFG,2003,3622830768.2193
AFG,2004,2817245219.04069
AFG,2005,3315844185.05257
AFG,2006,3146429376.79179
AFG,2007,3608968537.41894
AFG,2008,3070642889.49297
AFG,2009,4439012095.60165
AFG,2010,4156019104.80349
AFG,2011,3840480688.49077
AFG,2012,4540400206.66313
AFG,2013,4540639369.18515
AFG,2014,4536066713.18543
