ISO,Year,CL
ABW,1980,2.0
ABW,1981,2.0
ABW,1982,2.0
ABW,1983,2.0
ABW,1984,2.0
ABW,1985,2.0
ABW,1986,2.0
ABW,1987,2.0
ABW,1988,2.0
ABW,1989,2.0
ABW,1990,2.0
ABW,1991,2.0
ABW,1992,2.0
ABW,1993,2.0
ABW,1994,2.0
ABW,1995,2.0
ABW,1996,2.0
ABW,1997,2.0
ABW,1998,2.0
ABW,1999,2.0
ABW,2000,2.0
ABW,2001,2.0
ABW,2002,2.0
ABW,2003,2.0
ABW,2004,2.0
ABW,2005,2.0
ABW,2006,2.0
ABW,2007,2.0
ABW,2008,2.0
ABW,2009,2.0
ABW,2010,2.0
ABW,2011,2.0
ABW,2012,2.0
ABW,2013,2.0
ABW,2014,2.0
ABW,2015,2.0
ABW,2016,2.0
ABW,2017,2.0
ABW,2018,2.0
ABW,2019,2.0
ABW,2020,2.02
ABW,2021,2.0402
ABW,2022,2.0606020000000003
ABW,2023,2.08120802
ABW,2024,2.1020201002000003
ABW,2025,2.1230403012020003
ABW,2026,2.14427070421402
ABW,2027,2.1657134112561605
ABW,2028,2.1873705453687218
ABW,2029,2.209244250822409
ABW,2030,2.231336693330633
ABW,2031,2.2536500602639395
ABW,2032,2.276186560866579
ABW,2033,2.298948426475245
ABW,2034,2.3219379107399973
ABW,2035,2.3451572898473976
ABW,2036,2.3686088627458712
ABW,2037,2.39229495137333
ABW,2038,2.4162179008870632
ABW,2039,2.440380079895934
ABW,2040,2.4647838806948936
ABW,2041,2.4894317195018423
ABW,2042,2.5143260366968607
ABW,2043,2.5394692970638295
ABW,2044,2.5648639900344676
ABW,2045,2.5905126299348127
ABW,2046,2.616417756234161
ABW,2047,2.642581933796502
ABW,2048,2.6690077531344674
ABW,2049,2.695697830665812
ABW,2050,2.7226548089724703
AFG,1980,8049.0
AFG,1981,8053.0
AFG,1982,8054.0
AFG,1983,8054.0
AFG,1984,8054.0
AFG,1985,8054.0
AFG,1986,8054.0
AFG,1987,8045.0
AFG,1988,8040.0
AFG,1989,8040.0
AFG,1990,8040.0
AFG,1991,8030.0
AFG,1992,8030.0
AFG,1993,7934.0
AFG,1994,7813.0
AFG,1995,7753.0
AFG,1996,7752.0
AFG,1997,7790.0
AFG,1998,7867.0
AFG,1999,7753.0
AFG,2000,7753.0
AFG,2001,7753.0
AFG,2002,7753.0
AFG,2003,7910.0
AFG,2004,7911.0
AFG,2005,7910.0
AFG,2006,7910.0
AFG,2007,7910.0
AFG,2008,7910.0
AFG,2009,7910.0
AFG,2010,7911.0
AFG,2011,7910.0
AFG,2012,7910.0
AFG,2013,7910.0
AFG,2014,7910.0
AFG,2015,7910.0
AFG,2016,7910.0
AFG,2017,7910.0
AFG,2018,7919.0
AFG,2019,7919.0
AFG,2020,7998.1900000000005
AFG,2021,8078.1719
AFG,2022,8158.953619000001
AFG,2023,8240.54315519
AFG,2024,8322.9485867419
AFG,2025,8406.17807260932
AFG,2026,8490.239853335413
AFG,2027,8575.142251868767
AFG,2028,8660.893674387455
AFG,2029,8747.50261113133
AFG,2030,8834.977637242642
AFG,2031,8923.327413615069
AFG,2032,9012.56068775122
AFG,2033,9102.686294628733
AFG,2034,9193.713157575019
AFG,2035,9285.65028915077
AFG,2036,9378.506792042277
AFG,2037,9472.291859962701
AFG,2038,9567.014778562327
AFG,2039,9662.68492634795
AFG,2040,9759.311775611432
AFG,2041,9856.904893367544
AFG,2042,9955.47394230122
AFG,2043,10055.028681724232
