ISO,Year,Item,Kc
AFG,2011,barley,0.7
AFG,2011,cotton,0.9
AFG,2011,fruit,0.755142424242424
AFG,2011,grapes,0.508333333333333
AFG,2011,maize,1.2
AFG,2011,potatoes,0.952
AFG,2011,pulses,0.634
AFG,2011,rice,1.125
AFG,2011,sesame,0.675
AFG,2011,sugar beet,0.751666666666667
AFG,2011,sugarcane,0.8
AFG,2011,sunflower,0.35
AFG,2011,vegetables,0.9
AFG,2011,wheat,1.15
AGO,2005,cassava,0.67575
AGO,2005,maize,1.2
AGO,2005,potatoes,0.952
AGO,2005,pulses,0.634
AGO,2005,sweet potatoes,0.9
AGO,2005,temporary crops,0.0
AGO,2005,vegetables,0.9
ALB,2006,cereals,0.616666666666667
ALB,2006,forage,0.8
ALB,2006,fruit,0.755142424242424
ALB,2006,maize,1.2
ALB,2006,potatoes,0.952
ALB,2006,pulses,0.634
ALB,2006,rapeseed,0.35
ALB,2006,vegetables,0.9
ALB,2006,wheat,1.15
ARE,2003,forage,0.8
ARE,2003,fruit,0.755142424242424
ARE,2003,palm,0.933333333333333
ARE,2003,vegetables,0.9
ARG,2008,citrus,0.6
ARG,2008,cotton,0.9
ARG,2008,forage,0.8
ARG,2008,fruit,0.755142424242424
ARG,2008,maize,1.2
ARG,2008,oil crops,0.616666666666667
ARG,2008,potatoes,0.952
ARG,2008,pulses,0.634
ARG,2008,rice,1.125
ARG,2008,sorghum,0.84
ARG,2008,sugarcane,0.8
ARG,2008,tobacco,0.0
ARG,2008,vegetables,0.9
ARG,2008,wheat,1.15
ARM,2006,barley,0.7
ARM,2006,forage,0.8
ARM,2006,fruit,0.755142424242424
ARM,2006,grapes,0.508333333333333
ARM,2006,maize,1.2
ARM,2006,potatoes,0.952
ARM,2006,pulses,0.634
ARM,2006,rapeseed,0.35
ARM,2006,vegetables,0.9
ARM,2006,wheat,1.15
ATG,2014,fruit,0.755142424242424
ATG,2014,vegetables,0.9
AUS,2013,cereals,0.616666666666667
AUS,2013,cotton,0.9
AUS,2013,flowers,0.0
AUS,2013,forage,0.8
AUS,2013,fruit,0.755142424242424
AUS,2013,grapes,0.508333333333333
AUS,2013,other permanent crop,0.0
AUS,2013,pastures,0.6125
AUS,2013,rice,1.125
AUS,2013,sugarcane,0.8
AUS,2013,temporary crops,0.0
AUS,2013,vegetables,0.9
AUT,2007,cereals,0.616666666666667
AUT,2007,fruit,0.755142424242424
AUT,2007,maize,1.2
AUT,2007,oil crops,0.616666666666667
AUT,2007,potatoes,0.952
AUT,2007,pulses,0.634
AUT,2007,sugar beet,0.751666666666667
AUT,2007,vegetables,0.9
AZE,2004,barley,0.7
AZE,2004,cereals,0.616666666666667
AZE,2004,cotton,0.9
AZE,2004,forage,0.8
AZE,2004,fruit,0.755142424242424
AZE,2004,maize,1.2
AZE,2004,potatoes,0.952
AZE,2004,sugar beet,0.751666666666667
AZE,2004,sunflower,0.35
AZE,2004,tea,1.06666666666667
AZE,2004,temporary crops,0.0
AZE,2004,tobacco,0.0
AZE,2004,vegetables,0.9
AZE,2004,wheat,1.15
BDI,2000,coffee,1.00833333333333
BDI,2000,rice,1.125
BDI,2000,sugarcane,0.8
BDI,2000,vegetables,0.9
BEL,2007,barley,0.7
BEL,2007,fruit,0.755142424242424
BEL,2007,potatoes,0.952
BEL,2007,sugar beet,0.751666666666667
BEN,2008,rice,1.125
BEN,2008,roots,0.85
BEN,2008,sugarcane,0.8
BEN,2008,vegetables,0.9
BFA,2011,fruit,0.755142424242424
BFA,2011,maize,1.2
BFA,2011,rice,1.125
BFA,2011,roots,0.85
BFA,2011,sugarcane,0.8
BFA,2011,vegetables,0.9
BGD,2008,cereals,0.616666666666667
BGD,2008,cotton,0.9
BGD,2008,maize,1.2
BGD,2008,potatoes,0.952
BGD,2008,pulses,0.634
BGD,2008,rice,1.125
BGD,2008,sesame,0.675
BGD,2008,sugarcane,0.8
BGD,2008,tea,1.06666666666667
BGD,2008,temporary crops,0.0
BGD,2008,tobacco,0.0
BGD,2008,vegetables,0.9
BGD,2008,wheat,1.15
BGR,2007,cotton,0.9
BGR,2007,forage,0.8
BGR,2007,fruit,0.755142424242424
BGR,2007,maize,1.2
BGR,2007,potatoes,0.952
BGR,2007,pulses,0.634
BGR,2007,rapeseed,0.35
BGR,2007,rice,1.125
BGR,2007,sunflower,0.35
BGR,2007,tobacco,0.0
BGR,2007,vegetables,0.9
BHR,2000,dates,0.0
BHR,2000,forage,0.8
BHR,2000,vegetables,0.9
BHS,2009,bananas,1.0
BHS,2009,fruit,0.755142424242424
BHS,2009,maize,1.2
