ISO,Year,Pop
ABW,1980,60096.0
ABW,1981,60567.0
ABW,1982,61345.0
ABW,1983,62201.0
ABW,1984,62836.0
ABW,1985,63026.0
ABW,1986,62644.0
ABW,1987,61833.0
ABW,1988,61079.0
ABW,1989,61032.0
ABW,1990,62149.0
ABW,1991,64622.0
ABW,1992,68235.0
ABW,1993,72504.0
ABW,1994,76700.0
ABW,1995,80324.0
ABW,1996,83200.0
ABW,1997,85451.0
ABW,1998,87277.0
ABW,1999,89005.0
ABW,2000,90853.0
ABW,2001,92898.0
ABW,2002,94992.0
ABW,2003,97017.0
ABW,2004,98737.0
ABW,2005,100031.0
ABW,2006,100834.0
ABW,2007,101222.0
ABW,2008,101358.0
ABW,2009,101455.0
ABW,2010,101669.0
ABW,2011,102046.0
ABW,2012,102560.0
ABW,2013,103159.0
ABW,2014,103774.0
ABW,2015,104341.0
ABW,2016,104872.0
ABW,2017,105366.0
ABW,2018,105845.0
ABW,2019,106314.0
ABW,2020,106314.0
ABW,2021,106314.0
ABW,2022,106314.0
ABW,2023,106314.0
ABW,2024,106314.0
ABW,2025,106314.0
ABW,2026,106314.0
ABW,2027,106314.0
ABW,2028,106314.0
ABW,2029,106314.0
ABW,2030,106314.0
ABW,2031,106314.0
ABW,2032,106314.0
ABW,2033,106314.0
ABW,2034,106314.0
ABW,2035,106314.0
ABW,2036,106314.0
ABW,2037,106314.0
ABW,2038,106314.0
ABW,2039,106314.0
ABW,2040,106314.0
ABW,2041,106314.0
ABW,2042,106314.0
ABW,2043,106314.0
ABW,2044,106314.0
ABW,2045,106314.0
ABW,2046,106314.0
ABW,2047,106314.0
ABW,2048,106314.0
ABW,2049,106314.0
ABW,2050,106314.0
AFG,1980,13356511.0
AFG,1981,13171673.0
AFG,1982,12882528.0
AFG,1983,12537730.0
AFG,1984,12204292.0
AFG,1985,11938208.0
AFG,1986,11736179.0
AFG,1987,11604534.0
AFG,1988,11618005.0
AFG,1989,11868877.0
AFG,1990,12412308.0
AFG,1991,13299017.0
AFG,1992,14485546.0
AFG,1993,15816603.0
AFG,1994,17075727.0
AFG,1995,18110657.0
AFG,1996,18853437.0
AFG,1997,19357126.0
AFG,1998,19737765.0
AFG,1999,20170844.0
AFG,2000,20779953.0
AFG,2001,21606988.0
AFG,2002,22600770.0
AFG,2003,23680871.0
AFG,2004,24726684.0
AFG,2005,25654277.0
AFG,2006,26433049.0
AFG,2007,27100536.0
AFG,2008,27722276.0
AFG,2009,28394813.0
AFG,2010,29185507.0
AFG,2011,30117413.0
AFG,2012,31161376.0
AFG,2013,32269589.0
AFG,2014,33370794.0
AFG,2015,34413603.0
AFG,2016,35383128.0
AFG,2017,36296400.0
AFG,2018,37172386.0
AFG,2019,38041754.0
AFG,2020,38041754.0
AFG,2021,38041754.0
AFG,2022,38041754.0
AFG,2023,38041754.0
AFG,2024,38041754.0
AFG,2025,38041754.0
AFG,2026,38041754.0
AFG,2027,38041754.0
