ISO,Year,SGVA
ABW,1980,0.0
ABW,1981,0.0
ABW,1982,0.0
ABW,1983,0.0
ABW,1984,0.0
ABW,1985,0.0
ABW,1986,0.0
ABW,1987,0.0
ABW,1988,0.0
ABW,1989,0.0
ABW,1990,0.0
ABW,1991,0.0
ABW,1992,0.0
ABW,1993,0.0
ABW,1994,0.0
ABW,1995,0.0
ABW,1996,0.0
ABW,1997,0.0
ABW,1998,0.0
ABW,1999,0.0
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
ABW,2020,0.0
ABW,2021,0.0
ABW,2022,0.0
ABW,2023,0.0
ABW,2024,0.0
ABW,2025,0.0
ABW,2026,0.0
ABW,2027,0.0
ABW,2028,0.0
ABW,2029,0.0
ABW,2030,0.0
ABW,2031,0.0
ABW,2032,0.0
ABW,2033,0.0
ABW,2034,0.0
ABW,2035,0.0
ABW,2036,0.0
ABW,2037,0.0
ABW,2038,0.0
ABW,2039,0.0
ABW,2040,0.0
ABW,2041,0.0
ABW,2042,0.0
ABW,2043,0.0
ABW,2044,0.0
ABW,2045,0.0
ABW,2046,0.0
ABW,2047,0.0
ABW,2048,0.0
ABW,2049,0.0
ABW,2050,0.0
AFG,1980,2853190137.15727
AFG,1981,2853190137.15727
AFG,1982,2853190137.15727
AFG,1983,2853190137.15727
AFG,1984,2853190137.15727
AFG,1985,2853190137.15727
AFG,1986,2853190137.15727
AFG,1987,2853190137.15727
AFG,1988,2853190137.15727
AFG,1989,2853190137.15727
AFG,1990,2853190137.15727
AFG,1991,2853190137.15727
AFG,1992,2853190137.15727
AFG,1993,2853190137.15727
AFG,1994,2853190137.15727
AFG,1995,2853190137.15727
AFG,1996,2853190137.15727
AFG,1997,2853190137.15727
AFG,1998,2853190137.15727
AFG,1999,2853190137.15727
AFG,2000,2853190137.15727
AFG,2001,2853190137.15727
AFG,2002,2853190137.15727
AFG,2003,3182785607.9469
AFG,2004,3589795243.91482
AFG,2005,3783223011.13798
AFG,2006,4037871886.59486
AFG,2007,4832571382.30534
AFG,2008,5550423239.85595
AFG,2009,6548577059.21244
AFG,2010,7750594927.9476
AFG,2011,8509431329.75084
AFG,2012,9671593276.01589
AFG,2013,10428545549.4796
AFG,2014,10900974717.3206
