ISO,Year,CL
ABW,1961,2.0
ABW,1962,2.0
ABW,1963,2.0
ABW,1964,2.0
ABW,1965,2.0
ABW,1966,2.0
ABW,1967,2.0
ABW,1968,2.0
ABW,1969,2.0
ABW,1970,2.0
ABW,1971,2.0
ABW,1972,2.0
ABW,1973,2.0
ABW,1974,2.0
ABW,1975,2.0
ABW,1976,2.0
ABW,1977,2.0
ABW,1978,2.0
ABW,1979,2.0
ABW,1980,2.0
ABW,1981,2.0
ABW,1982,2.0
ABW,1983,2.0
ABW,1984,2.0
ABW,1985,2.0
ABW,1986,2.0
ABW,1987,2.0
ABW,1988,2.0
ABW,1989,2.0
ABW,1990,2.0
ABW,1991,2.0
ABW,1992,2.0
ABW,1993,2.0
ABW,1994,2.0
ABW,1995,2.0
ABW,1996,2.0
ABW,1997,2.0
ABW,1998,2.0
ABW,1999,2.0
ABW,2000,2.0
ABW,2001,2.0
ABW,2002,2.0
ABW,2003,2.0
ABW,2004,2.0
ABW,2005,2.0
ABW,2006,2.0
ABW,2007,2.0
ABW,2008,2.0
ABW,2009,2.0
ABW,2010,2.0
ABW,2011,2.0
ABW,2012,2.0
ABW,2013,2.0
ABW,2014,2.0
ABW,2015,2.0
ABW,2016,2.0
ABW,2017,2.0
ABW,2018,2.0
AFG,1961,7700.0
AFG,1962,7760.0
AFG,1963,7810.0
AFG,1964,7873.0
AFG,1965,7875.0
AFG,1966,7913.0
AFG,1967,7979.0
AFG,1968,7980.0
AFG,1969,7996.0
AFG,1970,8006.0
AFG,1971,8036.0
AFG,1972,8046.0
AFG,1973,8048.0
AFG,1974,8048.0
AFG,1975,8048.0
AFG,1976,8048.0
AFG,1977,8050.0
AFG,1978,8050.0
AFG,1979,8049.0
AFG,1980,8049.0
AFG,1981,8053.0
AFG,1982,8054.0
AFG,1983,8054.0
AFG,1984,8054.0
AFG,1985,8054.0
AFG,1986,8054.0
AFG,1987,8045.0
AFG,1988,8040.0
AFG,1989,8040.0
AFG,1990,8040.0
AFG,1991,8030.0
AFG,1992,8030.0
AFG,1993,7934.0
AFG,1994,7813.0
AFG,1995,7753.0
AFG,1996,7752.0
AFG,1997,7790.0
AFG,1998,7867.0
AFG,1999,7753.0
AFG,2000,7753.0
AFG,2001,7753.0
AFG,2002,7753.0
AFG,2003,7910.0
AFG,2004,7911.0
AFG,2005,7910.0
AFG,2006,7910.0
AFG,2007,7910.0
AFG,2008,7910.0
AFG,2009,7910.0
AFG,2010,7911.0
AFG,2011,7910.0
AFG,2012,7910.0
AFG,2013,7910.0
AFG,2014,7910.0
AFG,2015,7910.0
AFG,2016,7910.0
AFG,2017,7910.0
AFG,2018,7919.0
AGO,1961,3170.0
AGO,1962,3200.0
AGO,1963,3220.0
AGO,1964,3250.0
AGO,1965,3270.0
AGO,1966,3300.0
AGO,1967,3330.0
AGO,1968,3360.0
