ISO,Year,Item,FIi
AFG,2014,"Almonds, with shell",0.034
AFG,2014,"Anise, badian, fennel, coriander",0.28400000000000003
AFG,2014,Apples,42.144
AFG,2014,Apricots,0.0
AFG,2014,Areca nuts,0.001
AFG,2014,Artichokes,0.0
AFG,2014,Asparagus,0.002
AFG,2014,Avocados,0.001
AFG,2014,Bananas,64.105
AFG,2014,Barley,11.108
AFG,2014,"Beans, dry",0.051000000000000004
AFG,2014,"Beans, green",0.024
AFG,2014,Berries nes,0.001
AFG,2014,"Brazil nuts, with shell",0.0
AFG,2014,"Broad beans, horse beans, dry",0.036000000000000004
AFG,2014,Buckwheat,0.0
AFG,2014,Cabbages and other brassicas,1.693
AFG,2014,Canary seed,0.0
AFG,2014,Carrots and turnips,0.196
AFG,2014,"Cashew nuts, with shell",0.0
AFG,2014,Castor oil seed,0.0
AFG,2014,Cauliflowers and broccoli,0.11900000000000001
AFG,2014,Cereals nes,0.013000000000000001
AFG,2014,Cherries,0.0
AFG,2014,"Cherries, sour",0.0
AFG,2014,Chick peas,3.414
AFG,2014,Chicory roots,0.0
AFG,2014,"Chillies and peppers, dry",0.004
AFG,2014,"Chillies and peppers, green",1.425
AFG,2014,Cinnamon (cannella),0.006
AFG,2014,Cloves,0.0
AFG,2014,"Cocoa, beans",0.508
AFG,2014,Coconuts,0.001
AFG,2014,"Coffee, green",0.016
AFG,2014,Cucumbers and gherkins,4.312
AFG,2014,Dates,17.85
AFG,2014,Eggplants (aubergines),7.285
AFG,2014,"Eggs, hen, in shell",40.612
AFG,2014,"Eggs, other bird, in shell",3.954
AFG,2014,"Fat, camels",0.0
AFG,2014,"Fat, cattle",0.0
AFG,2014,"Fat, goats",0.0
AFG,2014,"Fat, sheep",0.0
AFG,2014,Figs,0.006
AFG,2014,"Fruit, citrus nes",70.61
AFG,2014,"Fruit, fresh nes",11.492
AFG,2014,"Fruit, stone nes",0.0
AFG,2014,"Fruit, tropical fresh nes",0.0
AFG,2014,Garlic,0.031
AFG,2014,Ginger,0.0
AFG,2014,Grapefruit (inc. pomelos),0.022
AFG,2014,Grapes,3.868
AFG,2014,"Groundnuts, with shell",0.381
AFG,2014,"Hazelnuts, with shell",0.045
AFG,2014,Hempseed,0.0
AFG,2014,"Honey, natural",0.231
AFG,2014,Kiwi fruit,3.587
AFG,2014,"Leeks, other alliaceous vegetables",2.747
AFG,2014,Lemons and limes,0.897
AFG,2014,Lentils,0.493
AFG,2014,Lettuce and chicory,0.278
AFG,2014,Linseed,21.202
AFG,2014,Maize,32.788000000000004
AFG,2014,"Maize, green",0.0
AFG,2014,"Mangoes, mangosteens, guavas",2.801
AFG,2014,Meat nes,0.0
AFG,2014,"Meat, buffalo",2.2760000000000002
AFG,2014,"Meat, camel",0.0
AFG,2014,"Meat, cattle",11.747
AFG,2014,"Meat, chicken",42.300000000000004
AFG,2014,"Meat, duck",0.129
AFG,2014,"Meat, game",0.0
AFG,2014,"Meat, goat",0.013000000000000001
AFG,2014,"Meat, goose and guinea fowl",0.004
AFG,2014,"Meat, pig",0.114
AFG,2014,"Meat, rabbit",0.0
AFG,2014,"Meat, sheep",0.423
AFG,2014,"Meat, turkey",0.25
AFG,2014,"Melons, other (inc.cantaloupes)",0.31
AFG,2014,Melonseed,0.015
AFG,2014,"Milk, whole fresh camel",0.0
AFG,2014,"Milk, whole fresh cow",30.198
AFG,2014,"Milk, whole fresh goat",0.0
AFG,2014,"Milk, whole fresh sheep",0.0
AFG,2014,Millet,0.056
AFG,2014,Mushrooms and truffles,0.01
AFG,2014,Mustard seed,0.0
AFG,2014,"Nutmeg, mace and cardamoms",0.088
AFG,2014,Nuts nes,0.007
AFG,2014,Oats,0.0
AFG,2014,Offals nes,0.001
AFG,2014,"Offals, edible, camels",0.0
AFG,2014,"Offals, edible, cattle",3.236
AFG,2014,"Offals, edible, goats",0.0
AFG,2014,"Offals, liver chicken",0.052000000000000005
AFG,2014,"Offals, liver geese",0.0
AFG,2014,"Offals, liver turkeys",0.0
AFG,2014,"Offals, pigs, edible",0.001
AFG,2014,"Offals, sheep,edible",1.306
AFG,2014,Oilseeds nes,0.026000000000000002
AFG,2014,Olives,0.0
AFG,2014,"Onions, dry",9.024000000000001
AFG,2014,Oranges,2.156
AFG,2014,Papayas,0.001
AFG,2014,Peaches and nectarines,0.005
AFG,2014,Pears,0.063
AFG,2014,"Peas, dry",2.716
AFG,2014,"Peas, green",1.2650000000000001
AFG,2014,Pepper (piper spp.),0.095
AFG,2014,Persimmons,0.113
AFG,2014,Pigeon peas,0.0
AFG,2014,Pineapples,0.026000000000000002
AFG,2014,Pistachios,1.987
AFG,2014,Plantains and others,0.11900000000000001
AFG,2014,Plums and sloes,0.117
AFG,2014,Poppy seed,0.0
AFG,2014,Potatoes,150.092
AFG,2014,Pulses nes,37.649
AFG,2014,"Pumpkins, squash and gourds",0.0
AFG,2014,Quinces,0.0
AFG,2014,Quinoa,0.0
AFG,2014,Rapeseed,0.026000000000000002
AFG,2014,Raspberries,0.0
AFG,2014,"Rice, paddy",0.718
AFG,2014,Roots and tubers nes,0.0
AFG,2014,Rye,0.0
AFG,2014,Safflower seed,0.0
AFG,2014,Sesame seed,0.002
AFG,2014,Sorghum,0.0
AFG,2014,Soybeans,0.006
AFG,2014,Spices nes,0.22
AFG,2014,Spinach,0.0
AFG,2014,Strawberries,0.027
AFG,2014,Sugar beet,0.003
AFG,2014,Sugar cane,1.057
AFG,2014,Sunflower seed,2.3930000000000002
AFG,2014,Sweet corn frozen,0.228
AFG,2014,Sweet corn prep or preserved,0.059000000000000004
AFG,2014,Sweet potatoes,0.10300000000000001
AFG,2014,"Tangerines, mandarins, clementines, satsumas",117.33800000000001
AFG,2014,Taro (cocoyam),0.001
AFG,2014,Tea,98.678
AFG,2014,Tomatoes,48.961
AFG,2014,Vanilla,0.007
AFG,2014,"Vegetables, fresh nes",71.806
AFG,2014,"Vegetables, leguminous nes",0.537
AFG,2014,"Walnuts, with shell",0.001
AFG,2014,Watermelons,17.466
AFG,2014,Wheat,78.73
AFG,2014,Yams,0.0
AFG,2015,"Almonds, with shell",0.076
AFG,2015,"Anise, badian, fennel, coriander",1.0
AFG,2015,Apples,0.0
AFG,2015,Apricots,0.0
AFG,2015,Areca nuts,0.002
AFG,2015,Artichokes,0.0
AFG,2015,Asparagus,0.0
AFG,2015,Avocados,0.0
AFG,2015,Bananas,142.518
AFG,2015,Barley,9.198
AFG,2015,"Beans, dry",0.073
AFG,2015,"Beans, green",0.001
AFG,2015,Berries nes,0.002
AFG,2015,"Brazil nuts, with shell",0.0
AFG,2015,"Broad beans, horse beans, dry",0.005
AFG,2015,Buckwheat,0.081
AFG,2015,Cabbages and other brassicas,0.616
AFG,2015,Canary seed,0.0
AFG,2015,Carrots and turnips,0.006
AFG,2015,"Cashew nuts, with shell",0.0
AFG,2015,Castor oil seed,0.06
AFG,2015,Cauliflowers and broccoli,0.011
AFG,2015,Cereals nes,0.034
AFG,2015,Cherries,0.0
AFG,2015,"Cherries, sour",0.0
AFG,2015,Chestnut,0.004
AFG,2015,Chick peas,0.466
AFG,2015,Chicory roots,0.0
AFG,2015,"Chillies and peppers, dry",0.005
AFG,2015,"Chillies and peppers, green",0.005
AFG,2015,Cinnamon (cannella),0.005
AFG,2015,Cloves,0.003
AFG,2015,"Cocoa, beans",0.0
AFG,2015,Coconuts,0.0
AFG,2015,"Coffee, green",0.042
AFG,2015,Cucumbers and gherkins,0.042
AFG,2015,Dates,0.0
AFG,2015,Eggplants (aubergines),0.0
AFG,2015,"Eggs, hen, in shell",36.79
AFG,2015,"Eggs, other bird, in shell",11.632
AFG,2015,"Fat, camels",0.0
AFG,2015,"Fat, cattle",0.0
AFG,2015,"Fat, goats",0.0
AFG,2015,"Fat, sheep",0.0
AFG,2015,Figs,0.0
AFG,2015,"Fruit, citrus nes",27.57
AFG,2015,"Fruit, fresh nes",10.368
AFG,2015,"Fruit, stone nes",0.0
AFG,2015,"Fruit, tropical fresh nes",0.0
AFG,2015,Garlic,0.006
AFG,2015,Ginger,0.017
AFG,2015,Grapefruit (inc. pomelos),0.035
AFG,2015,Grapes,2.036
