ISO,Year,FL
ABW,1961,0.0
ABW,1962,0.0
ABW,1963,0.0
ABW,1964,0.0
ABW,1965,0.0
ABW,1966,0.0
ABW,1967,0.0
ABW,1968,0.0
ABW,1969,0.0
ABW,1970,0.0
ABW,1971,0.0
ABW,1972,0.0
ABW,1973,0.0
ABW,1974,0.0
ABW,1975,0.0
ABW,1976,0.0
ABW,1977,0.0
ABW,1978,0.0
ABW,1979,0.0
ABW,1980,0.0
ABW,1981,0.0
ABW,1982,0.0
ABW,1983,0.0
ABW,1984,0.0
ABW,1985,0.0
ABW,1986,0.0
ABW,1987,0.0
ABW,1988,0.0
ABW,1989,0.0
ABW,1990,0.42
ABW,1991,0.42
ABW,1992,0.42
ABW,1993,0.42
ABW,1994,0.42
ABW,1995,0.42
ABW,1996,0.42
ABW,1997,0.42
ABW,1998,0.42
ABW,1999,0.42
ABW,2000,0.42
ABW,2001,0.42
ABW,2002,0.42
ABW,2003,0.42
ABW,2004,0.42
ABW,2005,0.42
ABW,2006,0.42
ABW,2007,0.42
ABW,2008,0.42
ABW,2009,0.42
ABW,2010,0.42
ABW,2011,0.42
ABW,2012,0.42
ABW,2013,0.42
ABW,2014,0.42
ABW,2015,0.42
ABW,2016,0.42
ABW,2017,0.42
ABW,2018,0.42
AFG,1961,0.0
AFG,1962,0.0
AFG,1963,0.0
AFG,1964,0.0
AFG,1965,0.0
AFG,1966,0.0
AFG,1967,0.0
AFG,1968,0.0
AFG,1969,0.0
AFG,1970,0.0
AFG,1971,0.0
AFG,1972,0.0
AFG,1973,0.0
AFG,1974,0.0
AFG,1975,0.0
AFG,1976,0.0
AFG,1977,0.0
AFG,1978,0.0
AFG,1979,0.0
AFG,1980,0.0
AFG,1981,0.0
AFG,1982,0.0
AFG,1983,0.0
AFG,1984,0.0
AFG,1985,0.0
AFG,1986,0.0
AFG,1987,0.0
AFG,1988,0.0
AFG,1989,0.0
AFG,1990,1208.44
AFG,1991,1208.44
AFG,1992,1208.44
AFG,1993,1208.44
AFG,1994,1208.44
AFG,1995,1208.44
AFG,1996,1208.44
AFG,1997,1208.44
AFG,1998,1208.44
AFG,1999,1208.44
AFG,2000,1208.44
AFG,2001,1208.44
AFG,2002,1208.44
AFG,2003,1208.44
AFG,2004,1208.44
AFG,2005,1208.44
AFG,2006,1208.44
AFG,2007,1208.44
AFG,2008,1208.44
AFG,2009,1208.44
AFG,2010,1208.44
AFG,2011,1208.44
AFG,2012,1208.44
AFG,2013,1208.44
AFG,2014,1208.44
AFG,2015,1208.44
AFG,2016,1208.44
AFG,2017,1208.44
AFG,2018,1208.44
AGO,1961,0.0
AGO,1962,0.0
AGO,1963,0.0
AGO,1964,0.0
AGO,1965,0.0
AGO,1966,0.0
AGO,1967,0.0
AGO,1968,0.0
AGO,1969,0.0
AGO,1970,0.0
AGO,1971,0.0
AGO,1972,0.0
AGO,1973,0.0
AGO,1974,0.0
AGO,1975,0.0
AGO,1976,0.0
AGO,1977,0.0
AGO,1978,0.0
AGO,1979,0.0
AGO,1980,0.0
AGO,1981,0.0
AGO,1982,0.0
AGO,1983,0.0
AGO,1984,0.0
AGO,1985,0.0
AGO,1986,0.0
AGO,1987,0.0
AGO,1988,0.0
AGO,1989,0.0
AGO,1990,79262.78
AGO,1991,79107.363
AGO,1992,78951.946
AGO,1993,78796.529
AGO,1994,78641.112
AGO,1995,78485.695
AGO,1996,78330.278
AGO,1997,78174.861
AGO,1998,78019.444
AGO,1999,77864.027
AGO,2000,77708.61
AGO,2001,77153.549
AGO,2002,76598.488
AGO,2003,76043.427
AGO,2004,75488.366
AGO,2005,74933.305
AGO,2006,74378.244
AGO,2007,73823.183
AGO,2008,73268.122
AGO,2009,72713.061
AGO,2010,72158.0
AGO,2011,71602.938
AGO,2012,71047.876
AGO,2013,70492.814
AGO,2014,69937.752
AGO,2015,69382.69
AGO,2016,68827.62
AGO,2017,68272.57
AGO,2018,67717.51
AIA,1980,0.0
AIA,1981,0.0
AIA,1982,0.0
AIA,1983,0.0
AIA,1984,0.0
AIA,1985,0.0
AIA,1986,0.0
AIA,1987,0.0
AIA,1988,0.0
AIA,1989,0.0
AIA,1990,5.5
AIA,1991,5.5
AIA,1992,5.5
AIA,1993,5.5
AIA,1994,5.5
AIA,1995,5.5
AIA,1996,5.5
AIA,1997,5.5
AIA,1998,5.5
AIA,1999,5.5
AIA,2000,5.5
AIA,2001,5.5
AIA,2002,5.5
AIA,2003,5.5
AIA,2004,5.5
AIA,2005,5.5
AIA,2006,5.5
AIA,2007,5.5
AIA,2008,5.5
AIA,2009,5.5
AIA,2010,5.5
AIA,2011,5.5
AIA,2012,5.5
AIA,2013,5.5
AIA,2014,5.5
AIA,2015,5.5
AIA,2016,5.5
AIA,2017,5.5
AIA,2018,5.5
ALB,1961,0.0
ALB,1962,0.0
ALB,1963,0.0
ALB,1964,0.0
ALB,1965,0.0
ALB,1966,0.0
ALB,1967,0.0
ALB,1968,0.0
ALB,1969,0.0
ALB,1970,0.0
ALB,1971,0.0
ALB,1972,0.0
ALB,1973,0.0
ALB,1974,0.0
ALB,1975,0.0
ALB,1976,0.0
ALB,1977,0.0
ALB,1978,0.0
ALB,1979,0.0
ALB,1980,0.0
ALB,1981,0.0
ALB,1982,0.0
ALB,1983,0.0
ALB,1984,0.0
ALB,1985,0.0
ALB,1986,0.0
ALB,1987,0.0
ALB,1988,0.0
ALB,1989,0.0
ALB,1990,788.8
ALB,1991,786.85
ALB,1992,784.9
ALB,1993,782.95
ALB,1994,781.0
ALB,1995,779.05
ALB,1996,777.1
ALB,1997,775.15
ALB,1998,773.2
ALB,1999,771.25
ALB,2000,769.3
ALB,2001,770.577
ALB,2002,771.854
ALB,2003,773.131
ALB,2004,774.408
ALB,2005,775.685
ALB,2006,776.962
ALB,2007,778.239
ALB,2008,779.516
ALB,2009,780.793
ALB,2010,782.07
ALB,2011,783.4935
ALB,2012,784.917
ALB,2013,786.3405
ALB,2014,787.764
ALB,2015,789.1875
ALB,2016,789.18
ALB,2017,788.9025
ALB,2018,788.9
AND,1961,0.0
AND,1962,0.0
AND,1963,0.0
AND,1964,0.0
AND,1965,0.0
AND,1966,0.0
AND,1967,0.0
AND,1968,0.0
AND,1969,0.0
AND,1970,0.0
AND,1971,0.0
AND,1972,0.0
AND,1973,0.0
AND,1974,0.0
AND,1975,0.0
AND,1976,0.0
AND,1977,0.0
AND,1978,0.0
AND,1979,0.0
AND,1980,0.0
AND,1981,0.0
AND,1982,0.0
AND,1983,0.0
AND,1984,0.0
AND,1985,0.0
AND,1986,0.0
AND,1987,0.0
AND,1988,0.0
AND,1989,0.0
AND,1990,16.0
AND,1991,16.0
AND,1992,16.0
AND,1993,16.0
AND,1994,16.0
AND,1995,16.0
AND,1996,16.0
AND,1997,16.0
AND,1998,16.0
AND,1999,16.0
AND,2000,16.0
AND,2001,16.0
AND,2002,16.0
AND,2003,16.0
AND,2004,16.0
AND,2005,16.0
AND,2006,16.0
AND,2007,16.0
AND,2008,16.0
AND,2009,16.0
AND,2010,16.0
AND,2011,16.0
AND,2012,16.0
AND,2013,16.0
AND,2014,16.0
AND,2015,16.0
AND,2016,16.0
AND,2017,16.0
AND,2018,16.0
ARE,1961,0.0
ARE,1962,0.0
ARE,1963,0.0
ARE,1964,0.0
ARE,1965,0.0
ARE,1966,0.0
ARE,1967,0.0
ARE,1968,0.0
ARE,1969,0.0
ARE,1970,0.0
ARE,1971,0.0
ARE,1972,0.0
ARE,1973,0.0
ARE,1974,0.0
ARE,1975,0.0
ARE,1976,0.0
ARE,1977,0.0
ARE,1978,0.0
ARE,1979,0.0
ARE,1980,0.0
ARE,1981,0.0
