ISO,Year,Item,FPi
AFG,2014,"Almonds, with shell",27.400000000000002
AFG,2014,"Anise, badian, fennel, coriander",21.5
AFG,2014,Apples,89.403
AFG,2014,Apricots,90.0
AFG,2014,Areca nuts,0.0
AFG,2014,Artichokes,0.0
AFG,2014,Asparagus,0.0
AFG,2014,Avocados,0.0
AFG,2014,Bananas,0.0
AFG,2014,Barley,521.0
AFG,2014,"Beans, dry",0.0
AFG,2014,"Beans, green",0.0
AFG,2014,Berries nes,24.822
AFG,2014,"Brazil nuts, with shell",0.0
AFG,2014,"Broad beans, horse beans, dry",0.0
AFG,2014,Buckwheat,0.0
AFG,2014,Cabbages and other brassicas,0.0
AFG,2014,Canary seed,0.0
AFG,2014,Carrots and turnips,0.0
AFG,2014,"Cashew nuts, with shell",0.0
AFG,2014,Castor oil seed,0.0
AFG,2014,Cauliflowers and broccoli,0.0
AFG,2014,Cereals nes,0.0
AFG,2014,Cherries,0.0
AFG,2014,"Cherries, sour",0.002
AFG,2014,Chick peas,0.0
AFG,2014,Chicory roots,0.0
AFG,2014,"Chillies and peppers, dry",0.0
AFG,2014,"Chillies and peppers, green",0.0
AFG,2014,Cinnamon (cannella),0.0
AFG,2014,Cloves,0.0
AFG,2014,"Cocoa, beans",0.0
AFG,2014,Coconuts,0.0
AFG,2014,"Coffee, green",0.0
AFG,2014,Cucumbers and gherkins,0.0
AFG,2014,Dates,0.0
AFG,2014,Eggplants (aubergines),0.0
AFG,2014,"Eggs, hen, in shell",18.5
AFG,2014,"Eggs, other bird, in shell",0.0
AFG,2014,"Fat, camels",0.248
AFG,2014,"Fat, cattle",3.371
AFG,2014,"Fat, goats",1.581
AFG,2014,"Fat, sheep",6.113
AFG,2014,Figs,6.1000000000000005
AFG,2014,"Fruit, citrus nes",3.0
AFG,2014,"Fruit, fresh nes",63.375
AFG,2014,"Fruit, stone nes",46.94
AFG,2014,"Fruit, tropical fresh nes",0.0
AFG,2014,Garlic,0.0
AFG,2014,Ginger,0.0
AFG,2014,Grapefruit (inc. pomelos),0.0
AFG,2014,Grapes,744.847
AFG,2014,"Groundnuts, with shell",0.0
AFG,2014,"Hazelnuts, with shell",0.0
AFG,2014,Hempseed,0.0
AFG,2014,"Honey, natural",1.891
AFG,2014,Kiwi fruit,0.0
AFG,2014,"Leeks, other alliaceous vegetables",0.0
AFG,2014,Lemons and limes,0.0
AFG,2014,Lentils,0.0
AFG,2014,Lettuce and chicory,0.0
AFG,2014,Linseed,2.5
AFG,2014,Maize,316.0
AFG,2014,"Maize, green",0.0
AFG,2014,"Mangoes, mangosteens, guavas",0.0
AFG,2014,Meat nes,0.0
AFG,2014,"Meat, buffalo",0.0
AFG,2014,"Meat, camel",3.537
AFG,2014,"Meat, cattle",137.429
AFG,2014,"Meat, chicken",22.126
AFG,2014,"Meat, duck",0.0
AFG,2014,"Meat, game",7.986
AFG,2014,"Meat, goat",43.038000000000004
AFG,2014,"Meat, goose and guinea fowl",0.0
AFG,2014,"Meat, pig",0.0
AFG,2014,"Meat, rabbit",0.0
AFG,2014,"Meat, sheep",108.667
AFG,2014,"Meat, turkey",0.0
AFG,2014,"Melons, other (inc.cantaloupes)",274.25
AFG,2014,Melonseed,0.0
AFG,2014,"Milk, whole fresh camel",6.811
AFG,2014,"Milk, whole fresh cow",1507.05
AFG,2014,"Milk, whole fresh goat",108.81400000000001
AFG,2014,"Milk, whole fresh sheep",202.552
AFG,2014,Millet,3.72
AFG,2014,Mushrooms and truffles,0.0
AFG,2014,Mustard seed,0.0
AFG,2014,"Nutmeg, mace and cardamoms",0.0
AFG,2014,Nuts nes,1.303
AFG,2014,Oats,0.0
AFG,2014,Offals nes,0.0
AFG,2014,"Offals, edible, camels",0.531
AFG,2014,"Offals, edible, cattle",24.115000000000002
AFG,2014,"Offals, edible, goats",8.344
AFG,2014,"Offals, liver chicken",0.0
AFG,2014,"Offals, liver geese",0.0
AFG,2014,"Offals, liver turkeys",0.0
AFG,2014,"Offals, pigs, edible",0.0
AFG,2014,"Offals, sheep,edible",22.186
AFG,2014,Oilseeds nes,0.0
AFG,2014,Olives,6.977
AFG,2014,"Onions, dry",197.822
AFG,2014,Oranges,6.93
AFG,2014,Papayas,0.0
AFG,2014,Peaches and nectarines,20.204
AFG,2014,Pears,5.056
