ISO,Year,IL_baseline
ABW,1961,0.0
ABW,1962,0.0
ABW,1963,0.0
ABW,1964,0.0
ABW,1965,0.0
ABW,1966,0.0
ABW,1967,0.0
ABW,1968,0.0
ABW,1969,0.0
ABW,1970,0.0
ABW,1971,0.0
ABW,1972,0.0
ABW,1973,0.0
ABW,1974,0.0
ABW,1975,0.0
ABW,1976,0.0
ABW,1977,0.0
ABW,1978,0.0
ABW,1979,0.0
ABW,1980,0.0
ABW,1981,0.0
ABW,1982,0.0
ABW,1983,0.0
ABW,1984,0.0
ABW,1985,0.0
ABW,1986,0.0
ABW,1987,0.0
ABW,1988,0.0
ABW,1989,0.0
ABW,1990,0.0
ABW,1991,0.0
ABW,1992,0.0
ABW,1993,0.0
ABW,1994,0.0
ABW,1995,0.0
ABW,1996,0.0
ABW,1997,0.0
ABW,1998,0.0
ABW,1999,0.0
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
AFG,1961,0.0
AFG,1962,0.0
AFG,1963,0.0
AFG,1964,0.0
AFG,1965,0.0
AFG,1966,0.0
AFG,1967,0.0
AFG,1968,0.0
AFG,1969,0.0
AFG,1970,0.0
AFG,1971,0.0
AFG,1972,0.0
AFG,1973,0.0
AFG,1974,0.0
AFG,1975,0.0
AFG,1976,0.0
AFG,1977,0.0
AFG,1978,0.0
AFG,1979,0.0
AFG,1980,0.0
AFG,1981,0.0
AFG,1982,0.0
AFG,1983,0.0
AFG,1984,0.0
AFG,1985,0.0
AFG,1986,0.0
AFG,1987,0.0
AFG,1988,0.0
AFG,1989,0.0
AFG,1990,0.0
AFG,1991,0.0
AFG,1992,0.0
AFG,1993,0.0
AFG,1994,0.0
AFG,1995,0.0
AFG,1996,0.0
AFG,1997,0.0
AFG,1998,0.0
AFG,1999,0.0
AFG,2000,0.0
AFG,2001,5181.0
AFG,2002,5567.0
AFG,2003,4011.0
AFG,2004,4882.0
AFG,2005,4420.0
AFG,2006,4265.0
AFG,2007,4263.0
AFG,2008,4570.0
AFG,2009,4324.0
AFG,2010,4312.0
AFG,2011,4710.0
AFG,2012,4336.0
AFG,2013,4294.0
AFG,2014,4286.0
AFG,2015,4410.0
AFG,2016,4310.0
AFG,2017,4827.0
AFG,2018,5494.0
AGO,1961,0.0
AGO,1962,0.0
AGO,1963,0.0
AGO,1964,0.0
AGO,1965,0.0
AGO,1966,0.0
AGO,1967,0.0
AGO,1968,0.0
AGO,1969,0.0
AGO,1970,0.0
AGO,1971,0.0
AGO,1972,0.0
AGO,1973,0.0
AGO,1974,0.0
AGO,1975,0.0
AGO,1976,0.0
AGO,1977,0.0
AGO,1978,0.0
AGO,1979,0.0
AGO,1980,0.0
AGO,1981,0.0
AGO,1982,0.0
AGO,1983,0.0
AGO,1984,0.0
AGO,1985,0.0
AGO,1986,0.0
AGO,1987,0.0
AGO,1988,0.0
AGO,1989,0.0
AGO,1990,0.0
AGO,1991,0.0
AGO,1992,0.0
AGO,1993,0.0
AGO,1994,0.0
AGO,1995,0.0
AGO,1996,0.0
AGO,1997,0.0
AGO,1998,0.0
AGO,1999,0.0
AGO,2000,0.0
AGO,2001,0.0
AGO,2002,0.0
AGO,2003,0.0
AGO,2004,0.0
AGO,2005,0.0
AGO,2006,0.0
AGO,2007,0.0
AGO,2008,0.0
AGO,2009,0.0
AGO,2010,0.0
AGO,2011,0.0
AGO,2012,0.0
AGO,2013,0.0
AGO,2014,0.0
AGO,2015,0.0
AGO,2016,0.0
AGO,2017,0.0
AGO,2018,0.0
AIA,1980,0.0
AIA,1981,0.0
AIA,1982,0.0
AIA,1983,0.0
AIA,1984,0.0
AIA,1985,0.0
AIA,1986,0.0
AIA,1987,0.0
AIA,1988,0.0
AIA,1989,0.0
AIA,1990,0.0
AIA,1991,0.0
AIA,1992,0.0
AIA,1993,0.0
AIA,1994,0.0
AIA,1995,0.0
AIA,1996,0.0
AIA,1997,0.0
AIA,1998,0.0
AIA,1999,0.0
AIA,2000,0.0
AIA,2001,0.0
AIA,2002,0.0
AIA,2003,0.0
AIA,2004,0.0
AIA,2005,0.0
AIA,2006,0.0
AIA,2007,0.0
AIA,2008,0.0
AIA,2009,0.0
AIA,2010,0.0
AIA,2011,0.0
AIA,2012,0.0
AIA,2013,0.0
AIA,2014,0.0
AIA,2015,0.0
AIA,2016,0.0
AIA,2017,0.0
AIA,2018,0.0
ALB,1961,0.0
ALB,1962,0.0
ALB,1963,0.0
ALB,1964,0.0
ALB,1965,0.0
ALB,1966,0.0
ALB,1967,0.0
ALB,1968,0.0
ALB,1969,0.0
ALB,1970,0.0
ALB,1971,0.0
ALB,1972,0.0
ALB,1973,0.0
ALB,1974,0.0
ALB,1975,0.0
ALB,1976,0.0
ALB,1977,0.0
ALB,1978,0.0
ALB,1979,0.0
ALB,1980,0.0
ALB,1981,0.0
ALB,1982,0.0
ALB,1983,0.0
ALB,1984,0.0
ALB,1985,0.0
ALB,1986,0.0
ALB,1987,0.0
ALB,1988,0.0
ALB,1989,0.0
ALB,1990,0.0
ALB,1991,0.0
ALB,1992,0.0
ALB,1993,0.0
ALB,1994,0.0
ALB,1995,0.0
ALB,1996,0.0
ALB,1997,0.0
ALB,1998,0.0
ALB,1999,0.0
ALB,2000,0.0
ALB,2001,0.0
ALB,2002,0.0
ALB,2003,0.0
ALB,2004,0.0
ALB,2005,0.0
ALB,2006,60.0
ALB,2007,0.0
ALB,2008,210.0
ALB,2009,207.0
ALB,2010,222.0
ALB,2011,213.0
ALB,2012,209.3
ALB,2013,203.8
ALB,2014,206.7
ALB,2015,202.0
ALB,2016,202.0
ALB,2017,187.8
ALB,2018,191.046
AND,1961,0.0
AND,1962,0.0
AND,1963,0.0
AND,1964,0.0
AND,1965,0.0
AND,1966,0.0
AND,1967,0.0
AND,1968,0.0
AND,1969,0.0
AND,1970,0.0
AND,1971,0.0
AND,1972,0.0
AND,1973,0.0
AND,1974,0.0
AND,1975,0.0
AND,1976,0.0
AND,1977,0.0
AND,1978,0.0
AND,1979,0.0
AND,1980,0.0
AND,1981,0.0
AND,1982,0.0
AND,1983,0.0
AND,1984,0.0
AND,1985,0.0
AND,1986,0.0
AND,1987,0.0
AND,1988,0.0
AND,1989,0.0
AND,1990,0.0
AND,1991,0.0
AND,1992,0.0
AND,1993,0.0
AND,1994,0.0
AND,1995,0.0
AND,1996,0.0
AND,1997,0.0
AND,1998,0.0
AND,1999,0.0
AND,2000,0.0
AND,2001,0.02
AND,2002,0.03
AND,2003,0.03
AND,2004,0.03
AND,2005,0.03
AND,2006,0.03
AND,2007,0.02
AND,2008,0.02
AND,2009,0.03
AND,2010,0.05
AND,2011,0.05
AND,2012,0.05
AND,2013,0.05
AND,2014,0.04
AND,2015,0.04
AND,2016,0.04
AND,2017,0.04
AND,2018,0.06
ARE,1961,0.0
ARE,1962,0.0
ARE,1963,0.0
ARE,1964,0.0
ARE,1965,0.0
ARE,1966,0.0
ARE,1967,0.0
ARE,1968,0.0
ARE,1969,0.0
ARE,1970,0.0
ARE,1971,0.0
ARE,1972,0.0
ARE,1973,0.0
ARE,1974,0.0
ARE,1975,0.0
ARE,1976,0.0
ARE,1977,0.0
ARE,1978,0.0
ARE,1979,0.0
ARE,1980,0.0
ARE,1981,0.0
ARE,1982,0.0
ARE,1983,0.0
ARE,1984,0.0
ARE,1985,0.0
