ISO,Year,Pop
AFG,2014,33371.0
AFG,2015,34414.0
AFG,2016,35383.0
AFG,2017,36296.0
AFG,2018,37172.0
AGO,2014,26942.0
AGO,2015,27884.0
AGO,2016,28842.0
AGO,2017,29817.0
AGO,2018,30810.0
ALB,2014,2896.0
ALB,2015,2891.0
ALB,2016,2886.0
ALB,2017,2884.0
ALB,2018,2883.0
ARE,2014,9214.0
ARE,2015,9263.0
ARE,2016,9361.0
ARE,2017,9487.0
ARE,2018,9631.0
ARG,2014,42638.0
ARG,2015,43075.0
ARG,2016,43508.0
ARG,2017,43937.0
ARG,2018,44361.0
ARM,2014,2912.0
ARM,2015,2926.0
ARM,2016,2936.0
ARM,2017,2945.0
ARM,2018,2952.0
ATG,2014,93.0
ATG,2015,94.0
ATG,2016,95.0
ATG,2017,95.0
ATG,2018,96.0
AUS,2014,23596.0
AUS,2015,23933.0
AUS,2016,24263.0
AUS,2017,24585.0
AUS,2018,24898.0
AUT,2014,8615.0
AUT,2015,8679.0
AUT,2016,8747.0
AUT,2017,8820.0
AUT,2018,8891.0
AZE,2014,9506.0
AZE,2015,9623.0
AZE,2016,9736.0
AZE,2017,9845.0
AZE,2018,9950.0
BEL,2014,11221.0
BEL,2015,11288.0
BEL,2016,11354.0
BEL,2017,11420.0
BEL,2018,11482.0
BEN,2014,10287.0
BEN,2015,10576.0
BEN,2016,10872.0
BEN,2017,11175.0
BEN,2018,11485.0
BFA,2014,17586.0
BFA,2015,18111.0
BFA,2016,18646.0
BFA,2017,19193.0
BFA,2018,19751.0
BGD,2014,154517.0
BGD,2015,156256.0
BGD,2016,157977.0
BGD,2017,159685.0
BGD,2018,161377.0
BGR,2014,7246.0
BGR,2015,7200.0
BGR,2016,7152.0
BGR,2017,7102.0
BGR,2018,7052.0
BHS,2014,371.0
BHS,2015,374.0
BHS,2016,378.0
BHS,2017,382.0
BHS,2018,386.0
BIH,2014,3482.0
BIH,2015,3429.0
BIH,2016,3386.0
BIH,2017,3352.0
BIH,2018,3324.0
BLR,2014,9432.0
BLR,2015,9439.0
BLR,2016,9446.0
BLR,2017,9450.0
BLR,2018,9453.0
BLZ,2014,353.0
BLZ,2015,361.0
BLZ,2016,368.0
BLZ,2017,376.0
BLZ,2018,383.0
BOL,2014,10707.0
BOL,2015,10870.0
BOL,2016,11032.0
BOL,2017,11193.0
BOL,2018,11353.0
BRA,2014,202764.0
BRA,2015,204472.0
BRA,2016,206163.0
BRA,2017,207834.0
BRA,2018,209469.0
BRB,2014,285.0
BRB,2015,285.0
BRB,2016,286.0
BRB,2017,286.0
BRB,2018,287.0
BWA,2014,2089.0
BWA,2015,2121.0
BWA,2016,2160.0
BWA,2017,2205.0
BWA,2018,2254.0
CAF,2014,4464.0
CAF,2015,4493.0
CAF,2016,4538.0
CAF,2017,4596.0
CAF,2018,4666.0
CAN,2014,35664.0
CAN,2015,36027.0
CAN,2016,36383.0
CAN,2017,36732.0
CAN,2018,37075.0
CHE,2014,8206.0
CHE,2015,8297.0
CHE,2016,8380.0
CHE,2017,8456.0
CHE,2018,8526.0
CHL,2014,17759.0
CHL,2015,17969.0
CHL,2016,18209.0
CHL,2017,18470.0
CHL,2018,18729.0
CHN,2014,1399454.0
CHN,2015,1406848.0
CHN,2016,1414049.0
CHN,2017,1421022.0
CHN,2018,1427648.0
CIV,2014,22648.0
CIV,2015,23226.0
CIV,2016,23823.0
CIV,2017,24437.0
CIV,2018,25069.0
CMR,2014,22682.0
CMR,2015,23298.0
CMR,2016,23927.0
CMR,2017,24566.0
CMR,2018,25216.0
COG,2014,4737.0
COG,2015,4856.0
COG,2016,4981.0
COG,2017,5111.0
COG,2018,5244.0
COL,2014,46968.0
COL,2015,47521.0
COL,2016,48175.0
COL,2017,48910.0
COL,2018,49661.0
CPV,2014,518.0
CPV,2015,525.0
CPV,2016,531.0
CPV,2017,537.0
CPV,2018,544.0
CRI,2014,4795.0
CRI,2015,4848.0
CRI,2016,4899.0
CRI,2017,4950.0
CRI,2018,4999.0
CUB,2014,11307.0
CUB,2015,11325.0
CUB,2016,11335.0
CUB,2017,11339.0
CUB,2018,11338.0
CYP,2014,1152.0
CYP,2015,1161.0
CYP,2016,1170.0
CYP,2017,1180.0
CYP,2018,1189.0
CZE,2014,10591.0
CZE,2015,10601.0
CZE,2016,10619.0
CZE,2017,10641.0
CZE,2018,10666.0
DEU,2014,81450.0
DEU,2015,81787.0
DEU,2016,82194.0
DEU,2017,82658.0
DEU,2018,83124.0
DJI,2014,899.0
DJI,2015,914.0
DJI,2016,929.0
DJI,2017,944.0
DJI,2018,959.0
DMA,2014,71.0
DMA,2015,71.0
DMA,2016,71.0
DMA,2017,71.0
DMA,2018,72.0
DNK,2014,5664.0
DNK,2015,5689.0
DNK,2016,5711.0
DNK,2017,5732.0
DNK,2018,5752.0
DOM,2014,10165.0
DOM,2015,10282.0
DOM,2016,10398.0
DOM,2017,10513.0
DOM,2018,10627.0
DZA,2014,38924.0
DZA,2015,39728.0
DZA,2016,40551.0
DZA,2017,41389.0
DZA,2018,42228.0
ECU,2014,15952.0
ECU,2015,16212.0
ECU,2016,16491.0
ECU,2017,16785.0
ECU,2018,17084.0
EGY,2014,90425.0
EGY,2015,92443.0
EGY,2016,94447.0
EGY,2017,96443.0
EGY,2018,98424.0
ESP,2014,46778.0
ESP,2015,46672.0
ESP,2016,46634.0
ESP,2017,46647.0
ESP,2018,46693.0
EST,2014,1316.0
EST,2015,1315.0
EST,2016,1317.0
EST,2017,1319.0
EST,2018,1323.0
ETH,2014,98094.0
ETH,2015,100835.0
ETH,2016,103603.0
ETH,2017,106400.0
ETH,2018,109224.0
FIN,2014,5461.0
FIN,2015,5481.0
FIN,2016,5498.0
FIN,2017,5511.0
FIN,2018,5523.0
FJI,2014,866.0
FJI,2015,869.0
FJI,2016,872.0
FJI,2017,877.0
FJI,2018,883.0
FRA,2014,66088.0
FRA,2015,66356.0
FRA,2016,66582.0
FRA,2017,66769.0
FRA,2018,66931.0
GAB,2014,1884.0
GAB,2015,1948.0
GAB,2016,2008.0
GAB,2017,2065.0
GAB,2018,2119.0
GBR,2014,65423.0
GBR,2015,65860.0
GBR,2016,66298.0
GBR,2017,66727.0
GBR,2018,67142.0
GEO,2014,4035.0
GEO,2015,4024.0
GEO,2016,4015.0
GEO,2017,4009.0
GEO,2018,4003.0
GHA,2014,27224.0
GHA,2015,27849.0
GHA,2016,28482.0
GHA,2017,29121.0
GHA,2018,29767.0
GIN,2014,11151.0
GIN,2015,11432.0
GIN,2016,11738.0
GIN,2017,12068.0
GIN,2018,12414.0
GMB,2014,2024.0
GMB,2015,2086.0
GMB,2016,2149.0
GMB,2017,2214.0
GMB,2018,2280.0
GNB,2014,1692.0
GNB,2015,1737.0
GNB,2016,1782.0
GNB,2017,1828.0
GNB,2018,1874.0
GRC,2014,10701.0
GRC,2015,10660.0
GRC,2016,10615.0
GRC,2017,10569.0
GRC,2018,10522.0
GRD,2014,109.0
GRD,2015,110.0
GRD,2016,110.0
GRD,2017,111.0
GRD,2018,111.0
GTM,2014,15923.0
GTM,2015,16252.0
GTM,2016,16583.0
GTM,2017,16915.0
GTM,2018,17248.0
GUY,2014,763.0
GUY,2015,767.0
GUY,2016,771.0
GUY,2017,775.0
GUY,2018,779.0
HKG,2014,7135.0
HKG,2015,7186.0
HKG,2016,7244.0
HKG,2017,7306.0
HKG,2018,7372.0
HND,2014,8956.0
HND,2015,9113.0
HND,2016,9271.0
HND,2017,9429.0
HND,2018,9588.0
HRV,2014,4256.0
HRV,2015,4233.0
HRV,2016,4209.0
HRV,2017,4183.0
HRV,2018,4156.0
HTI,2014,10549.0
HTI,2015,10696.0
HTI,2016,10840.0
HTI,2017,10982.0
HTI,2018,11123.0
HUN,2014,9805.0
HUN,2015,9778.0
HUN,2016,9753.0
HUN,2017,9730.0
HUN,2018,9707.0
IDN,2014,255128.0
IDN,2015,258383.0
IDN,2016,261556.0
IDN,2017,264651.0
IDN,2018,267671.0
IND,2014,1295601.0
IND,2015,1310152.0
IND,2016,1324517.0
IND,2017,1338677.0
IND,2018,1352642.0
IRL,2014,4627.0
IRL,2015,4652.0
IRL,2016,4696.0
IRL,2017,4753.0
IRL,2018,4819.0
IRN,2014,77466.0
IRN,2015,78492.0
IRN,2016,79564.0
IRN,2017,80674.0
IRN,2018,81800.0
IRQ,2014,29516.0
IRQ,2015,30511.0
IRQ,2016,31402.0
IRQ,2017,32210.0
IRQ,2018,32965.0
ISL,2014,329.0
ISL,2015,330.0
ISL,2016,332.0
ISL,2017,334.0
ISL,2018,337.0
ISR,2014,7854.0
ISR,2015,7978.0
ISR,2016,8109.0
ISR,2017,8244.0
ISR,2018,8382.0
ITA,2014,60410.0
ITA,2015,60578.0
ITA,2016,60663.0
ITA,2017,60674.0
ITA,2018,60627.0
JAM,2014,2875.0
JAM,2015,2891.0
JAM,2016,2906.0
JAM,2017,2921.0
JAM,2018,2935.0
JOR,2014,8919.0
JOR,2015,9267.0
JOR,2016,9554.0
JOR,2017,9786.0
JOR,2018,9965.0
JPN,2014,128169.0
JPN,2015,127985.0
JPN,2016,127763.0
JPN,2017,127503.0
