ISO,Year,Item,SVi
AFG,2014,"Almonds, with shell",-0.08600000000000001
AFG,2014,"Anise, badian, fennel, coriander",-1.543
AFG,2014,Apples,50.642
AFG,2014,Apricots,0.0
AFG,2014,Areca nuts,0.0
AFG,2014,Artichokes,0.0
AFG,2014,Asparagus,0.0
AFG,2014,Avocados,0.0
AFG,2014,Bananas,0.0
AFG,2014,Barley,25.0
AFG,2014,"Beans, dry",0.0
AFG,2014,"Beans, green",0.0
AFG,2014,Berries nes,0.0
AFG,2014,"Brazil nuts, with shell",0.0
AFG,2014,"Broad beans, horse beans, dry",0.0
AFG,2014,Buckwheat,0.0
AFG,2014,Cabbages and other brassicas,0.0
AFG,2014,Canary seed,0.0
AFG,2014,Carrots and turnips,0.0
AFG,2014,"Cashew nuts, with shell",0.0
AFG,2014,Castor oil seed,0.0
AFG,2014,Cauliflowers and broccoli,0.0
AFG,2014,Cereals nes,0.0
AFG,2014,Cherries,0.0
AFG,2014,"Cherries, sour",0.0
AFG,2014,Chick peas,0.0
AFG,2014,Chicory roots,0.0
AFG,2014,"Chillies and peppers, dry",0.0
AFG,2014,"Chillies and peppers, green",0.0
AFG,2014,Cinnamon (cannella),0.0
AFG,2014,Cloves,0.0
AFG,2014,"Cocoa, beans",0.0
AFG,2014,Coconuts,0.0
AFG,2014,"Coffee, green",0.0
AFG,2014,Cucumbers and gherkins,0.0
AFG,2014,Dates,0.0
AFG,2014,Eggplants (aubergines),0.0
AFG,2014,"Eggs, hen, in shell",0.0
AFG,2014,"Eggs, other bird, in shell",0.0
AFG,2014,"Fat, camels",0.0
AFG,2014,"Fat, cattle",0.0
AFG,2014,"Fat, goats",0.0
AFG,2014,"Fat, sheep",0.0
AFG,2014,Figs,0.0
AFG,2014,"Fruit, citrus nes",0.0
AFG,2014,"Fruit, fresh nes",0.0
AFG,2014,"Fruit, stone nes",0.0
AFG,2014,"Fruit, tropical fresh nes",0.0
AFG,2014,Garlic,0.0
AFG,2014,Ginger,0.0
AFG,2014,Grapefruit (inc. pomelos),0.0
AFG,2014,Grapes,0.0
AFG,2014,"Groundnuts, with shell",0.0
AFG,2014,"Hazelnuts, with shell",0.0
AFG,2014,Hempseed,0.0
AFG,2014,"Honey, natural",-0.23800000000000002
AFG,2014,Kiwi fruit,0.0
AFG,2014,"Leeks, other alliaceous vegetables",0.0
AFG,2014,Lemons and limes,0.0
AFG,2014,Lentils,0.0
AFG,2014,Lettuce and chicory,0.0
AFG,2014,Linseed,19.928
AFG,2014,Maize,0.0
AFG,2014,"Maize, green",0.0
AFG,2014,"Mangoes, mangosteens, guavas",0.0
AFG,2014,Meat nes,0.0
