ISO,Year,TLA
ABW,1961,18.0
ABW,1962,18.0
ABW,1963,18.0
ABW,1964,18.0
ABW,1965,18.0
ABW,1966,18.0
ABW,1967,18.0
ABW,1968,18.0
ABW,1969,18.0
ABW,1970,18.0
ABW,1971,18.0
ABW,1972,18.0
ABW,1973,18.0
ABW,1974,18.0
ABW,1975,18.0
ABW,1976,18.0
ABW,1977,18.0
ABW,1978,18.0
ABW,1979,18.0
ABW,1980,18.0
ABW,1981,18.0
ABW,1982,18.0
ABW,1983,18.0
ABW,1984,18.0
ABW,1985,18.0
ABW,1986,18.0
ABW,1987,18.0
ABW,1988,18.0
ABW,1989,18.0
ABW,1990,18.0
ABW,1991,18.0
ABW,1992,18.0
ABW,1993,18.0
ABW,1994,18.0
ABW,1995,18.0
ABW,1996,18.0
ABW,1997,18.0
ABW,1998,18.0
ABW,1999,18.0
ABW,2000,18.0
ABW,2001,18.0
ABW,2002,18.0
ABW,2003,18.0
ABW,2004,18.0
ABW,2005,18.0
ABW,2006,18.0
ABW,2007,18.0
ABW,2008,18.0
ABW,2009,18.0
ABW,2010,18.0
ABW,2011,18.0
ABW,2012,18.0
ABW,2013,18.0
ABW,2014,18.0
ABW,2015,18.0
ABW,2016,18.0
ABW,2017,18.0
ABW,2018,18.0
AFG,1961,65286.0
AFG,1962,65286.0
AFG,1963,65286.0
AFG,1964,65286.0
AFG,1965,65286.0
AFG,1966,65286.0
AFG,1967,65286.0
AFG,1968,65286.0
AFG,1969,65286.0
AFG,1970,65286.0
AFG,1971,65286.0
AFG,1972,65286.0
AFG,1973,65286.0
AFG,1974,65286.0
AFG,1975,65286.0
AFG,1976,65286.0
AFG,1977,65286.0
AFG,1978,65286.0
AFG,1979,65286.0
AFG,1980,65286.0
AFG,1981,65286.0
AFG,1982,65286.0
AFG,1983,65286.0
AFG,1984,65286.0
AFG,1985,65286.0
AFG,1986,65286.0
AFG,1987,65286.0
AFG,1988,65286.0
AFG,1989,65286.0
AFG,1990,65286.0
AFG,1991,65286.0
AFG,1992,65286.0
AFG,1993,65286.0
AFG,1994,65286.0
AFG,1995,65286.0
AFG,1996,65286.0
AFG,1997,65286.0
AFG,1998,65286.0
AFG,1999,65286.0
AFG,2000,65286.0
AFG,2001,65286.0
AFG,2002,65286.0
AFG,2003,65286.0
AFG,2004,65286.0
AFG,2005,65286.0
AFG,2006,65286.0
AFG,2007,65286.0
AFG,2008,65286.0
AFG,2009,65286.0
AFG,2010,65286.0
AFG,2011,65286.0
AFG,2012,65286.0
AFG,2013,65286.0
AFG,2014,65286.0
AFG,2015,65286.0
AFG,2016,65286.0
AFG,2017,65286.0
AFG,2018,65286.0
AGO,1961,124670.0
AGO,1962,124670.0
AGO,1963,124670.0
AGO,1964,124670.0
AGO,1965,124670.0
AGO,1966,124670.0
AGO,1967,124670.0
AGO,1968,124670.0
AGO,1969,124670.0
AGO,1970,124670.0
AGO,1971,124670.0
AGO,1972,124670.0
AGO,1973,124670.0
AGO,1974,124670.0
AGO,1975,124670.0
AGO,1976,124670.0
AGO,1977,124670.0
AGO,1978,124670.0
AGO,1979,124670.0
AGO,1980,124670.0
AGO,1981,124670.0
AGO,1982,124670.0
AGO,1983,124670.0
AGO,1984,124670.0
AGO,1985,124670.0
AGO,1986,124670.0
AGO,1987,124670.0
AGO,1988,124670.0
AGO,1989,124670.0
AGO,1990,124670.0
AGO,1991,124670.0
AGO,1992,124670.0
AGO,1993,124670.0
AGO,1994,124670.0
AGO,1995,124670.0
AGO,1996,124670.0
AGO,1997,124670.0
AGO,1998,124670.0
AGO,1999,124670.0
AGO,2000,124670.0
AGO,2001,124670.0
AGO,2002,124670.0
AGO,2003,124670.0
AGO,2004,124670.0
AGO,2005,124670.0
AGO,2006,124670.0
AGO,2007,124670.0
AGO,2008,124670.0
AGO,2009,124670.0
AGO,2010,124670.0
AGO,2011,124670.0
AGO,2012,124670.0
AGO,2013,124670.0
AGO,2014,124670.0
AGO,2015,124670.0
AGO,2016,124670.0
AGO,2017,124670.0
AGO,2018,124670.0
AIA,1980,9.0
AIA,1981,9.0
AIA,1982,9.0
AIA,1983,9.0
AIA,1984,9.0
AIA,1985,9.0
AIA,1986,9.0
AIA,1987,9.0
AIA,1988,9.0
AIA,1989,9.0
AIA,1990,9.0
AIA,1991,9.0
AIA,1992,9.0
AIA,1993,9.0
AIA,1994,9.0
AIA,1995,9.0
AIA,1996,9.0
AIA,1997,9.0
AIA,1998,9.0
AIA,1999,9.0
AIA,2000,9.0
AIA,2001,9.0
AIA,2002,9.0
AIA,2003,9.0
AIA,2004,9.0
AIA,2005,9.0
AIA,2006,9.0
AIA,2007,9.0
AIA,2008,9.0
AIA,2009,9.0
AIA,2010,9.0
AIA,2011,9.0
AIA,2012,9.0
AIA,2013,9.0
AIA,2014,9.0
AIA,2015,9.0
AIA,2016,9.0
AIA,2017,9.0
AIA,2018,9.0
ALB,1961,2740.0
ALB,1962,2740.0
ALB,1963,2740.0
ALB,1964,2740.0
ALB,1965,2740.0
ALB,1966,2740.0
ALB,1967,2740.0
ALB,1968,2740.0
ALB,1969,2740.0
ALB,1970,2740.0
ALB,1971,2740.0
ALB,1972,2740.0
ALB,1973,2740.0
ALB,1974,2740.0
ALB,1975,2740.0
ALB,1976,2740.0
ALB,1977,2740.0
ALB,1978,2740.0
ALB,1979,2740.0
ALB,1980,2740.0
ALB,1981,2740.0
ALB,1982,2740.0
ALB,1983,2740.0
ALB,1984,2740.0
ALB,1985,2740.0
ALB,1986,2740.0
ALB,1987,2740.0
ALB,1988,2740.0
ALB,1989,2740.0
ALB,1990,2740.0
ALB,1991,2740.0
ALB,1992,2740.0
ALB,1993,2740.0
ALB,1994,2740.0
ALB,1995,2740.0
ALB,1996,2740.0
ALB,1997,2740.0
ALB,1998,2740.0
ALB,1999,2740.0
ALB,2000,2740.0
ALB,2001,2740.0
ALB,2002,2740.0
ALB,2003,2740.0
ALB,2004,2740.0
ALB,2005,2740.0
ALB,2006,2740.0
ALB,2007,2740.0
ALB,2008,2740.0
ALB,2009,2740.0
ALB,2010,2740.0
ALB,2011,2740.0
ALB,2012,2740.0
ALB,2013,2740.0
ALB,2014,2740.0
ALB,2015,2740.0
ALB,2016,2740.0
ALB,2017,2740.0
ALB,2018,2740.0
AND,1961,47.0
AND,1962,47.0
AND,1963,47.0
AND,1964,47.0
AND,1965,47.0
AND,1966,47.0
AND,1967,47.0
AND,1968,47.0
AND,1969,47.0
AND,1970,47.0
AND,1971,47.0
AND,1972,47.0
AND,1973,47.0
AND,1974,47.0
AND,1975,47.0
AND,1976,47.0
AND,1977,47.0
AND,1978,47.0
AND,1979,47.0
AND,1980,47.0
AND,1981,47.0
AND,1982,47.0
AND,1983,47.0
AND,1984,47.0
AND,1985,47.0
AND,1986,47.0
AND,1987,47.0
AND,1988,47.0
AND,1989,47.0
AND,1990,47.0
AND,1991,47.0
AND,1992,47.0
AND,1993,47.0
AND,1994,47.0
AND,1995,47.0
AND,1996,47.0
AND,1997,47.0
AND,1998,47.0
AND,1999,47.0
AND,2000,47.0
AND,2001,47.0
AND,2002,47.0
AND,2003,47.0
AND,2004,47.0
AND,2005,47.0
