ISO,Name,gppd_idnr,latitude,longitude,Cooling System,Fuel,ELECPRODi
AFG,Kajaki Hydroelectric Power Plant Afghanistan,GEODB0040538,32.322,65.119,No Water Cooling,Hydro,119.5
AFG,Kandahar DOG,WKS0070144,31.67,65.795,No Water Cooling,Solar,18.29
AFG,Kandahar JOL,WKS0071196,31.623,65.792,No Water Cooling,Solar,18.72
AFG,Mahipar Hydroelectric Power Plant Afghanistan,GEODB0040541,34.556,69.4787,No Water Cooling,Hydro,174.91
AFG,Naghlu Dam Hydroelectric Power Plant Afghanistan,GEODB0040534,34.641,69.717,No Water Cooling,Hydro,350.8
AFG,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,GEODB0040536,34.4847,70.3633,No Water Cooling,Hydro,46.12
AFG,Northwest Kabul Power Plant Afghanistan,GEODB0040540,34.5638,69.1134,Once-through cooling,Gas,24.84507026736
AFG,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,GEODB0040537,35.9416,68.71,No Water Cooling,Hydro,19.74
AFG,Sarobi Dam Hydroelectric Power Plant Afghanistan,GEODB0040535,34.5865,69.7757,No Water Cooling,Hydro,80.0
AGO,Biopio,WRI1023002,-12.4706,13.7319,Once-through cooling,Oil,64.92
AGO,Biopio (hydro),WRI1023001,-12.4706,13.7319,No Water Cooling,Hydro,48.53
AGO,Cambambe,WRI1023003,-9.7523,14.4809,No Water Cooling,Hydro,678.19
AGO,Capanda,WRI1023004,-9.7955,15.4672,No Water Cooling,Hydro,1746.62
AGO,Cazenga,WRI1023005,-8.8383,13.2344,Cooling tower,Gas,0.0
AGO,Huambo,WRI1023006,-12.76,15.75,Once-through cooling,Oil,46.3
AGO,Lobito,WRI1023007,-12.37,13.57,Once-through cooling,Gas,0.0
AGO,Luanda Diesel,WRI1023008,-8.8383,13.2344,Cooling tower,Oil,165.16
AGO,Luanda Refinery,WRI1023009,-8.8383,13.2344,Cooling tower,Oil,52.68
AGO,Malongo,WRI1023010,-5.55,12.2,Once-through cooling,Oil,28.47
AGO,Matala,WRI1023011,-14.7333,15.0333,No Water Cooling,Hydro,125.42
AGO,Namibe,WRI1023012,-15.1961,12.1522,Once-through cooling,Gas,0.0
AGO,Rio Luachimo,WRI1023013,-7.3,20.85,No Water Cooling,Hydro,66.01
AGO,Xitoto,WRI1023014,-15.3333,15.0,Once-through cooling,Oil,32.29
ALB,Bistrica 1,WRI1002169,39.9116,20.1047,No Water Cooling,Hydro,88.45
ALB,Fierza,WRI1002170,42.2514,20.0431,No Water Cooling,Hydro,1648.24
ALB,Koman,WRI1002171,42.1033,19.8224,No Water Cooling,Hydro,1982.72
ALB,Lanabregas,WRI1002172,41.3428,19.8964,No Water Cooling,Hydro,15.23
ALB,Shkopet,WRI1002173,41.6796,19.8305,No Water Cooling,Hydro,83.57
ALB,Ulez,WRI1002174,41.6796,19.8936,No Water Cooling,Hydro,87.06
ALB,Vau i Dijes,WRI1002175,42.0137,19.6359,No Water Cooling,Hydro,703.64
ALB,Vlora,WRI1002176,40.4874,19.434,Once-through cooling,Other,0.0
ARE,APC UAN,WRI1008747,24.4375,54.491,Cooling tower,Gas,11390.56
ARE,Ajman,WRI1023580,25.402,55.45,Cooling tower,Gas,543.74
ARE,Al Mirfa Power Company,WRI1008727,24.121,53.447,Cooling tower,Gas,2582.79
ARE,"Aweer ""H"" - Ph l",WRI1008724,25.1493,55.4268,Cooling tower,Gas,2845.29
ARE,"Aweer ""H"" - Ph lll",WRI1008726,25.1498,55.4247,Cooling tower,Gas,3834.35
ARE,ESWPC (Fuj F1),WRI1008730,25.3142,56.3728,Cooling tower,Gas,4035.91
ARE,FAPCO (Fuj F2),WRI1008731,25.3142,56.3728,Cooling tower,Gas,9909.32
ARE,Hamriyah Power Station (HPS),WRI1023581,25.4598,55.48,Cooling tower,Gas,2362.48
ARE,"Jebel Ali ""D""",WRI1008732,25.0659,55.1235,Cooling tower,Gas,4814.03
ARE,"Jebel Ali ""E""",WRI1008733,25.0595,55.1178,Cooling tower,Gas,2887.48
ARE,"Jebel Ali ""G""",WRI1008734,25.0557,55.1149,Cooling tower,Gas,3834.35
ARE,"Jebel Ali ""K""",WRI1008735,25.0591,55.1181,Cooling tower,Gas,4303.1
ARE,"Jebel Ali ""L"" - Ph I",WRI1008736,25.0461,55.1053,Cooling tower,Gas,4542.16
ARE,"Jebel Ali ""L"" - Ph ll",WRI1008737,25.0508,55.1112,Cooling tower,Gas,6529.65
ARE,"Jebel Ali ""M""",WRI1008738,25.0592,55.1181,Cooling tower,Gas,9656.19
ARE,Khorfakkan Station (KHPS),WRI1023583,25.3671,56.3401,Cooling tower,Gas,674.99
ARE,Layyah Power Station (LPS),WRI1023584,25.3527,55.3705,Cooling tower,Gas,4270.28
ARE,MBRSP} II,WKS0065024,24.759,55.383,No Water Cooling,Solar,516.29
ARE,MBRSP} IIIA,WKS0069243,24.747,55.385,No Water Cooling,Solar,469.74
ARE,MBRSP} IIIB,WKS0069244,24.765,55.37,No Water Cooling,Solar,670.02
ARE,Masdar City PV plant,WRI1008740,24.4345,54.6085,No Water Cooling,Solar,21.15
ARE,New Mirfah (MIPCO),WRI1023586,24.104,53.4264,Cooling tower,Gas,8099.95
ARE,Shams,WRI1023591,23.5711,53.7143,No Water Cooling,Solar,176.02
ARE,Sheikh Mohammed Bin Rashid Al Maktoum Solar Park Phase 1,WRI1023588,24.7652,55.3733,No Water Cooling,Solar,20.41
ARE,Shuweihat S1,WRI1008743,24.165,52.568,Cooling tower,Gas,22917.06
ARE,TAPCO,WRI1008746,24.768,54.6873,Cooling tower,Gas,10312.44
ARE,Taweelah A1,WRI1008744,24.7609,54.6803,Cooling tower,Gas,7832.76
ARE,Taweelah A2,WRI1008745,24.7624,54.6835,Cooling tower,Gas,3562.48
ARE,Wasit Power Station (WPS),WRI1023589,25.3732,55.4611,Cooling tower,Gas,5540.59
ARE,zawra,WRI1023590,25.446,55.4777,Cooling tower,Gas,937.49
ARG,AGUA DEL CAJON (AUTOGENERADOR DEL MEM),ARG0000231,-38.9368,-68.3556,Cooling tower,Other,0.0
ARG,AGUA DEL CAJON (GENERADOR DEL MEM),ARG0000232,-38.9368,-68.3556,Cooling tower,Gas,1075.39
ARG,AGUA DEL TORO,ARG0000210,-34.5792,-68.9892,No Water Cooling,Hydro,289.92
ARG,ALICURA,ARG0000230,-40.58,-70.7489,No Water Cooling,Hydro,2896.84
ARG,ALMIRANTE BROWN,ARG0000156,-34.8386,-58.4033,Cooling tower,Oil,113.26
ARG,ALTO VALLE,ARG0000235,-38.9524,-68.0218,Cooling tower,Gas,546.09
ARG,ALUMINE,ARG0000242,-39.2145,-70.9157,Once-through cooling,Oil,8.62
ARG,ALVAREZ CONDARCO,ARG0000194,-33.0452,-69.0516,No Water Cooling,Hydro,163.07
ARG,ARROYITO,ARG0000254,-39.1009,-68.5982,No Water Cooling,Hydro,413.34
ARG,ATUCHA I,ARG0000029,-33.967,-59.2059,Cooling tower,Nuclear,1303.91
