ISO,Year,AGVA
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,3524212368.71544
AFG,2001,3524212368.71544
AFG,2002,3524212368.71544
AFG,2003,3622830768.2193
AFG,2004,2817245219.04069
AFG,2005,3315844185.05257
AFG,2006,3146429376.79179
AFG,2007,3608968537.41894
AFG,2008,3070642889.49297
AFG,2009,4439012095.60165
AFG,2010,4156019104.80349
AFG,2011,3840480688.49077
AFG,2012,4540400206.66313
AFG,2013,4540639369.18515
AFG,2014,4536066713.18543
AFG,2015,4279451537.5173
AFG,2016,4535009764.28966
AFG,2017,4825751915.85605
AFG,2018,4612679943.3096
AFG,2019,5418045779.5864
AGO,2000,2848249210.22439
AGO,2001,2848249210.22439
AGO,2002,2848249210.22439
AGO,2003,3076759755.93363
AGO,2004,3355917127.55444
AGO,2005,3508582299.83375
AGO,2006,4080590245.52941
AGO,2007,4308177934.93698
AGO,2008,4512944416.8208
AGO,2009,4771654900.80208
AGO,2010,5179054574.41704
AGO,2011,5653258847.73572
AGO,2012,6055226867.49296
AGO,2013,6298626982.53682
AGO,2014,7389781009.63343
AGO,2015,8144591347.2775
AGO,2016,8461188997.95781
AGO,2017,8500990460.88746
AGO,2018,7857104929.05944
AGO,2019,7510691979.01938
ALB,2000,1490833682.22981
ALB,2001,1530982852.12749
ALB,2002,1562333587.75124
ALB,2003,1608322166.98046
ALB,2004,1709774250.36771
ALB,2005,1721376193.18718
ALB,2006,1775057387.06765
ALB,2007,1823273728.44542
ALB,2008,1952206194.99627
ALB,2009,1989393322.90694
ALB,2010,2141580308.0144
ALB,2011,2243798778.26893
ALB,2012,2364835145.26127
ALB,2013,2391677253.24948
ALB,2014,2438600911.77536
ALB,2015,2457325386.26256
ALB,2016,2507636395.12588
ALB,2017,2528583664.93349
ALB,2018,2558343318.05853
ALB,2019,2568326518.85276
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
ARE,2000,3312876665.36088
ARE,2001,3312876665.36088
ARE,2002,3419229260.26955
ARE,2003,3312665383.3497
ARE,2004,3247377880.36587
ARE,2005,3117041577.59581
ARE,2006,2847669212.63532
ARE,2007,2795205348.64646
ARE,2008,2490759597.98776
ARE,2009,2480532040.07285
ARE,2010,2212389380.53097
ARE,2011,2330407443.72966
ARE,2012,2383336269.74211
ARE,2013,2395665782.77046
ARE,2014,2391685816.77093
ARE,2015,2423162370.62316
ARE,2016,2506177983.76471
ARE,2017,2589157788.70357
ARE,2018,2729006804.99059
ARE,2019,2801885891.57456
ARG,2000,22058641210.864
ARG,2001,22387563394.6982
ARG,2002,21794179535.1127
ARG,2003,23269736597.5177
ARG,2004,23358935261.9141
ARG,2005,27747724013.2104
ARG,2006,27601895624.8531
ARG,2007,29958430353.5939
ARG,2008,29303592590.6087
ARG,2009,21654928123.2901
ARG,2010,30213817111.0998
ARG,2011,29480079640.6177
ARG,2012,25684474254.8533
ARG,2013,28632183665.8799
ARG,2014,29520999141.1149
ARG,2015,31747461596.3351
ARG,2016,30249951816.9753
ARG,2017,31292082203.6814
ARG,2018,26591311347.7487
ARG,2019,32246901167.0112
ARM,2000,0.0
ARM,2001,0.0
ARM,2002,0.0
ARM,2003,0.0
ARM,2004,0.0
ARM,2005,0.0
ARM,2006,0.0
ARM,2007,0.0
ARM,2008,0.0
ARM,2009,0.0
ARM,2010,0.0
ARM,2011,0.0
ARM,2012,0.0
ARM,2013,0.0
ARM,2014,0.0
ARM,2015,0.0
ARM,2016,0.0
ARM,2017,0.0
ARM,2018,0.0
ARM,2019,0.0
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,17306827.2020218
ATG,2001,16937158.0614733
ATG,2002,18974846.4947408
ATG,2003,20110902.8778899
ATG,2004,19718692.9360884
ATG,2005,22026870.9843914
ATG,2006,23280139.5340559
ATG,2007,23063747.8420275
ATG,2008,21476875.4338192
ATG,2009,18460916.2261733
ATG,2010,18762962.962963
ATG,2011,21319089.8250485
ATG,2012,21643677.3630911
ATG,2013,23311696.6558101
ATG,2014,19362548.2762917
ATG,2015,19867462.224358
ATG,2016,20611308.6657056
ATG,2017,23694890.2771104
ATG,2018,23947347.2511435
ATG,2019,24587506.0067275
AUS,2000,20876213795.8503
AUS,2001,21676517457.0283
AUS,2002,22360851721.1059
AUS,2003,17530324457.726
AUS,2004,22003183729.0587
AUS,2005,22945865659.9441
AUS,2006,23601494627.7097
AUS,2007,20051797685.7703
AUS,2008,21674795139.2496
AUS,2009,25377204257.5687
AUS,2010,25187175195.9834
AUS,2011,26060390309.7939
AUS,2012,26314145129.1918
AUS,2013,26122393749.8277
AUS,2014,26421502937.3986
AUS,2015,26798116425.0117
AUS,2016,24817450979.4851
AUS,2017,27189656666.7071
AUS,2018,26464560881.8665
AUS,2019,23784060312.2539
AUT,2000,4796894602.08843
AUT,2001,4764170245.78258
AUT,2002,4687175002.39856
AUT,2003,4571985268.20199
AUT,2004,4964277962.25828
AUT,2005,4849584260.40992
AUT,2006,4777067086.83617
AUT,2007,5227216442.84118
AUT,2008,5602313348.82602
AUT,2009,5232176766.32333
AUT,2010,4966565222.5306
AUT,2011,5674513612.84396
AUT,2012,5263991729.99078
AUT,2013,5107149057.2205
AUT,2014,5249110759.54433
AUT,2015,5359243719.52438
AUT,2016,5479517785.29015
AUT,2017,5767946817.10077
AUT,2018,5971457866.63227
AUT,2019,5925216628.83757
AZE,2000,1846808167.15588
AZE,2001,2051803863.94185
AZE,2002,2183108407.05062
AZE,2003,2305553301.05689
AZE,2004,2420728739.38932
AZE,2005,2602237960.74556
AZE,2006,2625636521.19574
AZE,2007,2730589287.48683
AZE,2008,2897559597.49538
AZE,2009,2998650465.45974
AZE,2010,2933225364.39517
AZE,2011,3102694549.7916
AZE,2012,3307829502.08783
AZE,2013,3469574890.83081
AZE,2014,3379842547.35682
AZE,2015,3602469627.36823
AZE,2016,3696291039.65875
AZE,2017,3851675654.68712
AZE,2018,4028641466.2472
AZE,2019,4324190273.48683
BDI,2000,900652855.512823
BDI,2001,869643934.414167
BDI,2002,906468036.191678
BDI,2003,874616325.356394
BDI,2004,872523033.370594
BDI,2005,815281971.432564
BDI,2006,841282717.525319
BDI,2007,762715532.921533
BDI,2008,777696521.886919
BDI,2009,768543400.279553
BDI,2010,780960656.21216
BDI,2011,770353871.544969
BDI,2012,786795131.129543
BDI,2013,853011135.39435
BDI,2014,822475951.688851
BDI,2015,797801673.138185
BDI,2016,780250036.329145
BDI,2017,782590786.368753
BDI,2018,806068353.489506
BDI,2019,831056430.155171
BEL,2000,3135141067.74223
BEL,2001,2912229969.91142
BEL,2002,3214464076.01736
BEL,2003,3108655249.72494
BEL,2004,3331969684.88596
BEL,2005,3241353231.36487
BEL,2006,3528798302.02969
BEL,2007,3519252651.88132
BEL,2008,3540629530.38259
BEL,2009,3322155143.18412
BEL,2010,3679780909.30592
BEL,2011,3754801652.72546
BEL,2012,3761255050.00886
BEL,2013,3227908653.69112
BEL,2014,3235706508.74189
BEL,2015,3845552552.02328
BEL,2016,3571955396.36243
BEL,2017,3727240268.49427
BEL,2018,3161761331.53626
BEL,2019,3108520803.9482
BEN,2000,1605452359.57839
BEN,2001,1745781824.53921
BEN,2002,1798807242.64062
BEN,2003,1830717877.33649
BEN,2004,1961030262.21164
BEN,2005,1989007227.94232
BEN,2006,2129584403.32742
BEN,2007,2258031979.45055
BEN,2008,2305350599.36646
BEN,2009,2484761108.98431
BEN,2010,2464041236.3279
BEN,2011,2487496319.45822
BEN,2012,2622926585.21292
BEN,2013,2783174913.32293
BEN,2014,3012989534.15612
BEN,2015,3013674821.11456
BEN,2016,3283886767.29389
BEN,2017,3532283660.13385
BEN,2018,3791167164.02061
BEN,2019,3986775451.20556
BFA,2000,1702857359.33228
BFA,2001,1841285327.23827
