ISO,Year,CL
ABW,2000,2.0
ABW,2001,2.0
ABW,2002,2.0
ABW,2003,2.0
ABW,2004,2.0
ABW,2005,2.0
ABW,2006,2.0
ABW,2007,2.0
ABW,2008,2.0
ABW,2009,2.0
ABW,2010,2.0
ABW,2011,2.0
ABW,2012,2.0
ABW,2013,2.0
ABW,2014,2.0
ABW,2015,2.0
ABW,2016,2.0
ABW,2017,2.0
ABW,2018,2.0
ABW,2019,2.0
AFG,2000,7753.0
AFG,2001,7753.0
AFG,2002,7753.0
AFG,2003,7910.0
AFG,2004,7911.0
AFG,2005,7910.0
AFG,2006,7910.0
AFG,2007,7910.0
AFG,2008,7910.0
AFG,2009,7910.0
AFG,2010,7911.0
AFG,2011,7910.0
AFG,2012,7910.0
AFG,2013,7910.0
AFG,2014,7910.0
AFG,2015,7910.0
AFG,2016,7910.0
AFG,2017,7910.0
AFG,2018,7919.0
AFG,2019,7919.0
AGO,2000,3300.0
AGO,2001,3300.0
AGO,2002,3390.0
AGO,2003,3590.0
AGO,2004,3590.0
AGO,2005,3590.0
AGO,2006,3590.0
AGO,2007,3690.0
AGO,2008,3690.0
AGO,2009,4290.0
AGO,2010,4390.0
AGO,2011,4990.0
AGO,2012,4990.0
AGO,2013,5190.0
AGO,2014,5190.0
AGO,2015,5190.0
AGO,2016,5195.0
AGO,2017,5215.0
AGO,2018,5215.0
AGO,2019,5215.0
ALB,2000,699.0
ALB,2001,699.0
ALB,2002,699.0
ALB,2003,699.0
ALB,2004,699.0
ALB,2005,659.0
ALB,2006,705.0
ALB,2007,698.0
ALB,2008,697.0
ALB,2009,696.0
ALB,2010,696.0
ALB,2011,696.0
ALB,2012,696.0
ALB,2013,696.3
ALB,2014,696.0
ALB,2015,696.1
ALB,2016,703.5
ALB,2017,691.1
ALB,2018,696.0
ALB,2019,696.0
AND,2000,1.0
AND,2001,0.75
AND,2002,0.85
AND,2003,0.86
AND,2004,0.81
AND,2005,0.8
AND,2006,0.78
AND,2007,0.77
AND,2008,0.76
AND,2009,0.77
AND,2010,0.77
AND,2011,0.77
AND,2012,0.76
AND,2013,0.81
AND,2014,0.8
AND,2015,0.81
AND,2016,0.82
AND,2017,0.82
AND,2018,0.83
AND,2019,0.83
ARE,2000,247.0
ARE,2001,262.0
ARE,2002,266.0
ARE,2003,254.0
ARE,2004,254.0
ARE,2005,257.0
ARE,2006,238.6
ARE,2007,232.6
ARE,2008,239.6
ARE,2009,87.9
ARE,2010,92.3
ARE,2011,88.5
ARE,2012,76.7
ARE,2013,79.4
ARE,2014,82.5
ARE,2015,82.8
ARE,2016,83.8
ARE,2017,83.8
ARE,2018,81.75
ARE,2019,81.75
ARG,2000,28640.0
ARG,2001,28746.0
ARG,2002,28862.0
ARG,2003,29683.5
ARG,2004,31775.0
ARG,2005,33897.5
ARG,2006,35854.0
ARG,2007,37433.0
ARG,2008,36261.0
ARG,2009,35292.0
ARG,2010,38981.0
ARG,2011,39781.0
ARG,2012,40754.0
ARG,2013,40699.0
ARG,2014,40200.0
ARG,2015,40200.0
ARG,2016,40200.0
ARG,2017,40200.0
ARG,2018,40268.0
ARG,2019,40268.0
ARM,2000,488.0
ARM,2001,493.0
ARM,2002,491.0
ARM,2003,494.0
ARM,2004,505.0
ARM,2005,505.0
ARM,2006,503.9
ARM,2007,506.1
ARM,2008,504.4
ARM,2009,502.4
ARM,2010,503.6
ARM,2011,502.6
ARM,2012,505.1
ARM,2013,505.9
ARM,2014,504.8
ARM,2015,504.3
ARM,2016,504.4
ARM,2017,504.1
ARM,2018,504.7
ARM,2019,504.7
ASM,2000,4.8
ASM,2001,4.5
ASM,2002,4.5
ASM,2003,5.04
ASM,2004,5.0
ASM,2005,5.0
ASM,2006,5.0
ASM,2007,4.8
ASM,2008,4.8
ASM,2009,4.9
ASM,2010,4.9
ASM,2011,4.9
ASM,2012,4.9
ASM,2013,4.9
ASM,2014,4.9
ASM,2015,4.9
ASM,2016,4.9
ASM,2017,4.9
ASM,2018,4.9
ASM,2019,4.9
ATG,2000,5.0
ATG,2001,5.0
ATG,2002,5.0
ATG,2003,5.0
ATG,2004,5.0
ATG,2005,5.0
ATG,2006,5.0
ATG,2007,5.0
ATG,2008,5.0
ATG,2009,5.0
ATG,2010,5.0
ATG,2011,5.0
ATG,2012,5.0
ATG,2013,5.0
ATG,2014,5.0
ATG,2015,5.0
ATG,2016,5.0
ATG,2017,5.0
ATG,2018,5.0
ATG,2019,5.0
AUS,2000,23769.0
AUS,2001,24520.0
AUS,2002,24060.0
AUS,2003,23575.0
AUS,2004,26080.0
AUS,2005,26742.0
AUS,2006,24565.0
AUS,2007,23530.0
AUS,2008,24374.0
AUS,2009,27511.0
AUS,2010,25968.0
AUS,2011,32078.0
AUS,2012,31993.0
AUS,2013,31611.0
AUS,2014,32307.0
AUS,2015,31397.0
AUS,2016,30378.0
AUS,2017,31074.0
AUS,2018,31306.0
AUS,2019,31306.0
AUT,2000,1470.0
AUT,2001,1458.0
AUT,2002,1456.0
AUT,2003,1451.03
AUT,2004,1445.3
AUT,2005,1446.7
AUT,2006,1445.2
AUT,2007,1444.0
AUT,2008,1435.3
AUT,2009,1432.9
AUT,2010,1429.1
AUT,2011,1424.9
AUT,2012,1420.4
AUT,2013,1419.3
AUT,2014,1417.1
AUT,2015,1411.59
AUT,2016,1411.36
AUT,2017,1395.81
AUT,2018,1394.02
AUT,2019,1394.02
AZE,2000,2062.4
AZE,2001,2062.7
AZE,2002,2063.2
AZE,2003,2064.3
AZE,2004,2063.5
AZE,2005,2064.7
AZE,2006,2062.4
AZE,2007,2078.7
AZE,2008,2087.7
AZE,2009,2101.1
AZE,2010,2111.5
AZE,2011,2112.9
AZE,2012,2127.7
AZE,2013,2155.6
AZE,2014,2160.0
AZE,2015,2174.7
AZE,2016,2240.0
AZE,2017,2341.3
AZE,2018,2352.9
AZE,2019,2352.9
BDI,2000,1320.0
BDI,2001,1337.0
BDI,2002,1351.0
BDI,2003,1350.0
BDI,2004,1365.0
BDI,2005,1336.0
BDI,2006,1300.0
BDI,2007,1250.0
BDI,2008,1300.0
BDI,2009,1350.0
BDI,2010,1350.0
BDI,2011,1400.0
BDI,2012,1450.0
BDI,2013,1550.0
BDI,2014,1550.0
BDI,2015,1550.0
BDI,2016,1550.0
BDI,2017,1550.0
BDI,2018,1550.0
BDI,2019,1550.0
BEL,2000,882.6
BEL,2001,865.8
BEL,2002,853.1
BEL,2003,856.2
BEL,2004,861.3
BEL,2005,864.0
BEL,2006,863.0
BEL,2007,859.9
BEL,2008,865.3
BEL,2009,861.6
BEL,2010,855.7
BEL,2011,846.7
BEL,2012,825.0
BEL,2013,838.3
BEL,2014,839.3
BEL,2015,852.0
BEL,2016,872.4
BEL,2017,859.0
BEL,2018,874.0
BEL,2019,874.0
BEN,2000,2645.0
BEN,2001,2715.0
BEN,2002,2815.0
BEN,2003,2917.0
BEN,2004,2917.0
BEN,2005,2934.0
BEN,2006,2790.0
BEN,2007,2800.0
BEN,2008,3000.0
BEN,2009,3100.0
BEN,2010,3100.0
BEN,2011,3100.0
BEN,2012,3200.0
BEN,2013,3400.0
BEN,2014,3400.0
BEN,2015,3400.0
BEN,2016,3400.0
BEN,2017,3400.0
BEN,2018,3400.0
BEN,2019,3400.0
BFA,2000,3770.0
BFA,2001,4570.0
BFA,2002,4770.0
BFA,2003,5170.0
BFA,2004,4670.0
BFA,2005,4970.0
BFA,2006,4770.0
BFA,2007,4970.0
BFA,2008,6070.0
BFA,2009,5770.0
BFA,2010,6080.0
BFA,2011,5790.0
BFA,2012,6100.0
BFA,2013,6300.0
BFA,2014,6100.0
BFA,2015,6100.0
BFA,2016,6100.0
BFA,2017,6100.0
BFA,2018,6100.0
BFA,2019,6100.0
BGD,2000,8800.0
BGD,2001,8803.0
BGD,2002,8753.0
BGD,2003,8728.0
BGD,2004,8723.0
BGD,2005,8711.0
BGD,2006,8680.0
BGD,2007,8666.0
BGD,2008,8653.0
BGD,2009,8646.0
BGD,2010,8641.0
BGD,2011,8528.0
BGD,2012,8520.0
BGD,2013,8508.0
BGD,2014,8499.0
BGD,2015,8562.24
BGD,2016,8594.21
BGD,2017,8587.33
BGD,2018,8602.3
BGD,2019,8602.3
BGR,2000,3778.0
BGR,2001,3712.0
BGR,2002,3583.0
BGR,2003,3537.0
BGR,2004,3524.0
BGR,2005,3361.0
BGR,2006,3314.0
BGR,2007,3274.0
BGR,2008,3272.0
BGR,2009,3311.0
BGR,2010,3350.0
BGR,2011,3410.0
BGR,2012,3476.0
BGR,2013,3614.0
BGR,2014,3613.0
BGR,2015,3643.2
BGR,2016,3637.0
BGR,2017,3637.17
BGR,2018,3631.0
BGR,2019,3631.0
BHR,2000,5.2
BHR,2001,5.2
BHR,2002,5.2
BHR,2003,4.9
BHR,2004,4.7
BHR,2005,4.7
BHR,2006,4.55
BHR,2007,4.4
BHR,2008,4.2
BHR,2009,4.36
BHR,2010,4.6
BHR,2011,4.6
BHR,2012,4.6
BHR,2013,4.6
BHR,2014,4.6
BHR,2015,4.6
BHR,2016,4.6
BHR,2017,4.6
BHR,2018,4.6
BHR,2019,4.6
BHS,2000,11.0
BHS,2001,11.0
BHS,2002,11.0
BHS,2003,11.0
BHS,2004,11.0
BHS,2005,11.0
BHS,2006,11.0
BHS,2007,11.0
BHS,2008,11.0
BHS,2009,13.0
BHS,2010,13.0
BHS,2011,12.0
BHS,2012,12.0
BHS,2013,12.0
BHS,2014,12.0
BHS,2015,12.0
BHS,2016,12.0
BHS,2017,12.0
BHS,2018,12.0
BHS,2019,12.0
BIH,2000,1100.0
BIH,2001,1107.0
BIH,2002,1093.0
BIH,2003,1112.0
BIH,2004,1125.4
BIH,2005,1120.0
BIH,2006,1123.0
BIH,2007,1117.0
BIH,2008,1098.0
BIH,2009,1099.0
BIH,2010,1109.0
BIH,2011,1107.0
BIH,2012,1108.0
BIH,2013,1115.0
BIH,2014,1112.0
BIH,2015,1127.0
BIH,2016,1130.0
BIH,2017,1167.0
BIH,2018,1129.0
BIH,2019,1129.0
BLR,2000,6257.0
BLR,2001,5884.0
BLR,2002,5738.0
BLR,2003,5689.0
BLR,2004,5667.0
BLR,2005,5660.0
BLR,2006,5661.0
BLR,2007,5640.0
BLR,2008,5637.0
BLR,2009,5664.0
BLR,2010,5657.0
BLR,2011,5651.0
BLR,2012,5642.0
BLR,2013,5678.6
BLR,2014,5779.9
BLR,2015,5790.6
BLR,2016,5795.1
BLR,2017,5841.0
BLR,2018,5823.0
BLR,2019,5823.0
BLZ,2000,99.0
BLZ,2001,99.0
BLZ,2002,102.0
BLZ,2003,102.0
BLZ,2004,102.0
BLZ,2005,102.0
BLZ,2006,102.0
BLZ,2007,102.0
BLZ,2008,102.0
BLZ,2009,105.0
BLZ,2010,107.0
BLZ,2011,107.0
BLZ,2012,110.0
BLZ,2013,110.0
BLZ,2014,110.0
BLZ,2015,120.0
BLZ,2016,120.0
BLZ,2017,122.0
BLZ,2018,122.0
BLZ,2019,122.0
BMU,2000,0.4
BMU,2001,0.4
BMU,2002,0.4
BMU,2003,0.4
BMU,2004,0.4
BMU,2005,0.4
BMU,2006,0.4
BMU,2007,0.4
BMU,2008,0.3
BMU,2009,0.3
BMU,2010,0.3
BMU,2011,0.3
BMU,2012,0.3
BMU,2013,0.3
BMU,2014,0.3
BMU,2015,0.3
BMU,2016,0.3
BMU,2017,0.3
BMU,2018,0.3
BMU,2019,0.3
BOL,2000,3312.0
BOL,2001,3325.0
BOL,2002,3480.0
BOL,2003,3707.0
BOL,2004,3776.0
BOL,2005,4005.0
BOL,2006,4112.0
BOL,2007,4390.0
BOL,2008,4485.0
BOL,2009,4673.0
BOL,2010,4516.0
BOL,2011,4557.0
BOL,2012,4651.0
BOL,2013,4738.0
BOL,2014,4702.0
BOL,2015,4661.0
BOL,2016,4685.0
