ISO,Year,ERWR
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,18.18
AFG,2001,18.18
AFG,2002,18.18
AFG,2003,18.18
AFG,2004,18.18
AFG,2005,18.18
AFG,2006,18.18
AFG,2007,18.18
AFG,2008,18.18
AFG,2009,18.18
AFG,2010,18.18
AFG,2011,18.18
AFG,2012,18.18
AFG,2013,18.18
AFG,2014,18.18
AFG,2015,18.18
AFG,2016,18.18
AFG,2017,18.18
AFG,2018,18.18
AFG,2019,18.18
AGO,2000,0.4
AGO,2001,0.4
AGO,2002,0.4
AGO,2003,0.4
AGO,2004,0.4
AGO,2005,0.4
AGO,2006,0.4
AGO,2007,0.4
AGO,2008,0.4
AGO,2009,0.4
AGO,2010,0.4
AGO,2011,0.4
AGO,2012,0.4
AGO,2013,0.4
AGO,2014,0.4
AGO,2015,0.4
AGO,2016,0.4
AGO,2017,0.4
AGO,2018,0.4
AGO,2019,0.4
ALB,2000,3.3
ALB,2001,3.3
ALB,2002,3.3
ALB,2003,3.3
ALB,2004,3.3
ALB,2005,3.3
ALB,2006,3.3
ALB,2007,3.3
ALB,2008,3.3
ALB,2009,3.3
ALB,2010,3.3
ALB,2011,3.3
ALB,2012,3.3
ALB,2013,3.3
ALB,2014,3.3
ALB,2015,3.3
ALB,2016,3.3
ALB,2017,3.3
ALB,2018,3.3
ALB,2019,3.3
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
ARE,2000,0.0
ARE,2001,0.0
ARE,2002,0.0
ARE,2003,0.0
ARE,2004,0.0
ARE,2005,0.0
ARE,2006,0.0
ARE,2007,0.0
ARE,2008,0.0
ARE,2009,0.0
ARE,2010,0.0
ARE,2011,0.0
ARE,2012,0.0
ARE,2013,0.0
ARE,2014,0.0
ARE,2015,0.0
ARE,2016,0.0
ARE,2017,0.0
ARE,2018,0.0
ARE,2019,0.0
ARG,2000,584.2
ARG,2001,584.2
ARG,2002,584.2
ARG,2003,584.2
ARG,2004,584.2
ARG,2005,584.2
ARG,2006,584.2
ARG,2007,584.2
ARG,2008,584.2
ARG,2009,584.2
ARG,2010,584.2
ARG,2011,584.2
ARG,2012,584.2
ARG,2013,584.2
ARG,2014,584.2
ARG,2015,584.2
ARG,2016,584.2
ARG,2017,584.2
ARG,2018,584.2
ARG,2019,584.2
ARM,2000,0.91
ARM,2001,0.91
ARM,2002,0.91
ARM,2003,0.91
ARM,2004,0.91
ARM,2005,0.91
ARM,2006,0.91
ARM,2007,0.91
ARM,2008,0.91
ARM,2009,0.91
ARM,2010,0.91
ARM,2011,0.91
ARM,2012,0.91
ARM,2013,0.91
ARM,2014,0.91
ARM,2015,0.91
ARM,2016,0.91
ARM,2017,0.91
ARM,2018,0.91
ARM,2019,0.91
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,0.0
ATG,2001,0.0
ATG,2002,0.0
ATG,2003,0.0
ATG,2004,0.0
ATG,2005,0.0
ATG,2006,0.0
ATG,2007,0.0
ATG,2008,0.0
ATG,2009,0.0
ATG,2010,0.0
ATG,2011,0.0
ATG,2012,0.0
ATG,2013,0.0
ATG,2014,0.0
ATG,2015,0.0
ATG,2016,0.0
ATG,2017,0.0
ATG,2018,0.0
ATG,2019,0.0
AUS,2000,0.0
AUS,2001,0.0
AUS,2002,0.0
AUS,2003,0.0
AUS,2004,0.0
AUS,2005,0.0
AUS,2006,0.0
AUS,2007,0.0
AUS,2008,0.0
AUS,2009,0.0
AUS,2010,0.0
AUS,2011,0.0
AUS,2012,0.0
AUS,2013,0.0
AUS,2014,0.0
AUS,2015,0.0
AUS,2016,0.0
AUS,2017,0.0
AUS,2018,0.0
AUS,2019,0.0
AUT,2000,22.7
AUT,2001,22.7
AUT,2002,22.7
AUT,2003,22.7
AUT,2004,22.7
AUT,2005,22.7
AUT,2006,22.7
AUT,2007,22.7
AUT,2008,22.7
AUT,2009,22.7
AUT,2010,22.7
AUT,2011,22.7
AUT,2012,22.7
AUT,2013,22.7
AUT,2014,22.7
AUT,2015,22.7
AUT,2016,22.7
AUT,2017,22.7
AUT,2018,22.7
AUT,2019,22.7
AZE,2000,26.56
AZE,2001,26.56
AZE,2002,26.56
AZE,2003,26.56
AZE,2004,26.56
AZE,2005,26.56
AZE,2006,26.56
AZE,2007,26.56
AZE,2008,26.56
AZE,2009,26.56
AZE,2010,26.56
AZE,2011,26.56
AZE,2012,26.56
AZE,2013,26.56
AZE,2014,26.56
AZE,2015,26.56
AZE,2016,26.56
AZE,2017,26.56
AZE,2018,26.56
AZE,2019,26.56
BDI,2000,2.476
BDI,2001,2.476
BDI,2002,2.476
BDI,2003,2.476
BDI,2004,2.476
BDI,2005,2.476
BDI,2006,2.476
BDI,2007,2.476
BDI,2008,2.476
BDI,2009,2.476
BDI,2010,2.476
BDI,2011,2.476
BDI,2012,2.476
BDI,2013,2.476
BDI,2014,2.476
BDI,2015,2.476
BDI,2016,2.476
BDI,2017,2.476
BDI,2018,2.476
BDI,2019,2.476
BEL,2000,6.3
BEL,2001,6.3
BEL,2002,6.3
BEL,2003,6.3
BEL,2004,6.3
BEL,2005,6.3
BEL,2006,6.3
BEL,2007,6.3
BEL,2008,6.3
BEL,2009,6.3
BEL,2010,6.3
BEL,2011,6.3
BEL,2012,6.3
BEL,2013,6.3
BEL,2014,6.3
BEL,2015,6.3
BEL,2016,6.3
BEL,2017,6.3
BEL,2018,6.3
BEL,2019,6.3
BEN,2000,16.09
BEN,2001,16.09
BEN,2002,16.09
BEN,2003,16.09
BEN,2004,16.09
BEN,2005,16.09
BEN,2006,16.09
BEN,2007,16.09
BEN,2008,16.09
BEN,2009,16.09
BEN,2010,16.09
BEN,2011,16.09
BEN,2012,16.09
BEN,2013,16.09
BEN,2014,16.09
BEN,2015,16.09
BEN,2016,16.09
BEN,2017,16.09
BEN,2018,16.09
BEN,2019,16.09
BFA,2000,1.0
BFA,2001,1.0
BFA,2002,1.0
BFA,2003,1.0
BFA,2004,1.0
BFA,2005,1.0
BFA,2006,1.0
BFA,2007,1.0
BFA,2008,1.0
BFA,2009,1.0
BFA,2010,1.0
BFA,2011,1.0
BFA,2012,1.0
BFA,2013,1.0
BFA,2014,1.0
BFA,2015,1.0
BFA,2016,1.0
BFA,2017,1.0
BFA,2018,1.0
BFA,2019,1.0
BGD,2000,1122.0
BGD,2001,1122.0
BGD,2002,1122.0
BGD,2003,1122.0
BGD,2004,1122.0
BGD,2005,1122.0
BGD,2006,1122.0
BGD,2007,1122.0
BGD,2008,1122.0
BGD,2009,1122.0
BGD,2010,1122.0
BGD,2011,1122.0
BGD,2012,1122.0
BGD,2013,1122.0
BGD,2014,1122.0
BGD,2015,1122.0
BGD,2016,1122.0
BGD,2017,1122.0
BGD,2018,1122.0
BGD,2019,1122.0
BGR,2000,0.3
BGR,2001,0.3
BGR,2002,0.3
BGR,2003,0.3
BGR,2004,0.3
BGR,2005,0.3
BGR,2006,0.3
BGR,2007,0.3
BGR,2008,0.3
BGR,2009,0.3
BGR,2010,0.3
BGR,2011,0.3
BGR,2012,0.3
BGR,2013,0.3
BGR,2014,0.3
BGR,2015,0.3
BGR,2016,0.3
BGR,2017,0.3
BGR,2018,0.3
BGR,2019,0.3
BHR,2000,0.112
BHR,2001,0.112
BHR,2002,0.112
BHR,2003,0.112
BHR,2004,0.112
BHR,2005,0.112
BHR,2006,0.112
BHR,2007,0.112
BHR,2008,0.112
BHR,2009,0.112
BHR,2010,0.112
BHR,2011,0.112
BHR,2012,0.112
BHR,2013,0.112
BHR,2014,0.112
BHR,2015,0.112
BHR,2016,0.112
BHR,2017,0.112
BHR,2018,0.112
BHR,2019,0.112
BHS,2000,0.0
BHS,2001,0.0
BHS,2002,0.0
BHS,2003,0.0
BHS,2004,0.0
BHS,2005,0.0
