ISO,Year,ETo
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,1433.1517539964475
AFG,2001,1433.1517539964475
AFG,2002,1433.1517539964475
AFG,2003,1433.1517539964475
AFG,2004,1433.1517539964475
AFG,2005,1433.1517539964475
AFG,2006,1433.1517539964475
AFG,2007,1433.1517539964475
AFG,2008,1433.1517539964475
AFG,2009,1433.1517539964475
AFG,2010,1433.1517539964475
AFG,2011,1433.1517539964475
AFG,2012,1433.1517539964475
AFG,2013,1433.1517539964475
AFG,2014,1433.1517539964475
AFG,2015,1433.1517539964475
AFG,2016,1433.1517539964475
AFG,2017,1433.1517539964475
AFG,2018,1433.1517539964475
AFG,2019,1433.1517539964475
AGO,2000,1416.8059471258523
AGO,2001,1416.8059471258523
AGO,2002,1416.8059471258523
AGO,2003,1416.8059471258523
AGO,2004,1416.8059471258523
AGO,2005,1416.8059471258523
AGO,2006,1416.8059471258523
AGO,2007,1416.8059471258523
AGO,2008,1416.8059471258523
AGO,2009,1416.8059471258523
AGO,2010,1416.8059471258523
AGO,2011,1416.8059471258523
AGO,2012,1416.8059471258523
AGO,2013,1416.8059471258523
AGO,2014,1416.8059471258523
AGO,2015,1416.8059471258523
AGO,2016,1416.8059471258523
AGO,2017,1416.8059471258523
AGO,2018,1416.8059471258523
AGO,2019,1416.8059471258523
ALB,2000,918.140589569161
ALB,2001,918.140589569161
ALB,2002,918.140589569161
ALB,2003,918.140589569161
ALB,2004,918.140589569161
ALB,2005,918.140589569161
ALB,2006,918.140589569161
ALB,2007,918.140589569161
ALB,2008,918.140589569161
ALB,2009,918.140589569161
ALB,2010,918.140589569161
ALB,2011,918.140589569161
ALB,2012,918.140589569161
ALB,2013,918.140589569161
ALB,2014,918.140589569161
ALB,2015,918.140589569161
ALB,2016,918.140589569161
ALB,2017,918.140589569161
ALB,2018,918.140589569161
ALB,2019,918.140589569161
AND,2000,718.5714285714286
AND,2001,718.5714285714286
AND,2002,718.5714285714286
AND,2003,718.5714285714286
AND,2004,718.5714285714286
AND,2005,718.5714285714286
AND,2006,718.5714285714286
AND,2007,718.5714285714286
AND,2008,718.5714285714286
AND,2009,718.5714285714286
AND,2010,718.5714285714286
AND,2011,718.5714285714286
AND,2012,718.5714285714286
AND,2013,718.5714285714286
AND,2014,718.5714285714286
AND,2015,718.5714285714286
AND,2016,718.5714285714286
AND,2017,718.5714285714286
AND,2018,718.5714285714286
AND,2019,718.5714285714286
ARE,2000,2130.306077447514
ARE,2001,2130.306077447514
ARE,2002,2130.306077447514
ARE,2003,2130.306077447514
ARE,2004,2130.306077447514
ARE,2005,2130.306077447514
ARE,2006,2130.306077447514
ARE,2007,2130.306077447514
ARE,2008,2130.306077447514
ARE,2009,2130.306077447514
ARE,2010,2130.306077447514
ARE,2011,2130.306077447514
ARE,2012,2130.306077447514
ARE,2013,2130.306077447514
ARE,2014,2130.306077447514
ARE,2015,2130.306077447514
ARE,2016,2130.306077447514
ARE,2017,2130.306077447514
ARE,2018,2130.306077447514
ARE,2019,2130.306077447514
ARG,2000,1296.3799732574191
ARG,2001,1296.3799732574191
ARG,2002,1296.3799732574191
ARG,2003,1296.3799732574191
ARG,2004,1296.3799732574191
ARG,2005,1296.3799732574191
ARG,2006,1296.3799732574191
ARG,2007,1296.3799732574191
ARG,2008,1296.3799732574191
ARG,2009,1296.3799732574191
ARG,2010,1296.3799732574191
ARG,2011,1296.3799732574191
ARG,2012,1296.3799732574191
ARG,2013,1296.3799732574191
ARG,2014,1296.3799732574191
ARG,2015,1296.3799732574191
ARG,2016,1296.3799732574191
ARG,2017,1296.3799732574191
ARG,2018,1296.3799732574191
ARG,2019,1296.3799732574191
ARM,2000,941.2777777777778
ARM,2001,941.2777777777778
ARM,2002,941.2777777777778
ARM,2003,941.2777777777778
ARM,2004,941.2777777777778
ARM,2005,941.2777777777778
ARM,2006,941.2777777777778
ARM,2007,941.2777777777778
ARM,2008,941.2777777777778
ARM,2009,941.2777777777778
ARM,2010,941.2777777777778
ARM,2011,941.2777777777778
ARM,2012,941.2777777777778
ARM,2013,941.2777777777778
ARM,2014,941.2777777777778
ARM,2015,941.2777777777778
ARM,2016,941.2777777777778
ARM,2017,941.2777777777778
ARM,2018,941.2777777777778
ARM,2019,941.2777777777778
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,1678.2
ATG,2001,1678.2
ATG,2002,1678.2
ATG,2003,1678.2
ATG,2004,1678.2
ATG,2005,1678.2
ATG,2006,1678.2
ATG,2007,1678.2
ATG,2008,1678.2
ATG,2009,1678.2
ATG,2010,1678.2
ATG,2011,1678.2
ATG,2012,1678.2
ATG,2013,1678.2
ATG,2014,1678.2
ATG,2015,1678.2
ATG,2016,1678.2
ATG,2017,1678.2
ATG,2018,1678.2
ATG,2019,1678.2
AUS,2000,1997.4169049349728
AUS,2001,1997.4169049349728
AUS,2002,1997.4169049349728
AUS,2003,1997.4169049349728
AUS,2004,1997.4169049349728
AUS,2005,1997.4169049349728
AUS,2006,1997.4169049349728
AUS,2007,1997.4169049349728
AUS,2008,1997.4169049349728
AUS,2009,1997.4169049349728
AUS,2010,1997.4169049349728
AUS,2011,1997.4169049349728
AUS,2012,1997.4169049349728
AUS,2013,1997.4169049349728
AUS,2014,1997.4169049349728
AUS,2015,1997.4169049349728
AUS,2016,1997.4169049349728
AUS,2017,1997.4169049349728
AUS,2018,1997.4169049349728
AUS,2019,1997.4169049349728
AUT,2000,648.9503790489317
AUT,2001,648.9503790489317
AUT,2002,648.9503790489317
AUT,2003,648.9503790489317
AUT,2004,648.9503790489317
AUT,2005,648.9503790489317
AUT,2006,648.9503790489317
AUT,2007,648.9503790489317
AUT,2008,648.9503790489317
AUT,2009,648.9503790489317
AUT,2010,648.9503790489317
AUT,2011,648.9503790489317
AUT,2012,648.9503790489317
AUT,2013,648.9503790489317
AUT,2014,648.9503790489317
AUT,2015,648.9503790489317
AUT,2016,648.9503790489317
AUT,2017,648.9503790489317
AUT,2018,648.9503790489317
AUT,2019,648.9503790489317
AZE,2000,981.3404255319148
AZE,2001,981.3404255319148
AZE,2002,981.3404255319148
AZE,2003,981.3404255319148
AZE,2004,981.3404255319148
AZE,2005,981.3404255319148
AZE,2006,981.3404255319148
AZE,2007,981.3404255319148
AZE,2008,981.3404255319148
AZE,2009,981.3404255319148
AZE,2010,981.3404255319148
AZE,2011,981.3404255319148
AZE,2012,981.3404255319148
AZE,2013,981.3404255319148
AZE,2014,981.3404255319148
AZE,2015,981.3404255319148
AZE,2016,981.3404255319148
AZE,2017,981.3404255319148
AZE,2018,981.3404255319148
AZE,2019,981.3404255319148
BDI,2000,1371.9577922077922
BDI,2001,1371.9577922077922
BDI,2002,1371.9577922077922
BDI,2003,1371.9577922077922
BDI,2004,1371.9577922077922
BDI,2005,1371.9577922077922
BDI,2006,1371.9577922077922
BDI,2007,1371.9577922077922
BDI,2008,1371.9577922077922
BDI,2009,1371.9577922077922
BDI,2010,1371.9577922077922
BDI,2011,1371.9577922077922
BDI,2012,1371.9577922077922
BDI,2013,1371.9577922077922
BDI,2014,1371.9577922077922
BDI,2015,1371.9577922077922
BDI,2016,1371.9577922077922
BDI,2017,1371.9577922077922
BDI,2018,1371.9577922077922
BDI,2019,1371.9577922077922
BEL,2000,657.0017730496454
BEL,2001,657.0017730496454
BEL,2002,657.0017730496454
BEL,2003,657.0017730496454
BEL,2004,657.0017730496454
BEL,2005,657.0017730496454
BEL,2006,657.0017730496454
BEL,2007,657.0017730496454
BEL,2008,657.0017730496454
BEL,2009,657.0017730496454
BEL,2010,657.0017730496454
BEL,2011,657.0017730496454
BEL,2012,657.0017730496454
BEL,2013,657.0017730496454
BEL,2014,657.0017730496454
BEL,2015,657.0017730496454
BEL,2016,657.0017730496454
BEL,2017,657.0017730496454
BEL,2018,657.0017730496454
BEL,2019,657.0017730496454
BEN,2000,1707.6479076479077
BEN,2001,1707.6479076479077
BEN,2002,1707.6479076479077
BEN,2003,1707.6479076479077
BEN,2004,1707.6479076479077
BEN,2005,1707.6479076479077
BEN,2006,1707.6479076479077
BEN,2007,1707.6479076479077
