ISO,Year,EW1
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,0.18
AFG,2001,0.17
AFG,2002,0.31
AFG,2003,0.32
AFG,2004,0.37
AFG,2005,0.39
AFG,2006,0.43
AFG,2007,0.55
AFG,2008,0.53
AFG,2009,0.6
AFG,2010,0.62
AFG,2011,0.69
AFG,2012,0.77
AFG,2013,0.82
AFG,2014,0.85
AFG,2015,0.85
AFG,2016,0.87
AFG,2017,0.92
AFG,2018,0.93
AFG,2019,0.93
AGO,2000,58.27
AGO,2001,56.77
AGO,2002,66.8
AGO,2003,67.7
AGO,2004,74.23
AGO,2005,84.81
AGO,2006,93.84
AGO,2007,108.36
AGO,2008,118.08
AGO,2009,117.15
AGO,2010,124.44
AGO,2011,129.91
AGO,2012,143.12
AGO,2013,149.62
AGO,2014,151.74
AGO,2015,149.19
AGO,2016,143.79
AGO,2017,142.47
AGO,2018,142.0
AGO,2019,142.0
ALB,2000,2.64
ALB,2001,2.64
ALB,2002,2.95
ALB,2003,3.28
ALB,2004,3.68
ALB,2005,4.2
ALB,2006,4.85
ALB,2007,5.28
ALB,2008,5.72
ALB,2009,5.98
ALB,2010,6.23
ALB,2011,6.45
ALB,2012,6.55
ALB,2013,6.7
ALB,2014,6.88
ALB,2015,8.37
ALB,2016,8.83
ALB,2017,7.29
ALB,2018,10.33
ALB,2019,10.33
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
ARE,2000,63.48
ARE,2001,61.3
ARE,2002,59.85
ARE,2003,62.13
ARE,2004,62.47
ARE,2005,60.85
ARE,2006,66.78
ARE,2007,69.21
ARE,2008,71.74
ARE,2009,68.86
ARE,2010,69.44
ARE,2011,74.55
ARE,2012,77.7
ARE,2013,81.75
ARE,2014,85.35
ARE,2015,73.86
ARE,2016,74.81
ARE,2017,73.9
ARE,2018,73.92
ARE,2019,73.92
ARG,2000,11.9
ARG,2001,11.25
ARG,2002,9.28
ARG,2003,9.63
ARG,2004,10.15
ARG,2005,10.88
ARG,2006,11.62
ARG,2007,12.27
ARG,2008,12.5
ARG,2009,11.8
ARG,2010,12.53
ARG,2011,13.08
ARG,2012,13.08
ARG,2013,13.38
ARG,2014,12.94
ARG,2015,13.56
ARG,2016,13.16
ARG,2017,13.62
ARG,2018,13.26
ARG,2019,13.26
ARM,2000,1.5
ARM,2001,1.74
ARM,2002,2.21
ARM,2003,2.25
ARM,2004,1.75
ARM,2005,2.43
ARM,2006,2.29
ARM,2007,2.59
ARM,2008,3.08
ARM,2009,3.01
ARM,2010,3.47
ARM,2011,2.96
ARM,2012,2.65
ARM,2013,2.69
ARM,2014,2.78
ARM,2015,2.62
ARM,2016,2.72
ARM,2017,3.26
ARM,2018,3.58
ARM,2019,3.58
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,133.06
ATG,2001,119.47
ATG,2002,117.49
ATG,2003,120.66
ATG,2004,121.89
ATG,2005,127.56
ATG,2006,135.97
ATG,2007,139.27
ATG,2008,134.46
ATG,2009,115.13
ATG,2010,101.43
ATG,2011,95.09
ATG,2012,93.83
ATG,2013,94.58
ATG,2014,99.48
ATG,2015,100.6
ATG,2016,106.28
ATG,2017,109.84
ATG,2018,118.43
ATG,2019,118.43
AUS,2000,50.4
AUS,2001,50.4
AUS,2002,50.4
AUS,2003,50.4
AUS,2004,50.4
AUS,2005,50.4
AUS,2006,50.4
AUS,2007,56.05
AUS,2008,62.22
AUS,2009,68.57
AUS,2010,72.52
AUS,2011,77.53
AUS,2012,65.97
AUS,2013,54.79
AUS,2014,59.36
AUS,2015,65.34
AUS,2016,72.0
AUS,2017,72.28
AUS,2018,70.2
AUS,2019,70.2
AUT,2000,74.98
AUT,2001,76.34
AUT,2002,78.54
AUT,2003,80.03
AUT,2004,82.96
AUT,2005,85.28
AUT,2006,89.51
AUT,2007,93.48
AUT,2008,96.11
AUT,2009,90.94
AUT,2010,91.01
AUT,2011,93.58
AUT,2012,94.22
AUT,2013,94.46
AUT,2014,95.21
AUT,2015,96.34
AUT,2016,98.36
AUT,2017,100.73
AUT,2018,103.41
AUT,2019,103.41
AZE,2000,0.97
AZE,2001,1.18
AZE,2002,1.28
AZE,2003,1.34
AZE,2004,1.4
AZE,2005,1.7
AZE,2006,2.3
AZE,2007,2.87
AZE,2008,3.34
AZE,2009,3.7
AZE,2010,3.84
AZE,2011,3.74
AZE,2012,3.6
AZE,2013,3.78
AZE,2014,3.98
AZE,2015,3.87
AZE,2016,3.72
AZE,2017,3.67
AZE,2018,3.87
AZE,2019,3.87
BDI,2000,3.19
BDI,2001,3.36
BDI,2002,3.47
BDI,2003,3.78
BDI,2004,3.03
BDI,2005,3.71
BDI,2006,3.89
BDI,2007,4.5
BDI,2008,4.44
BDI,2009,4.66
BDI,2010,4.79
BDI,2011,5.03
BDI,2012,5.36
BDI,2013,5.29
BDI,2014,5.86
BDI,2015,5.94
BDI,2016,5.96
BDI,2017,6.14
BDI,2018,6.26
BDI,2019,6.26
BEL,2000,51.01
BEL,2001,51.01
BEL,2002,51.01
BEL,2003,51.01
BEL,2004,53.66
BEL,2005,55.9
BEL,2006,58.0
BEL,2007,60.81
BEL,2008,62.93
BEL,2009,62.5
BEL,2010,67.79
BEL,2011,73.58
BEL,2012,78.53
BEL,2013,84.35
BEL,2014,92.42
BEL,2015,102.87
BEL,2016,104.12
BEL,2017,106.07
BEL,2018,107.71
BEL,2019,107.71
BEN,2000,22.25
BEN,2001,24.62
BEN,2002,23.4
BEN,2003,23.23
BEN,2004,22.29
BEN,2005,21.66
BEN,2006,21.22
BEN,2007,21.14
BEN,2008,21.37
BEN,2009,21.03
BEN,2010,20.81
BEN,2011,20.83
BEN,2012,20.95
BEN,2013,21.9
BEN,2014,22.72
BEN,2015,23.5
BEN,2016,25.23
BEN,2017,27.26
BEN,2018,29.35
BEN,2019,29.35
BFA,2000,4.05
BFA,2001,3.81
BFA,2002,3.86
BFA,2003,4.14
BFA,2004,4.33
BFA,2005,4.25
BFA,2006,4.74
BFA,2007,5.25
BFA,2008,4.97
BFA,2009,5.43
BFA,2010,5.88
BFA,2011,6.43
BFA,2012,6.67
BFA,2013,6.94
BFA,2014,7.4
BFA,2015,9.92
BFA,2016,10.56
BFA,2017,11.14
BFA,2018,11.76
BFA,2019,11.76
BGD,2000,3.29
BGD,2001,3.29
BGD,2002,3.29
BGD,2003,3.29
BGD,2004,3.29
BGD,2005,3.29
BGD,2006,3.29
BGD,2007,3.29
BGD,2008,3.29
BGD,2009,3.48
BGD,2010,3.66
BGD,2011,3.88
BGD,2012,4.13
BGD,2013,4.41
BGD,2014,4.68
BGD,2015,5.07
BGD,2016,5.34
BGD,2017,5.72
BGD,2018,6.16
BGD,2019,6.16
BGR,2000,3.73
BGR,2001,4.09
BGR,2002,3.93
BGR,2003,3.9
BGR,2004,4.26
BGR,2005,4.67
BGR,2006,5.08
BGR,2007,5.82
BGR,2008,5.85
BGR,2009,6.2
BGR,2010,6.47
BGR,2011,6.16
BGR,2012,6.81
BGR,2013,7.11
BGR,2014,7.44
BGR,2015,7.42
BGR,2016,7.58
BGR,2017,7.93
BGR,2018,8.63
BGR,2019,8.63
BHR,2000,43.76
BHR,2001,44.35
BHR,2002,45.56
BHR,2003,47.99
BHR,2004,50.46
BHR,2005,53.03
BHR,2006,55.49
BHR,2007,59.09
BHR,2008,61.71
BHR,2009,62.28
BHR,2010,63.88
BHR,2011,64.24
BHR,2012,65.51
BHR,2013,68.03
BHR,2014,70.08
BHR,2015,71.81
BHR,2016,73.59
BHR,2017,76.21
BHR,2018,78.07
BHR,2019,78.07
BHS,2000,0.0
BHS,2001,0.0
BHS,2002,0.0
BHS,2003,0.0
BHS,2004,0.0
BHS,2005,0.0
BHS,2006,0.0
BHS,2007,0.0
