ISO,Year,GDPC
ABW,2000,28417.3842120132
ABW,2001,26966.0548644166
ABW,2002,25508.3027198476
ABW,2003,25469.2876015726
ABW,2004,27005.5294296216
ABW,2005,26979.8853984373
ABW,2006,27046.224230202
ABW,2007,27427.5785719272
ABW,2008,27365.9311941508
ABW,2009,24463.6921995023
ABW,2010,23512.6025956397
ABW,2011,24233.0010815022
ABW,2012,23781.2572983852
ABW,2013,24635.764947531
ABW,2014,24563.2343250816
ABW,2015,25822.2513745534
ABW,2016,26231.0266768348
ABW,2017,26630.2052807325
ABW,2018,26630.2052807325
ABW,2019,26630.2052807325
AFG,2000,330.303552908057
AFG,2001,330.303552908057
AFG,2002,330.303552908057
AFG,2003,343.080889714587
AFG,2004,333.216684486798
AFG,2005,357.234719908026
AFG,2006,365.284494951006
AFG,2007,405.548979051796
AFG,2008,412.014286663305
AFG,2009,488.300250990155
AFG,2010,543.303041863931
AFG,2011,528.736648057768
AFG,2012,576.190125450699
AFG,2013,587.565090150175
AFG,2014,583.656192833123
AFG,2015,574.184114271259
AFG,2016,571.07377452356
AFG,2017,571.440690906349
AFG,2018,564.609991742901
AFG,2019,573.287551042738
AGO,2000,2205.20533780581
AGO,2001,2223.33463308956
AGO,2002,2444.41778235176
AGO,2003,2433.86155040755
AGO,2004,2608.7840447081
AGO,2005,2896.55472912948
AGO,2006,3116.18103865483
AGO,2007,3424.37170191088
AGO,2008,3668.07989214814
AGO,2009,3565.05693638622
AGO,2010,3587.88379824396
AGO,2011,3579.95990738589
AGO,2012,3748.45065461021
AGO,2013,3796.88218936433
AGO,2014,3843.19787714916
AGO,2015,3748.32011771476
AGO,2016,3530.31067153378
AGO,2017,3409.93030259958
AGO,2018,3233.90623484048
AGO,2019,3111.15769874335
ALB,2000,2244.62463172571
ALB,2001,2453.62441365203
ALB,2002,2572.72143217486
ALB,2003,2725.17138911963
ALB,2004,2887.37034243453
ALB,2005,3062.67388299547
ALB,2006,3263.90171311883
ALB,2007,3485.32240934607
ALB,2008,3775.58131429173
ALB,2009,3928.45039149695
ALB,2010,4094.3503344202
ALB,2011,4209.87480089435
ALB,2012,4276.60790388367
ALB,2013,4327.37995998728
ALB,2014,4413.29689127908
ALB,2015,4524.3730858712
ALB,2016,4681.82656299266
ALB,2017,4864.31061630449
ALB,2018,5074.85722194352
ALB,2019,5210.68829038413
AND,2000,40379.390206452
AND,2001,42393.0818204197
AND,2002,42607.056937381
AND,2003,44328.7604494183
AND,2004,46010.1013427567
AND,2005,46880.8061047792
AND,2006,47845.400420286
AND,2007,47594.8281439041
AND,2008,44317.5502434378
AND,2009,41668.8373600629
AND,2010,40852.6667774434
AND,2011,41191.7854116591
AND,2012,39769.5614582283
AND,2013,39143.6896810315
AND,2014,40914.7285238633
AND,2015,42140.9617984695
AND,2016,44107.9563309965
AND,2017,44430.7440094935
AND,2018,45133.7136149095
AND,2019,45887.3021264552
ARE,2000,63251.5229870394
ARE,2001,60861.2659986951
ARE,2002,59187.2069291282
ARE,2003,60351.1400473436
ARE,2004,60328.3205264375
ARE,2005,56092.9202185986
ARE,2006,53335.0315740292
ARE,2007,47283.9032785234
ARE,2008,42456.7958854415
ARE,2009,36024.0582294666
ARE,2010,33893.303514039
ARE,2011,34634.8621429885
ARE,2012,35416.8917844949
ARE,2013,36978.8330410358
ARE,2014,38495.0463523453
ARE,2015,40247.7471408685
ARE,2016,41045.1111167209
ARE,2017,41460.2834462501
ARE,2018,41327.3827625282
ARE,2019,41420.4830318379
ARG,2000,8224.11282651363
ARG,2001,7776.13787206685
ARG,2002,6854.29408086406
ARG,2003,7380.4670873289
ARG,2004,7962.41230916816
ARG,2005,8577.86499429459
ARG,2006,9174.50245831662
ARG,2007,9901.51188115634
ARG,2008,10201.4759370923
ARG,2009,9502.24358504659
ARG,2010,10385.9644319555
ARG,2011,10883.315359489
ARG,2012,10649.8372874572
ARG,2013,10784.6306992057
ARG,2014,10398.6940069464
ARG,2015,10568.1578087083
ARG,2016,10239.4813479933
ARG,2017,10419.455405282
ARG,2018,10049.5552392518
ARG,2019,9742.45541691587
ARM,2000,1403.03125696524
ARM,2001,1547.2509642915
ARM,2002,1761.134046303
ARM,2003,2018.36748635553
ARM,2004,2243.08895410682
ARM,2005,2571.54737412585
ARM,2006,2933.58637163606
ARM,2007,3364.70574241821
ARM,2008,3627.79670234564
ARM,2009,3137.34609774329
ARM,2010,3218.37270660563
ARM,2011,3370.55110335811
ARM,2012,3603.59584817544
ARM,2013,3705.35739637697
ARM,2014,3819.21778720313
ARM,2015,3923.71650211228
ARM,2016,3917.37967561964
ARM,2017,4198.79474869834
ARM,2018,4406.70643384286
ARM,2019,4732.06950610049
ASM,2000,10551.212572216
ASM,2001,10551.212572216
ASM,2002,10551.212572216
ASM,2003,10561.3156869179
ASM,2004,10586.6823368619
ASM,2005,10565.2319198874
ASM,2006,10202.9553063961
ASM,2007,10535.5519401488
ASM,2008,10416.0057817659
ASM,2009,10117.0113625969
ASM,2010,10271.2245225485
ASM,2011,10360.5091546826
ASM,2012,9921.80610804858
ASM,2013,9640.34446203249
ASM,2014,9717.82905631836
ASM,2015,9850.56503409338
ASM,2016,9589.9798367323
ASM,2017,9048.18252237097
ASM,2018,9271.71200951825
ASM,2019,9271.71200951825
ATG,2000,13124.5367966055
ATG,2001,12333.5816333732
ATG,2002,12287.9473803364
ATG,2003,12869.4368950194
ATG,2004,13436.087750605
ATG,2005,14107.6558131371
ATG,2006,15662.2704252901
ATG,2007,16851.8981123392
ATG,2008,16578.9726512804
ATG,2009,14368.7007413694
ATG,2010,13049.2570545735
ATG,2011,12618.0791316619
ATG,2012,12876.8892883551
ATG,2013,12644.6890235017
ATG,2014,12976.3314609289
ATG,2015,13328.1466479391
ATG,2016,13917.9511172561
ATG,2017,14220.5021076325
ATG,2018,15134.8841569088
ATG,2019,15704.2659429089
AUS,2000,44334.4163924416
AUS,2001,44585.2111928867
AUS,2002,45806.7194040019
AUS,2003,46595.9234893124
AUS,2004,47926.7258598649
AUS,2005,48813.9164122463
AUS,2006,49443.2322862009
AUS,2007,51024.20916188
AUS,2008,51841.2609971277
AUS,2009,51767.4024588708
AUS,2010,52022.1255961876
AUS,2011,52567.7619238659
AUS,2012,53682.0321439532
AUS,2013,54129.9357689465
AUS,2014,54679.4164458288
AUS,2015,55079.8923433681
AUS,2016,55728.6822551091
AUS,2017,56058.4659514366
AUS,2018,56832.0504820575
AUS,2019,57186.6212930671
AUT,2000,42001.210774577
AUT,2001,42370.9302536426
AUT,2002,42859.3299380524
AUT,2003,43052.602598004
AUT,2004,43956.5829032552
AUT,2005,44637.8560109729
AUT,2006,45951.7346365426
AUT,2007,47510.2937856663
AUT,2008,48053.4823567215
AUT,2009,46123.4911031965
AUT,2010,46858.0432733717
AUT,2011,48065.3165411898
AUT,2012,48172.2381151452
