ISO,Year,GW
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,10.65
AFG,2001,10.65
AFG,2002,10.65
AFG,2003,10.65
AFG,2004,10.65
AFG,2005,10.65
AFG,2006,10.65
AFG,2007,10.65
AFG,2008,10.65
AFG,2009,10.65
AFG,2010,10.65
AFG,2011,10.65
AFG,2012,10.65
AFG,2013,10.65
AFG,2014,10.65
AFG,2015,10.65
AFG,2016,10.65
AFG,2017,10.65
AFG,2018,10.65
AFG,2019,10.65
AGO,2000,58.0
AGO,2001,58.0
AGO,2002,58.0
AGO,2003,58.0
AGO,2004,58.0
AGO,2005,58.0
AGO,2006,58.0
AGO,2007,58.0
AGO,2008,58.0
AGO,2009,58.0
AGO,2010,58.0
AGO,2011,58.0
AGO,2012,58.0
AGO,2013,58.0
AGO,2014,58.0
AGO,2015,58.0
AGO,2016,58.0
AGO,2017,58.0
AGO,2018,58.0
AGO,2019,58.0
ALB,2000,6.2
ALB,2001,6.2
ALB,2002,6.2
ALB,2003,6.2
ALB,2004,6.2
ALB,2005,6.2
ALB,2006,6.2
ALB,2007,6.2
ALB,2008,6.2
ALB,2009,6.2
ALB,2010,6.2
ALB,2011,6.2
ALB,2012,6.2
ALB,2013,6.2
ALB,2014,6.2
ALB,2015,6.2
ALB,2016,6.2
ALB,2017,6.2
ALB,2018,6.2
ALB,2019,6.2
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
ARE,2000,0.12
ARE,2001,0.12
ARE,2002,0.12
ARE,2003,0.12
ARE,2004,0.12
ARE,2005,0.12
ARE,2006,0.12
ARE,2007,0.12
ARE,2008,0.12
ARE,2009,0.12
ARE,2010,0.12
ARE,2011,0.12
ARE,2012,0.12
ARE,2013,0.12
ARE,2014,0.12
ARE,2015,0.12
ARE,2016,0.12
ARE,2017,0.12
ARE,2018,0.12
ARE,2019,0.12
ARG,2000,128.0
ARG,2001,128.0
ARG,2002,128.0
ARG,2003,128.0
ARG,2004,128.0
ARG,2005,128.0
ARG,2006,128.0
ARG,2007,128.0
ARG,2008,128.0
ARG,2009,128.0
ARG,2010,128.0
ARG,2011,128.0
ARG,2012,128.0
ARG,2013,128.0
ARG,2014,128.0
ARG,2015,128.0
ARG,2016,128.0
ARG,2017,128.0
ARG,2018,128.0
ARG,2019,128.0
ARM,2000,4.311
ARM,2001,4.311
ARM,2002,4.311
ARM,2003,4.311
ARM,2004,4.311
ARM,2005,4.311
ARM,2006,4.311
ARM,2007,4.311
ARM,2008,4.311
ARM,2009,4.311
ARM,2010,4.311
ARM,2011,4.311
ARM,2012,4.311
ARM,2013,4.311
ARM,2014,4.311
ARM,2015,4.311
ARM,2016,4.311
ARM,2017,4.311
ARM,2018,4.311
ARM,2019,4.311
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,0.0
ATG,2001,0.0
ATG,2002,0.0
ATG,2003,0.0
ATG,2004,0.0
ATG,2005,0.0
ATG,2006,0.0
ATG,2007,0.0
ATG,2008,0.0
ATG,2009,0.0
ATG,2010,0.0
ATG,2011,0.0
ATG,2012,0.0
ATG,2013,0.0
ATG,2014,0.0
ATG,2015,0.0
ATG,2016,0.0
ATG,2017,0.0
ATG,2018,0.0
ATG,2019,0.0
AUS,2000,72.0
AUS,2001,72.0
AUS,2002,72.0
AUS,2003,72.0
AUS,2004,72.0
AUS,2005,72.0
AUS,2006,72.0
AUS,2007,72.0
AUS,2008,72.0
AUS,2009,72.0
AUS,2010,72.0
AUS,2011,72.0
AUS,2012,72.0
AUS,2013,72.0
AUS,2014,72.0
AUS,2015,72.0
AUS,2016,72.0
AUS,2017,72.0
AUS,2018,72.0
AUS,2019,72.0
AUT,2000,6.0
AUT,2001,6.0
AUT,2002,6.0
AUT,2003,6.0
AUT,2004,6.0
AUT,2005,6.0
AUT,2006,6.0
AUT,2007,6.0
AUT,2008,6.0
AUT,2009,6.0
AUT,2010,6.0
AUT,2011,6.0
AUT,2012,6.0
AUT,2013,6.0
AUT,2014,6.0
AUT,2015,6.0
AUT,2016,6.0
AUT,2017,6.0
AUT,2018,6.0
AUT,2019,6.0
AZE,2000,6.51
AZE,2001,6.51
AZE,2002,6.51
AZE,2003,6.51
AZE,2004,6.51
AZE,2005,6.51
AZE,2006,6.51
AZE,2007,6.51
AZE,2008,6.51
AZE,2009,6.51
AZE,2010,6.51
AZE,2011,6.51
AZE,2012,6.51
AZE,2013,6.51
AZE,2014,6.51
AZE,2015,6.51
AZE,2016,6.51
AZE,2017,6.51
AZE,2018,6.51
AZE,2019,6.51
BDI,2000,7.47
BDI,2001,7.47
BDI,2002,7.47
BDI,2003,7.47
BDI,2004,7.47
BDI,2005,7.47
BDI,2006,7.47
BDI,2007,7.47
BDI,2008,7.47
BDI,2009,7.47
BDI,2010,7.47
BDI,2011,7.47
BDI,2012,7.47
BDI,2013,7.47
BDI,2014,7.47
BDI,2015,7.47
BDI,2016,7.47
BDI,2017,7.47
BDI,2018,7.47
BDI,2019,7.47
BEL,2000,0.9
BEL,2001,0.9
BEL,2002,0.9
BEL,2003,0.9
BEL,2004,0.9
BEL,2005,0.9
BEL,2006,0.9
BEL,2007,0.9
BEL,2008,0.9
BEL,2009,0.9
BEL,2010,0.9
BEL,2011,0.9
BEL,2012,0.9
BEL,2013,0.9
BEL,2014,0.9
BEL,2015,0.9
BEL,2016,0.9
BEL,2017,0.9
BEL,2018,0.9
BEL,2019,0.9
BEN,2000,1.8
BEN,2001,1.8
BEN,2002,1.8
BEN,2003,1.8
BEN,2004,1.8
BEN,2005,1.8
BEN,2006,1.8
BEN,2007,1.8
BEN,2008,1.8
BEN,2009,1.8
BEN,2010,1.8
BEN,2011,1.8
BEN,2012,1.8
BEN,2013,1.8
BEN,2014,1.8
BEN,2015,1.8
BEN,2016,1.8
BEN,2017,1.8
BEN,2018,1.8
BEN,2019,1.8
BFA,2000,9.5
BFA,2001,9.5
BFA,2002,9.5
BFA,2003,9.5
BFA,2004,9.5
BFA,2005,9.5
BFA,2006,9.5
BFA,2007,9.5
BFA,2008,9.5
BFA,2009,9.5
BFA,2010,9.5
BFA,2011,9.5
BFA,2012,9.5
BFA,2013,9.5
BFA,2014,9.5
BFA,2015,9.5
BFA,2016,9.5
BFA,2017,9.5
BFA,2018,9.5
BFA,2019,9.5
BGD,2000,21.09
BGD,2001,21.09
BGD,2002,21.09
BGD,2003,21.09
BGD,2004,21.09
BGD,2005,21.09
BGD,2006,21.09
BGD,2007,21.09
BGD,2008,21.09
BGD,2009,21.09
BGD,2010,21.09
BGD,2011,21.09
BGD,2012,21.09
BGD,2013,21.09
BGD,2014,21.09
BGD,2015,21.09
BGD,2016,21.09
BGD,2017,21.09
BGD,2018,21.09
BGD,2019,21.09
BGR,2000,6.4
BGR,2001,6.4
BGR,2002,6.4
BGR,2003,6.4
BGR,2004,6.4
BGR,2005,6.4
BGR,2006,6.4
BGR,2007,6.4
BGR,2008,6.4
BGR,2009,6.4
BGR,2010,6.4
BGR,2011,6.4
BGR,2012,6.4
BGR,2013,6.4
BGR,2014,6.4
BGR,2015,6.4
BGR,2016,6.4
BGR,2017,6.4
BGR,2018,6.4
BGR,2019,6.4
BHR,2000,0.0
BHR,2001,0.0
BHR,2002,0.0
BHR,2003,0.0
BHR,2004,0.0
BHR,2005,0.0
BHR,2006,0.0
BHR,2007,0.0
BHR,2008,0.0
BHR,2009,0.0
BHR,2010,0.0
BHR,2011,0.0
BHR,2012,0.0
BHR,2013,0.0
BHR,2014,0.0
BHR,2015,0.0
BHR,2016,0.0
BHR,2017,0.0
BHR,2018,0.0
BHR,2019,0.0
BHS,2000,0.0
BHS,2001,0.0
BHS,2002,0.0
BHS,2003,0.0
BHS,2004,0.0
BHS,2005,0.0
BHS,2006,0.0
BHS,2007,0.0
