ISO,Item,ICA
AFG,barley,116.0
AFG,cotton,33.0
AFG,fruit,137.0
AFG,grapes,61.0
AFG,maize,183.0
AFG,potatoes,15.0
AFG,pulses,27.0
AFG,rice,208.0
AFG,sesame,10.0
AFG,sugar beet,2.0
AFG,sugarcane,2.0
AFG,sunflower,10.0
AFG,vegetables,69.0
AFG,wheat,1303.0
AGO,cassava,0.322
AGO,maize,4.715
AGO,potatoes,0.203
AGO,pulses,1.144
AGO,sweet potatoes,0.786
AGO,temporary crops,1.652
AGO,vegetables,2.695
ALB,cereals,4.2
ALB,forage,14.0
ALB,fruit,8.3
ALB,maize,28.5
ALB,potatoes,2.9
ALB,pulses,13.1
ALB,rapeseed,9.0
ALB,vegetables,19.5
ALB,wheat,3.1
ARE,forage,33.019
ARE,fruit,2.083
ARE,palm,185.33
ARE,vegetables,8.083
ARG,citrus,22.0
ARG,cotton,17.0
ARG,forage,380.0
ARG,fruit,537.0
ARG,maize,198.0
ARG,oil crops,9.0
ARG,potatoes,29.0
ARG,pulses,208.0
ARG,rice,164.0
ARG,sorghum,108.0
ARG,sugarcane,246.0
ARG,tobacco,10.0
ARG,vegetables,312.0
ARG,wheat,60.0
ARM,barley,5.9
ARM,forage,26.0
ARM,fruit,35.2
ARM,grapes,15.7
ARM,maize,3.1
ARM,potatoes,24.0
ARM,pulses,2.0
ARM,rapeseed,5.9
ARM,vegetables,23.2
ARM,wheat,35.0
ATG,fruit,0.1012
ATG,vegetables,0.2833
AUS,cereals,300.665
AUS,cotton,365.269
AUS,flowers,11.038
AUS,forage,188.411
AUS,fruit,135.278
AUS,grapes,137.459
AUS,other permanent crop,50.636
AUS,pastures,714.503
AUS,rice,113.638
AUS,sugarcane,170.239
AUS,temporary crops,87.903
AUS,vegetables,102.92
AUT,cereals,8.5
AUT,fruit,4.7
AUT,maize,7.4
AUT,oil crops,4.2
AUT,potatoes,3.2
AUT,pulses,6.5
AUT,sugar beet,6.7
AUT,vegetables,2.2
AZE,barley,158.9
AZE,cereals,11.875
AZE,cotton,78.16
AZE,forage,118.0
AZE,fruit,97.75
