ISO,Year,IGVA
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,1570759660.78005
AFG,2001,1570759660.78005
AFG,2002,1570759660.78005
AFG,2003,1732071853.71911
AFG,2004,2034770045.28609
AFG,2005,2299121744.79162
AFG,2006,2613355209.17561
AFG,2007,2812835909.7051
AFG,2008,2974343825.77289
AFG,2009,3155991203.19568
AFG,2010,3353890829.69432
AFG,2011,3682829388.49807
AFG,2012,3918312112.71728
AFG,2013,4116617524.67723
AFG,2014,4230474130.99746
AFG,2015,4406932339.47937
AFG,2016,4373179008.39258
AFG,2017,4775808522.65898
AFG,2018,5304712202.45853
AFG,2019,5561930699.81654
AGO,2000,21688555102.418
AGO,2001,21688555102.418
AGO,2002,21688555102.418
AGO,2003,21669763615.9997
AGO,2004,24877095455.5928
AGO,2005,29975887902.5964
AGO,2006,33930711928.8491
AGO,2007,40648619946.7296
AGO,2008,44537380240.8251
AGO,2009,42801571935.367
AGO,2010,43884484819.7663
AGO,2011,43264018874.2536
AGO,2012,47886869625.3865
AGO,2013,49418970474.5477
AGO,2014,48618684452.0259
AGO,2015,52262022202.4685
AGO,2016,52790011922.6107
AGO,2017,51919896024.5887
AGO,2018,50046774014.2657
AGO,2019,44700217052.2163
ALB,2000,1526818422.17427
ALB,2001,1765791049.7447
ALB,2002,1820276981.0856
ALB,2003,2137413292.89847
ALB,2004,2283120338.62918
ALB,2005,2397200735.64006
ALB,2006,2594873338.29148
ALB,2007,2602458668.59348
ALB,2008,2777302850.67738
ALB,2009,2840207305.02315
ALB,2010,2974273860.91727
ALB,2011,3041626393.75697
ALB,2012,2854538483.5193
ALB,2013,2925620882.71034
ALB,2014,2827266499.70607
ALB,2015,2900287194.03252
ALB,2016,2955513788.68099
ALB,2017,3008023633.61546
ALB,2018,3306499436.67636
ALB,2019,3341066061.36235
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
ARE,2000,119397329956.592
ARE,2001,119397329956.592
ARE,2002,114981810252.374
ARE,2003,123135789864.731
ARE,2004,134661044017.873
ARE,2005,139816429779.416
ARE,2006,159138100436.07
ARE,2007,154869966504.959
ARE,2008,158855170530.526
ARE,2009,148509984266.47
ARE,2010,152227787365.555
ARE,2011,165132407317.815
ARE,2012,170845807885.162
ARE,2013,176003526480.403
ARE,2014,178863265008.86
ARE,2015,188837813010.095
ARE,2016,193224157458.379
ARE,2017,192756561271.348
ARE,2018,196136333435.972
ARE,2019,200264942141.687
ARG,2000,78135869454.2946
ARG,2001,74079454708.4722
ARG,2002,65666712388.2304
ARG,2003,74966012412.1783
ARG,2004,83073837932.1349
ARG,2005,88502201577.9391
ARG,2006,96170848625.4511
ARG,2007,101973170046.612
ARG,2008,105105829488.819
ARG,2009,98344013165.2887
ARG,2010,107003102712.487
ARG,2011,113242365716.77
ARG,2012,110749757847.906
ARG,2013,111360204064.491
ARG,2014,107504874805.797
ARG,2015,108998986493.918
ARG,2016,102649622504.091
ARG,2017,105013471786.065
ARG,2018,101814663898.082
ARG,2019,96926476933.9424
ARM,2000,0.0
ARM,2001,0.0
ARM,2002,0.0
ARM,2003,0.0
ARM,2004,0.0
ARM,2005,0.0
ARM,2006,0.0
ARM,2007,0.0
ARM,2008,0.0
ARM,2009,0.0
ARM,2010,0.0
ARM,2011,0.0
ARM,2012,0.0
ARM,2013,0.0
ARM,2014,0.0
ARM,2015,0.0
ARM,2016,0.0
ARM,2017,0.0
ARM,2018,0.0
ARM,2019,0.0
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,158764571.827022
ATG,2001,129768135.222813
ATG,2002,137584565.9596
ATG,2003,149482293.226529
ATG,2004,152204582.116268
ATG,2005,181974541.937185
ATG,2006,246484668.767034
ATG,2007,266446696.088811
ATG,2008,267382616.444938
ATG,2009,249147127.131724
ATG,2010,186137037.037037
ATG,2011,161503955.152489
ATG,2012,166269029.111766
ATG,2013,174876077.500989
ATG,2014,182260873.735634
ATG,2015,187342194.755885
ATG,2016,210684646.742943
ATG,2017,237339145.652368
ATG,2018,284870224.195036
ATG,2019,301174042.270947
AUS,2000,288270060776.887
AUS,2001,288270060776.887
AUS,2002,288270060776.887
AUS,2003,288270060776.887
AUS,2004,288270060776.887
AUS,2005,288270060776.887
AUS,2006,288270060776.887
AUS,2007,288270060776.887
AUS,2008,288270060776.887
AUS,2009,288270060776.887
AUS,2010,288270060776.887
AUS,2011,288270060776.887
AUS,2012,288270060776.887
AUS,2013,288270060776.887
AUS,2014,288270060776.887
AUS,2015,288270060776.887
AUS,2016,288270060776.887
AUS,2017,288270060776.887
AUS,2018,288270060776.887
AUS,2019,288270060776.887
AUT,2000,92176585162.0489
AUT,2001,93802412360.1781
AUT,2002,93129843924.0621
AUT,2003,95405921110.859
AUT,2004,98422392262.7003
AUT,2005,100423637562.853
AUT,2006,104092099076.53
AUT,2007,109440290331.925
AUT,2008,109135026427.152
AUT,2009,96798244156.9931
AUT,2010,100069790283.185
AUT,2011,104056065998.277
AUT,2012,105586503588.23
AUT,2013,106209998403.488
AUT,2014,106233297342.861
AUT,2015,106223406630.566
AUT,2016,109447423410.681
AUT,2017,113638474864.36
AUT,2018,118458511888.077
AUT,2019,120058123183.355
AZE,2000,5847549056.51567
AZE,2001,6331939793.79093
AZE,2002,7046402152.28792
AZE,2003,7860628688.48292
AZE,2004,8638343592.6338
AZE,2005,12619139982.1194
AZE,2006,18905654505.9962
AZE,2007,25185312385.3578
AZE,2008,27621135349.4275
AZE,2009,30561607349.8251
AZE,2010,31742835783.703
AZE,2011,30000219580.1328
AZE,2012,29746009484.7271
AZE,2013,31113738649.4218
AZE,2014,31177334027.3014
AZE,2015,30452929534.2572
AZE,2016,29168337184.3108
AZE,2017,28144125909.834
AZE,2018,27942540561.0834
AZE,2019,28209778281.0682
BDI,2000,301050588.409779
BDI,2001,282294679.733663
BDI,2002,264707292.724703
BDI,2003,248215626.556905
BDI,2004,232751416.152079
BDI,2005,236361201.919405
BDI,2006,249049650.542425
BDI,2007,269812356.419954
BDI,2008,282884358.25638
BDI,2009,308458808.512939
BDI,2010,312667496.33354
BDI,2011,318469316.326693
BDI,2012,335262477.50162
BDI,2013,343429157.217191
BDI,2014,364722136.965063
BDI,2015,306001872.913688
BDI,2016,302023848.56581
BDI,2017,304138015.481856
BDI,2018,311437419.112283
BDI,2019,317977655.751887
BEL,2000,90174438871.2535
BEL,2001,90559573827.4275
BEL,2002,90589686728.3633
BEL,2003,90888230939.3572
BEL,2004,95301644905.2586
BEL,2005,97568383830.2036
BEL,2006,98255552475.1624
BEL,2007,103009642865.384
BEL,2008,100930818781.472
BEL,2009,95900671926.0192
BEL,2010,100492824698.762
BEL,2011,101826451414.454
BEL,2012,99952860320.6098
BEL,2013,99794153701.0857
BEL,2014,102967769131.894
BEL,2015,105931111215.825
BEL,2016,105027982667.589
BEL,2017,106184421455.456
BEL,2018,106215568275.737
BEL,2019,109081075741.607
BEN,2000,1409725732.5108
BEN,2001,1598029894.89953
BEN,2002,1627733823.81122
BEN,2003,1646892850.46166
BEN,2004,1664604927.42846
BEN,2005,1774388512.03233
BEN,2006,1828483154.61276
BEN,2007,1796115509.42042
BEN,2008,1636210654.28618
BEN,2009,1661277189.5041
BEN,2010,1717225350.15418
BEN,2011,1720236063.20766
BEN,2012,1783268469.24576
BEN,2013,1893823658.68852
BEN,2014,1967521892.42717
BEN,2015,2238781685.26191
BEN,2016,2258742794.58084
BEN,2017,2269337462.83429
BEN,2018,2379195554.97779
BEN,2019,2701776272.89539
BFA,2000,1280093522.4696
BFA,2001,1344844384.46461
BFA,2002,1426152815.55511
BFA,2003,1624007720.54936
BFA,2004,1714458168.57629
BFA,2005,1800906154.00697
BFA,2006,1895647801.52078
BFA,2007,2157075653.79244
