ISO,Year,Item,IRRTECHi
ALB,2017,Drip,0.0
ALB,2017,Sprinkler,6.548689506480683e-05
ALB,2017,Surface,0.9999345131049352
ARE,2017,Drip,0.7677642980935875
ARE,2017,Sprinkler,0.05199306759098787
ARE,2017,Surface,0.18024263431542462
ARG,2017,Drip,0.05388205345778532
ARG,2017,Sprinkler,0.1192193466270683
ARG,2017,Surface,0.8268985999151464
ARM,2017,Drip,0.003656307130072529
ARM,2017,Sprinkler,0.09140767824468592
ARM,2017,Surface,0.9049360146252415
ATG,2017,Drip,1.0
ATG,2017,Sprinkler,0.0
ATG,2017,Surface,0.0
AUS,2017,Drip,0.07501963864886096
AUS,2017,Sprinkler,0.20581304006284368
AUS,2017,Surface,0.7191673212882954
AZE,2017,Drip,7.017543858921162e-05
AZE,2017,Sprinkler,0.4259649122807054
AZE,2017,Surface,0.5739649122807053
BDI,2017,Drip,0.0
BDI,2017,Sprinkler,0.0
BDI,2017,Surface,1.0
BEN,2017,Drip,0.1239405814279514
BEN,2017,Sprinkler,0.4164768067057292
BEN,2017,Surface,0.4595826118663195
BFA,2017,Drip,0.01483300258988934
BFA,2017,Sprinkler,0.13117621337997376
BFA,2017,Surface,0.8539907840301368
BGD,2017,Drip,0.0
BGD,2017,Sprinkler,0.0
BGD,2017,Surface,1.0
BGR,2017,Drip,0.02868068833652008
BGR,2017,Sprinkler,0.20176481835564056
BGR,2017,Surface,0.7705544933078394
BHR,2017,Drip,0.11581569115281501
BHR,2017,Sprinkler,0.03985056040214477
BHR,2017,Surface,0.8443337484450402
BOL,2017,Drip,0.012449528936742935
BOL,2017,Sprinkler,0.05921938088829072
BOL,2017,Surface,0.9283310901749663
BRA,2017,Drip,0.491512041058034
BRA,2017,Sprinkler,0.20311883142518752
BRA,2017,Surface,0.3053691275167785
BRN,2017,Drip,0.0
BRN,2017,Sprinkler,0.0
BRN,2017,Surface,1.0
BTN,2017,Drip,0.0
BTN,2017,Sprinkler,0.0
BTN,2017,Surface,1.0
BWA,2017,Drip,0.19623461257817928
BWA,2017,Sprinkler,0.6459087617790131
BWA,2017,Surface,0.1578566256428075
CHL,2017,Drip,0.22534957149300858
CHL,2017,Sprinkler,0.05178168696436626
CHL,2017,Surface,0.7228687415426251
CHN,2017,Drip,0.012067335573615504
CHN,2017,Sprinkler,0.04513930265259007
CHN,2017,Surface,0.9427933617737945
CIV,2017,Drip,0.0
CIV,2017,Sprinkler,0.7539267015706806
CIV,2017,Surface,0.24607329842931938
CMR,2017,Drip,0.0
CMR,2017,Sprinkler,0.24187082405345212
CMR,2017,Surface,0.7581291759465479
COD,2017,Drip,0.0
COD,2017,Sprinkler,0.0
COD,2017,Surface,1.0
COG,2017,Drip,0.004608294930875576
COG,2017,Sprinkler,0.0
COG,2017,Surface,0.9953917050691244
CRI,2017,Drip,0.11310232470706184
CRI,2017,Sprinkler,0.2898051256344382
CRI,2017,Surface,0.5970925496584999
CUB,2017,Drip,0.024708731094461134
CUB,2017,Sprinkler,0.5105287845941252
CUB,2017,Surface,0.46476248431141376
CYP,2017,Drip,0.9000101153133275
CYP,2017,Sprinkler,0.04999494234333625
CYP,2017,Surface,0.04999494234333625
CZE,2017,Drip,0.12976901116005235
CZE,2017,Sprinkler,0.2854918245529873
CZE,2017,Surface,0.5847391642869604
DEU,2017,Drip,0.009695559433767003
DEU,2017,Sprinkler,0.9695559433778829
DEU,2017,Surface,0.02074849718835009
DOM,2017,Drip,0.0
DOM,2017,Sprinkler,0.0
DOM,2017,Surface,1.0
DZA,2017,Drip,0.2339939024390244
DZA,2017,Sprinkler,0.3117378048780488
DZA,2017,Surface,0.45426829268292684
