ISO,Year,IRWR
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,47.15
AFG,2001,47.15
AFG,2002,47.15
AFG,2003,47.15
AFG,2004,47.15
AFG,2005,47.15
AFG,2006,47.15
AFG,2007,47.15
AFG,2008,47.15
AFG,2009,47.15
AFG,2010,47.15
AFG,2011,47.15
AFG,2012,47.15
AFG,2013,47.15
AFG,2014,47.15
AFG,2015,47.15
AFG,2016,47.15
AFG,2017,47.15
AFG,2018,47.15
AFG,2019,47.15
AGO,2000,148.0
AGO,2001,148.0
AGO,2002,148.0
AGO,2003,148.0
AGO,2004,148.0
AGO,2005,148.0
AGO,2006,148.0
AGO,2007,148.0
AGO,2008,148.0
AGO,2009,148.0
AGO,2010,148.0
AGO,2011,148.0
AGO,2012,148.0
AGO,2013,148.0
AGO,2014,148.0
AGO,2015,148.0
AGO,2016,148.0
AGO,2017,148.0
AGO,2018,148.0
AGO,2019,148.0
ALB,2000,26.9
ALB,2001,26.9
ALB,2002,26.9
ALB,2003,26.9
ALB,2004,26.9
ALB,2005,26.9
ALB,2006,26.9
ALB,2007,26.9
ALB,2008,26.9
ALB,2009,26.9
ALB,2010,26.9
ALB,2011,26.9
ALB,2012,26.9
ALB,2013,26.9
ALB,2014,26.9
ALB,2015,26.9
ALB,2016,26.9
ALB,2017,26.9
ALB,2018,26.9
ALB,2019,26.9
AND,2000,0.3156
AND,2001,0.3156
AND,2002,0.3156
AND,2003,0.3156
AND,2004,0.3156
AND,2005,0.3156
AND,2006,0.3156
AND,2007,0.3156
AND,2008,0.3156
AND,2009,0.3156
AND,2010,0.3156
AND,2011,0.3156
AND,2012,0.3156
AND,2013,0.3156
AND,2014,0.3156
AND,2015,0.3156
AND,2016,0.3156
AND,2017,0.3156
AND,2018,0.3156
AND,2019,0.3156
ARE,2000,0.15
ARE,2001,0.15
ARE,2002,0.15
ARE,2003,0.15
ARE,2004,0.15
ARE,2005,0.15
ARE,2006,0.15
ARE,2007,0.15
ARE,2008,0.15
ARE,2009,0.15
ARE,2010,0.15
ARE,2011,0.15
ARE,2012,0.15
ARE,2013,0.15
ARE,2014,0.15
ARE,2015,0.15
ARE,2016,0.15
ARE,2017,0.15
ARE,2018,0.15
ARE,2019,0.15
ARG,2000,292.0
ARG,2001,292.0
ARG,2002,292.0
ARG,2003,292.0
ARG,2004,292.0
ARG,2005,292.0
ARG,2006,292.0
ARG,2007,292.0
ARG,2008,292.0
ARG,2009,292.0
ARG,2010,292.0
ARG,2011,292.0
ARG,2012,292.0
ARG,2013,292.0
ARG,2014,292.0
ARG,2015,292.0
ARG,2016,292.0
ARG,2017,292.0
ARG,2018,292.0
ARG,2019,292.0
ARM,2000,6.859
ARM,2001,6.859
ARM,2002,6.859
ARM,2003,6.859
ARM,2004,6.859
ARM,2005,6.859
ARM,2006,6.859
ARM,2007,6.859
ARM,2008,6.859
ARM,2009,6.859
ARM,2010,6.859
ARM,2011,6.859
ARM,2012,6.859
ARM,2013,6.859
ARM,2014,6.859
ARM,2015,6.859
ARM,2016,6.859
ARM,2017,6.859
ARM,2018,6.859
ARM,2019,6.859
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,0.052
ATG,2001,0.052
ATG,2002,0.052
ATG,2003,0.052
ATG,2004,0.052
ATG,2005,0.052
ATG,2006,0.052
ATG,2007,0.052
ATG,2008,0.052
ATG,2009,0.052
ATG,2010,0.052
ATG,2011,0.052
ATG,2012,0.052
ATG,2013,0.052
ATG,2014,0.052
ATG,2015,0.052
ATG,2016,0.052
ATG,2017,0.052
ATG,2018,0.052
ATG,2019,0.052
AUS,2000,492.0
AUS,2001,492.0
AUS,2002,492.0
AUS,2003,492.0
AUS,2004,492.0
AUS,2005,492.0
AUS,2006,492.0
AUS,2007,492.0
AUS,2008,492.0
AUS,2009,492.0
AUS,2010,492.0
AUS,2011,492.0
AUS,2012,492.0
AUS,2013,492.0
AUS,2014,492.0
AUS,2015,492.0
AUS,2016,492.0
AUS,2017,492.0
AUS,2018,492.0
AUS,2019,492.0
AUT,2000,55.0
AUT,2001,55.0
AUT,2002,55.0
AUT,2003,55.0
AUT,2004,55.0
AUT,2005,55.0
AUT,2006,55.0
AUT,2007,55.0
AUT,2008,55.0
AUT,2009,55.0
AUT,2010,55.0
AUT,2011,55.0
AUT,2012,55.0
AUT,2013,55.0
AUT,2014,55.0
AUT,2015,55.0
AUT,2016,55.0
AUT,2017,55.0
AUT,2018,55.0
AUT,2019,55.0
AZE,2000,8.115
AZE,2001,8.115
AZE,2002,8.115
AZE,2003,8.115
AZE,2004,8.115
AZE,2005,8.115
AZE,2006,8.115
AZE,2007,8.115
AZE,2008,8.115
AZE,2009,8.115
AZE,2010,8.115
AZE,2011,8.115
AZE,2012,8.115
AZE,2013,8.115
AZE,2014,8.115
AZE,2015,8.115
AZE,2016,8.115
AZE,2017,8.115
AZE,2018,8.115
AZE,2019,8.115
BDI,2000,10.06
BDI,2001,10.06
BDI,2002,10.06
BDI,2003,10.06
BDI,2004,10.06
BDI,2005,10.06
BDI,2006,10.06
BDI,2007,10.06
BDI,2008,10.06
BDI,2009,10.06
BDI,2010,10.06
BDI,2011,10.06
BDI,2012,10.06
BDI,2013,10.06
BDI,2014,10.06
BDI,2015,10.06
BDI,2016,10.06
BDI,2017,10.06
BDI,2018,10.06
BDI,2019,10.06
BEL,2000,12.0
BEL,2001,12.0
BEL,2002,12.0
BEL,2003,12.0
BEL,2004,12.0
BEL,2005,12.0
BEL,2006,12.0
BEL,2007,12.0
BEL,2008,12.0
BEL,2009,12.0
BEL,2010,12.0
BEL,2011,12.0
BEL,2012,12.0
BEL,2013,12.0
BEL,2014,12.0
BEL,2015,12.0
BEL,2016,12.0
BEL,2017,12.0
BEL,2018,12.0
BEL,2019,12.0
BEN,2000,10.3
BEN,2001,10.3
BEN,2002,10.3
BEN,2003,10.3
BEN,2004,10.3
BEN,2005,10.3
BEN,2006,10.3
BEN,2007,10.3
BEN,2008,10.3
BEN,2009,10.3
BEN,2010,10.3
BEN,2011,10.3
BEN,2012,10.3
BEN,2013,10.3
BEN,2014,10.3
BEN,2015,10.3
BEN,2016,10.3
BEN,2017,10.3
BEN,2018,10.3
BEN,2019,10.3
BFA,2000,12.5
BFA,2001,12.5
BFA,2002,12.5
BFA,2003,12.5
BFA,2004,12.5
BFA,2005,12.5
BFA,2006,12.5
BFA,2007,12.5
BFA,2008,12.5
BFA,2009,12.5
BFA,2010,12.5
BFA,2011,12.5
BFA,2012,12.5
BFA,2013,12.5
BFA,2014,12.5
BFA,2015,12.5
BFA,2016,12.5
BFA,2017,12.5
BFA,2018,12.5
BFA,2019,12.5
BGD,2000,105.0
BGD,2001,105.0
BGD,2002,105.0
BGD,2003,105.0
BGD,2004,105.0
BGD,2005,105.0
BGD,2006,105.0
BGD,2007,105.0
BGD,2008,105.0
BGD,2009,105.0
BGD,2010,105.0
BGD,2011,105.0
BGD,2012,105.0
BGD,2013,105.0
BGD,2014,105.0
BGD,2015,105.0
BGD,2016,105.0
BGD,2017,105.0
BGD,2018,105.0
BGD,2019,105.0
BGR,2000,21.0
BGR,2001,21.0
BGR,2002,21.0
BGR,2003,21.0
BGR,2004,21.0
BGR,2005,21.0
BGR,2006,21.0
BGR,2007,21.0
BGR,2008,21.0
BGR,2009,21.0
BGR,2010,21.0
BGR,2011,21.0
BGR,2012,21.0
BGR,2013,21.0
BGR,2014,21.0
BGR,2015,21.0
BGR,2016,21.0
BGR,2017,21.0
BGR,2018,21.0
BGR,2019,21.0
BHR,2000,0.004
BHR,2001,0.004
BHR,2002,0.004
BHR,2003,0.004
BHR,2004,0.004
BHR,2005,0.004
BHR,2006,0.004
BHR,2007,0.004
BHR,2008,0.004
BHR,2009,0.004
BHR,2010,0.004
BHR,2011,0.004
BHR,2012,0.004
BHR,2013,0.004
BHR,2014,0.004
BHR,2015,0.004
BHR,2016,0.004
BHR,2017,0.004
BHR,2018,0.004
BHR,2019,0.004
BHS,2000,0.7
BHS,2001,0.7
BHS,2002,0.7
BHS,2003,0.7
BHS,2004,0.7
BHS,2005,0.7
