ISO,Year,IWR
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,10.9
AFG,2001,10.9
AFG,2002,10.9
AFG,2003,10.9
AFG,2004,10.9
AFG,2005,10.9
AFG,2006,10.9
AFG,2007,10.9
AFG,2008,10.9
AFG,2009,10.9
AFG,2010,10.9
AFG,2011,10.9
AFG,2012,10.9
AFG,2013,10.9
AFG,2014,10.9
AFG,2015,10.9
AFG,2016,10.9
AFG,2017,10.9
AFG,2018,10.9
AFG,2019,10.9
AGO,2000,0.04
AGO,2001,0.04
AGO,2002,0.04
AGO,2003,0.04
AGO,2004,0.04
AGO,2005,0.04
AGO,2006,0.04
AGO,2007,0.04
AGO,2008,0.04
AGO,2009,0.04
AGO,2010,0.04
AGO,2011,0.04
AGO,2012,0.04
AGO,2013,0.04
AGO,2014,0.04
AGO,2015,0.04
AGO,2016,0.04
AGO,2017,0.04
AGO,2018,0.04
AGO,2019,0.04
ALB,2000,0.322
ALB,2001,0.322
ALB,2002,0.322
ALB,2003,0.322
ALB,2004,0.322
ALB,2005,0.322
ALB,2006,0.322
ALB,2007,0.322
ALB,2008,0.322
ALB,2009,0.322
ALB,2010,0.322
ALB,2011,0.322
ALB,2012,0.322
ALB,2013,0.322
ALB,2014,0.322
ALB,2015,0.322
ALB,2016,0.322
ALB,2017,0.322
ALB,2018,0.322
ALB,2019,0.322
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
ARE,2000,1.815
ARE,2001,1.815
ARE,2002,1.815
ARE,2003,1.815
ARE,2004,1.815
ARE,2005,1.815
ARE,2006,1.815
ARE,2007,1.815
ARE,2008,1.815
ARE,2009,1.815
ARE,2010,1.815
ARE,2011,1.815
ARE,2012,1.815
ARE,2013,1.815
ARE,2014,1.815
ARE,2015,1.815
ARE,2016,1.815
ARE,2017,1.815
ARE,2018,1.815
ARE,2019,1.815
ARG,2000,12.23
ARG,2001,12.23
ARG,2002,12.23
ARG,2003,12.23
ARG,2004,12.23
ARG,2005,12.23
ARG,2006,12.23
ARG,2007,12.23
ARG,2008,12.23
ARG,2009,12.23
ARG,2010,12.23
ARG,2011,12.23
ARG,2012,12.23
ARG,2013,12.23
ARG,2014,12.23
ARG,2015,12.23
ARG,2016,12.23
ARG,2017,12.23
ARG,2018,12.23
ARG,2019,12.23
ARM,2000,0.624
ARM,2001,0.624
ARM,2002,0.624
ARM,2003,0.624
ARM,2004,0.624
ARM,2005,0.624
ARM,2006,0.624
ARM,2007,0.624
ARM,2008,0.624
ARM,2009,0.624
ARM,2010,0.624
ARM,2011,0.624
ARM,2012,0.624
ARM,2013,0.624
ARM,2014,0.624
ARM,2015,0.624
ARM,2016,0.624
ARM,2017,0.624
ARM,2018,0.624
ARM,2019,0.624
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,0.0
ATG,2001,0.0
ATG,2002,0.0
ATG,2003,0.0
ATG,2004,0.0
ATG,2005,0.0
ATG,2006,0.0
ATG,2007,0.0
ATG,2008,0.0
ATG,2009,0.0
ATG,2010,0.0
ATG,2011,0.0
ATG,2012,0.0
ATG,2013,0.0
ATG,2014,0.0
ATG,2015,0.0
ATG,2016,0.0
ATG,2017,0.0
ATG,2018,0.0
ATG,2019,0.0
AUS,2000,3.892
AUS,2001,3.892
AUS,2002,3.892
AUS,2003,3.892
AUS,2004,3.892
AUS,2005,3.892
AUS,2006,3.892
AUS,2007,3.892
AUS,2008,3.892
AUS,2009,3.892
AUS,2010,3.892
AUS,2011,3.892
AUS,2012,3.892
AUS,2013,3.892
AUS,2014,3.892
AUS,2015,3.892
AUS,2016,3.892
AUS,2017,3.892
AUS,2018,3.892
AUS,2019,3.892
AUT,2000,0.0599
AUT,2001,0.0599
AUT,2002,0.0599
AUT,2003,0.0599
AUT,2004,0.0599
AUT,2005,0.0599
AUT,2006,0.0599
AUT,2007,0.0599
AUT,2008,0.0599
AUT,2009,0.0599
AUT,2010,0.0599
AUT,2011,0.0599
AUT,2012,0.0599
AUT,2013,0.0599
AUT,2014,0.0599
AUT,2015,0.0599
AUT,2016,0.0599
AUT,2017,0.0599
AUT,2018,0.0599
AUT,2019,0.0599
AZE,2000,3.62
AZE,2001,3.62
AZE,2002,3.62
AZE,2003,3.62
AZE,2004,3.62
AZE,2005,3.62
AZE,2006,3.62
AZE,2007,3.62
AZE,2008,3.62
AZE,2009,3.62
AZE,2010,3.62
AZE,2011,3.62
AZE,2012,3.62
AZE,2013,3.62
AZE,2014,3.62
AZE,2015,3.62
AZE,2016,3.62
AZE,2017,3.62
AZE,2018,3.62
AZE,2019,3.62
BDI,2000,0.0284
BDI,2001,0.0284
BDI,2002,0.0284
BDI,2003,0.0284
BDI,2004,0.0284
BDI,2005,0.0284
BDI,2006,0.0284
BDI,2007,0.0284
BDI,2008,0.0284
BDI,2009,0.0284
BDI,2010,0.0284
BDI,2011,0.0284
BDI,2012,0.0284
BDI,2013,0.0284
BDI,2014,0.0284
BDI,2015,0.0284
BDI,2016,0.0284
BDI,2017,0.0284
BDI,2018,0.0284
BDI,2019,0.0284
BEL,2000,0.0222
BEL,2001,0.0222
BEL,2002,0.0222
BEL,2003,0.0222
BEL,2004,0.0222
BEL,2005,0.0222
BEL,2006,0.0222
BEL,2007,0.0222
BEL,2008,0.0222
BEL,2009,0.0222
BEL,2010,0.0222
BEL,2011,0.0222
BEL,2012,0.0222
BEL,2013,0.0222
BEL,2014,0.0222
BEL,2015,0.0222
BEL,2016,0.0222
BEL,2017,0.0222
BEL,2018,0.0222
BEL,2019,0.0222
BEN,2000,0.0108
BEN,2001,0.0108
BEN,2002,0.0108
BEN,2003,0.0108
BEN,2004,0.0108
BEN,2005,0.0108
BEN,2006,0.0108
BEN,2007,0.0108
BEN,2008,0.0108
BEN,2009,0.0108
BEN,2010,0.0108
BEN,2011,0.0108
BEN,2012,0.0108
BEN,2013,0.0108
BEN,2014,0.0108
BEN,2015,0.0108
BEN,2016,0.0108
BEN,2017,0.0108
BEN,2018,0.0108
BEN,2019,0.0108
BFA,2000,0.1289
BFA,2001,0.1289
BFA,2002,0.1289
BFA,2003,0.1289
BFA,2004,0.1289
BFA,2005,0.1289
BFA,2006,0.1289
BFA,2007,0.1289
BFA,2008,0.1289
BFA,2009,0.1289
BFA,2010,0.1289
BFA,2011,0.1289
BFA,2012,0.1289
BFA,2013,0.1289
BFA,2014,0.1289
BFA,2015,0.1289
BFA,2016,0.1289
BFA,2017,0.1289
BFA,2018,0.1289
BFA,2019,0.1289
BGD,2000,24.56
BGD,2001,24.56
BGD,2002,24.56
BGD,2003,24.56
BGD,2004,24.56
BGD,2005,24.56
BGD,2006,24.56
BGD,2007,24.56
BGD,2008,24.56
BGD,2009,24.56
BGD,2010,24.56
BGD,2011,24.56
BGD,2012,24.56
BGD,2013,24.56
BGD,2014,24.56
BGD,2015,24.56
BGD,2016,24.56
BGD,2017,24.56
BGD,2018,24.56
BGD,2019,24.56
BGR,2000,0.2174
BGR,2001,0.2174
BGR,2002,0.2174
BGR,2003,0.2174
BGR,2004,0.2174
BGR,2005,0.2174
BGR,2006,0.2174
BGR,2007,0.2174
BGR,2008,0.2174
BGR,2009,0.2174
BGR,2010,0.2174
BGR,2011,0.2174
BGR,2012,0.2174
BGR,2013,0.2174
BGR,2014,0.2174
BGR,2015,0.2174
BGR,2016,0.2174
BGR,2017,0.2174
BGR,2018,0.2174
BGR,2019,0.2174
BHR,2000,0.04
BHR,2001,0.04
BHR,2002,0.04
BHR,2003,0.04
BHR,2004,0.04
BHR,2005,0.04
BHR,2006,0.04
BHR,2007,0.04
BHR,2008,0.04
BHR,2009,0.04
BHR,2010,0.04
BHR,2011,0.04
BHR,2012,0.04
BHR,2013,0.04
BHR,2014,0.04
BHR,2015,0.04
BHR,2016,0.04
