ISO,Item,Kc
AFG,barley,0.7
AFG,cotton,0.9
AFG,fruit,0.755142424242424
AFG,grapes,0.508333333333333
AFG,maize,1.2
AFG,potatoes,0.952
AFG,pulses,0.634
AFG,rice,1.125
AFG,sesame,0.675
AFG,sugar beet,0.751666666666667
AFG,sugarcane,0.8
AFG,sunflower,0.35
AFG,vegetables,0.9
AFG,wheat,1.15
AGO,cassava,0.67575
AGO,maize,1.2
AGO,potatoes,0.952
AGO,pulses,0.634
AGO,sweet potatoes,0.9
AGO,temporary crops,0.0
AGO,vegetables,0.9
ALB,cereals,0.616666666666667
ALB,forage,0.8
ALB,fruit,0.755142424242424
ALB,maize,1.2
ALB,potatoes,0.952
ALB,pulses,0.634
ALB,rapeseed,0.35
ALB,vegetables,0.9
ALB,wheat,1.15
ARE,forage,0.8
ARE,fruit,0.755142424242424
ARE,palm,0.933333333333333
ARE,vegetables,0.9
ARG,citrus,0.6
ARG,cotton,0.9
ARG,forage,0.8
ARG,fruit,0.755142424242424
ARG,maize,1.2
ARG,oil crops,0.616666666666667
ARG,potatoes,0.952
ARG,pulses,0.634
ARG,rice,1.125
ARG,sorghum,0.84
ARG,sugarcane,0.8
ARG,tobacco,0.0
ARG,vegetables,0.9
ARG,wheat,1.15
ARM,barley,0.7
ARM,forage,0.8
ARM,fruit,0.755142424242424
ARM,grapes,0.508333333333333
ARM,maize,1.2
ARM,potatoes,0.952
ARM,pulses,0.634
ARM,rapeseed,0.35
ARM,vegetables,0.9
ARM,wheat,1.15
ATG,fruit,0.755142424242424
ATG,vegetables,0.9
AUS,cereals,0.616666666666667
AUS,cotton,0.9
AUS,flowers,0.0
AUS,forage,0.8
AUS,fruit,0.755142424242424
AUS,grapes,0.508333333333333
AUS,other permanent crop,0.0
AUS,pastures,0.6125
AUS,rice,1.125
AUS,sugarcane,0.8
AUS,temporary crops,0.0
AUS,vegetables,0.9
AUT,cereals,0.616666666666667
AUT,fruit,0.755142424242424
AUT,maize,1.2
AUT,oil crops,0.616666666666667
AUT,potatoes,0.952
AUT,pulses,0.634
AUT,sugar beet,0.751666666666667
AUT,vegetables,0.9
AZE,barley,0.7
AZE,cereals,0.616666666666667
AZE,cotton,0.9
AZE,forage,0.8
AZE,fruit,0.755142424242424
AZE,maize,1.2
AZE,potatoes,0.952
AZE,sugar beet,0.751666666666667
AZE,sunflower,0.35
AZE,tea,1.06666666666667
AZE,temporary crops,0.0
AZE,tobacco,0.0
AZE,vegetables,0.9
AZE,wheat,1.15
BDI,coffee,1.00833333333333
BDI,rice,1.125
BDI,sugarcane,0.8
BDI,vegetables,0.9
BEL,barley,0.7
BEL,fruit,0.755142424242424
BEL,potatoes,0.952
BEL,sugar beet,0.751666666666667
BEN,rice,1.125
BEN,roots,0.85
BEN,sugarcane,0.8
BEN,vegetables,0.9
BFA,fruit,0.755142424242424
BFA,maize,1.2
BFA,rice,1.125
BFA,roots,0.85
BFA,sugarcane,0.8
BFA,vegetables,0.9
BGD,cereals,0.616666666666667
BGD,cotton,0.9
BGD,maize,1.2
BGD,potatoes,0.952
BGD,pulses,0.634
BGD,rice,1.125
BGD,sesame,0.675
BGD,sugarcane,0.8
BGD,tea,1.06666666666667
BGD,temporary crops,0.0
BGD,tobacco,0.0
BGD,vegetables,0.9
BGD,wheat,1.15
