ISO,Year,Pop
ABW,2000,90853.0
ABW,2001,92898.0
ABW,2002,94992.0
ABW,2003,97017.0
ABW,2004,98737.0
ABW,2005,100031.0
ABW,2006,100834.0
ABW,2007,101222.0
ABW,2008,101358.0
ABW,2009,101455.0
ABW,2010,101669.0
ABW,2011,102046.0
ABW,2012,102560.0
ABW,2013,103159.0
ABW,2014,103774.0
ABW,2015,104341.0
ABW,2016,104872.0
ABW,2017,105366.0
ABW,2018,105845.0
ABW,2019,106314.0
AFG,2000,20779953.0
AFG,2001,21606988.0
AFG,2002,22600770.0
AFG,2003,23680871.0
AFG,2004,24726684.0
AFG,2005,25654277.0
AFG,2006,26433049.0
AFG,2007,27100536.0
AFG,2008,27722276.0
AFG,2009,28394813.0
AFG,2010,29185507.0
AFG,2011,30117413.0
AFG,2012,31161376.0
AFG,2013,32269589.0
AFG,2014,33370794.0
AFG,2015,34413603.0
AFG,2016,35383128.0
AFG,2017,36296400.0
AFG,2018,37172386.0
AFG,2019,38041754.0
AGO,2000,16395473.0
AGO,2001,16945753.0
AGO,2002,17519417.0
AGO,2003,18121479.0
AGO,2004,18758145.0
AGO,2005,19433602.0
AGO,2006,20149901.0
AGO,2007,20905363.0
AGO,2008,21695634.0
AGO,2009,22514281.0
AGO,2010,23356246.0
AGO,2011,24220661.0
AGO,2012,25107931.0
AGO,2013,26015780.0
AGO,2014,26941779.0
AGO,2015,27884381.0
AGO,2016,28842484.0
AGO,2017,29816748.0
AGO,2018,30809762.0
AGO,2019,31825295.0
ALB,2000,3089027.0
ALB,2001,3060173.0
ALB,2002,3051010.0
ALB,2003,3039616.0
ALB,2004,3026939.0
ALB,2005,3011487.0
ALB,2006,2992547.0
ALB,2007,2970017.0
ALB,2008,2947314.0
ALB,2009,2927519.0
ALB,2010,2913021.0
ALB,2011,2905195.0
ALB,2012,2900401.0
ALB,2013,2895092.0
ALB,2014,2889104.0
ALB,2015,2880703.0
ALB,2016,2876101.0
ALB,2017,2873457.0
ALB,2018,2866376.0
ALB,2019,2854191.0
AND,2000,65390.0
AND,2001,67341.0
AND,2002,70049.0
AND,2003,73182.0
AND,2004,76244.0
AND,2005,78867.0
