ISO,Year,SGVA
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,2853190137.15727
AFG,2001,2853190137.15727
AFG,2002,2853190137.15727
AFG,2003,3182785607.9469
AFG,2004,3589795243.91482
AFG,2005,3783223011.13798
AFG,2006,4037871886.59486
AFG,2007,4832571382.30534
AFG,2008,5550423239.85595
AFG,2009,6548577059.21244
AFG,2010,7750594927.9476
AFG,2011,8509431329.75084
AFG,2012,9671593276.01589
AFG,2013,10428545549.4796
AFG,2014,10900974717.3206
AFG,2015,11133722277.5479
AFG,2016,11354112383.5125
AFG,2017,11276615307.8612
AFG,2018,11495175427.8807
AFG,2019,11335882741.1565
AGO,2000,18994938776.3807
AGO,2001,18994938776.3807
AGO,2002,18994938776.3807
AGO,2003,19977251140.4141
AGO,2004,21472031200.6015
AGO,2005,23321191429.9184
AGO,2006,25330972835.3664
AGO,2007,26750244458.9161
AGO,2008,30205871546.5301
AGO,2009,32914806216.0616
AGO,2010,35101114976.5466
AGO,2011,38794735751.047
AGO,2012,40991333014.1143
AGO,2013,44164243674.9498
AGO,2014,48614523241.829
AGO,2015,46262555474.8656
AGO,2016,43836924081.6964
AGO,2017,44486143869.2763
AGO,2018,44602366165.8762
AGO,2019,45508009957.0044
ALB,2000,3367934448.57443
ALB,2001,3604700466.61128
ALB,2002,3715260003.92679
ALB,2003,3732741249.32488
ALB,2004,3901293491.55393
ALB,2005,4128170328.2414
ALB,2006,4324570233.97581
ALB,2007,4631905985.64746
ALB,2008,4863135267.67614
ALB,2009,5122002317.45923
ALB,2010,5250883855.2696
ALB,2011,5410237099.15245
ALB,2012,5583114055.31168
ALB,2013,5600304230.03088
ALB,2014,5876501093.37175
ALB,2015,6038894841.7712
ALB,2016,6295086547.76054
ALB,2017,6673335527.38326
ALB,2018,6858676993.41953
ALB,2019,7107534392.44229
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
ARE,2000,75870572939.3171
ARE,2001,75870572939.3171
ARE,2002,84660553981.7113
ARE,2003,93744958513.1915
ARE,2004,103032141490.316
ARE,2005,110993004528.354
ARE,2006,116531495179.475
ARE,2007,131765349218.879
ARE,2008,137102746513.537
ARE,2009,133363126510.47
ARE,2010,135347311531.654
ARE,2011,142405922823.127
ARE,2012,150537189864.587
ARE,2013,161730812026.693
ARE,2014,173450990262.676
ARE,2015,181555407426.526
ARE,2016,188498827209.17
ARE,2017,198007155503.215
ARE,2018,199167000029.216
ARE,2019,201642734613.592
ARG,2000,159216132351.176
ARG,2001,152292934450.196
ARG,2002,137497234334.0
ARG,2003,143335136046.909
ARG,2004,153192675498.002
ARG,2005,167133995314.923
ARG,2006,181349456249.488
ARG,2007,197831713434.68
ARG,2008,207978564180.738
ARG,2009,203705354307.235
ARG,2010,218147704405.241
ARG,2011,232206946364.837
ARG,2012,233759837329.073
ARG,2013,238224093962.083
ARG,2014,234306790459.157
ARG,2015,240539674460.046
ARG,2016,240518660814.335
ARG,2017,246708278404.671
ARG,2018,245103789943.896
ARG,2019,237708419002.372
ARM,2000,0.0
ARM,2001,0.0
ARM,2002,0.0
ARM,2003,0.0
ARM,2004,0.0
ARM,2005,0.0
ARM,2006,0.0
ARM,2007,0.0
ARM,2008,0.0
ARM,2009,0.0
ARM,2010,0.0
ARM,2011,0.0
ARM,2012,0.0
ARM,2013,0.0
ARM,2014,0.0
ARM,2015,0.0
ARM,2016,0.0
ARM,2017,0.0
ARM,2018,0.0
ARM,2019,0.0
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,740820424.250544
ATG,2001,717182976.220557
ATG,2002,712209280.409983
ATG,2003,750495171.416959
ATG,2004,782188023.791314
ATG,2005,822886405.125013
ATG,2006,881604106.330576
ATG,2007,945902756.904981
ATG,2008,960249638.59113
ATG,2009,852460066.510311
ATG,2010,811988888.888889
ATG,2011,812732464.674523
ATG,2012,833275811.240955
ATG,2013,833106441.200894
ATG,2014,866055110.457652
ATG,2015,898487407.641054
ATG,2016,932729072.569499
ATG,2017,944651070.999164
ATG,2018,994003848.282325
ATG,2019,1038362274.87198
AUS,2000,546025155748.256
AUS,2001,565771791747.735
AUS,2002,587366689347.388
AUS,2003,605108738895.599
AUS,2004,627683428421.979
AUS,2005,651185012203.158
AUS,2006,671776432494.833
AUS,2007,699935383145.759
AUS,2008,723836463080.015
AUS,2009,739432602642.047
AUS,2010,753460759270.677
AUS,2011,775201717767.529
AUS,2012,801232917380.832
AUS,2013,821190354600.335
AUS,2014,839551386301.809
AUS,2015,863015073250.517
AUS,2016,894551582214.311
AUS,2017,920601730164.395
AUS,2018,946656452037.242
AUS,2019,1008247008565.49
AUT,2000,200884973620.623
AUT,2001,203445259663.863
AUT,2002,208922109672.598
AUT,2003,210192660139.697
AUT,2004,215888904217.185
AUT,2005,221423831919.878
AUT,2006,230094717656.818
AUT,2007,237473540910.828
AUT,2008,243128007513.86
AUT,2009,240574714062.963
AUT,2010,244126286142.605
AUT,2011,250929199966.139
AUT,2012,251686441918.591
AUT,2013,251729928957.219
AUT,2014,254033068056.239
AUT,2015,257002913438.431
AUT,2016,260893584694.794
AUT,2017,265831245286.833
AUT,2018,271604811527.188
AUT,2019,275465327971.071
AZE,2000,5766928198.11585
AZE,2001,6457579413.16504
AZE,2002,6845753218.56941
AZE,2003,7360705237.57729
AZE,2004,7966483439.46531
AZE,2005,8491437151.23083
AZE,2006,9942763865.16959
AZE,2007,11169998598.1333
AZE,2008,12663494611.2664
AZE,2009,13717456775.1046
AZE,2010,14927120966.7373
AZE,2011,15980542498.5345
AZE,2012,17390781177.3608
AZE,2013,18889953826.9239
AZE,2014,20796222403.3248
AZE,2015,22303504533.5022
AZE,2016,21999939642.507
AZE,2017,23076878668.0857
AZE,2018,24261403469.8141
AZE,2019,25226972294.9564
BDI,2000,665831953.700164
BDI,2001,624349612.305331
BDI,2002,585451683.466447
BDI,2003,548977155.04709
BDI,2004,514775044.872171
BDI,2005,503568802.913495
BDI,2006,541221898.717504
BDI,2007,632012052.957324
BDI,2008,673747807.896346
BDI,2009,709893799.637911
BDI,2010,750896832.439257
BDI,2011,803299943.449535
BDI,2012,859233108.771931
BDI,2013,883534242.812963
BDI,2014,961115793.968916
BDI,2015,964825598.009456
BDI,2016,971824966.296524
BDI,2017,977200962.956524
BDI,2018,984457505.563796
BDI,2019,994226520.033561
BEL,2000,267842200588.861
BEL,2001,273087159762.232
BEL,2002,278679698457.738
BEL,2003,282581664860.77
BEL,2004,289991422779.988
BEL,2005,297300568775.927
BEL,2006,306000641154.989
BEL,2007,316514404649.206
BEL,2008,321735397016.185
BEL,2009,318179306910.469
BEL,2010,325400493510.362
BEL,2011,332478244248.653
BEL,2012,337640353700.436
BEL,2013,340068057363.097
BEL,2014,344422716591.424
BEL,2015,350957503588.975
BEL,2016,356332759461.053
BEL,2017,362213873104.584
BEL,2018,371172349020.578
BEL,2019,377078037765.079
BEN,2000,2560991024.85073
BEN,2001,2751739660.96295
BEN,2002,2821434610.38802
BEN,2003,2982576798.70644
BEN,2004,3077175957.92274
BEN,2005,3226712042.50038
BEN,2006,3403581304.5195
BEN,2007,3685679040.13884
BEN,2008,4161228502.6601
BEN,2009,4147015544.82633
BEN,2010,4247751747.94859
BEN,2011,4617788617.85137
BEN,2012,4876821620.96814
BEN,2013,5303820254.87539
BEN,2014,5568395482.46099
BEN,2015,5567013334.76248
BEN,2016,5670097094.23379
BEN,2017,5979805018.67859
BEN,2018,6320672535.26215
BEN,2019,6650423559.1393
BFA,2000,2339989170.57279
BFA,2001,2508721975.59384
BFA,2002,2682126428.33154
BFA,2003,2797120742.81577
BFA,2004,3016754205.54263
BFA,2005,3292197450.83877
BFA,2006,3628905344.64733
BFA,2007,3792892060.67618
BFA,2008,3915224938.191
BFA,2009,4147737889.16539
