ISO,Year,SPIR
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,0.0
AFG,2001,0.0
AFG,2002,0.0
AFG,2003,0.0
AFG,2004,0.0
AFG,2005,0.0
AFG,2006,0.0
AFG,2007,0.0
AFG,2008,0.0
AFG,2009,0.0
AFG,2010,0.0
AFG,2011,0.0
AFG,2012,0.0
AFG,2013,0.0
AFG,2014,0.0
AFG,2015,0.0
AFG,2016,0.0
AFG,2017,0.0
AFG,2018,0.0
AFG,2019,0.0
AGO,2000,0.0
AGO,2001,0.0
AGO,2002,0.0
AGO,2003,0.0
AGO,2004,0.0
AGO,2005,0.0
AGO,2006,0.0
AGO,2007,0.0
AGO,2008,0.0
AGO,2009,0.0
AGO,2010,0.0
AGO,2011,0.0
AGO,2012,0.0
AGO,2013,0.0
AGO,2014,0.0
AGO,2015,0.0
AGO,2016,0.0
AGO,2017,0.0
AGO,2018,0.0
AGO,2019,0.0
ALB,2000,0.0
ALB,2001,0.0
ALB,2002,0.0
ALB,2003,0.0
ALB,2004,0.0
ALB,2005,0.0
ALB,2006,0.0
ALB,2007,0.0
ALB,2008,0.0
ALB,2009,0.0
ALB,2010,0.0
ALB,2011,0.0
ALB,2012,0.0
ALB,2013,0.0
ALB,2014,0.0
ALB,2015,0.0
ALB,2016,0.0
ALB,2017,0.0
ALB,2018,0.0
ALB,2019,0.0
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
ARE,2000,4.0
ARE,2001,4.0
ARE,2002,4.0
ARE,2003,4.0
ARE,2004,4.0
ARE,2005,4.0
ARE,2006,4.0
ARE,2007,4.0
ARE,2008,4.0
ARE,2009,4.0
ARE,2010,4.0
ARE,2011,4.0
ARE,2012,4.0
ARE,2013,4.0
ARE,2014,4.0
ARE,2015,4.0
ARE,2016,4.0
ARE,2017,3.0
ARE,2018,3.0
ARE,2019,3.0
ARG,2000,281.0
ARG,2001,281.0
ARG,2002,281.0
ARG,2003,281.0
ARG,2004,281.0
ARG,2005,281.0
ARG,2006,281.0
ARG,2007,281.0
ARG,2008,281.0
ARG,2009,281.0
ARG,2010,281.0
ARG,2011,281.0
ARG,2012,281.0
ARG,2013,281.0
ARG,2014,281.0
ARG,2015,281.0
ARG,2016,281.0
ARG,2017,281.0
ARG,2018,281.0
ARG,2019,281.0
ARM,2000,25.0
ARM,2001,25.0
ARM,2002,25.0
ARM,2003,25.0
ARM,2004,25.0
ARM,2005,25.0
ARM,2006,25.0
ARM,2007,25.0
ARM,2008,25.0
ARM,2009,25.0
ARM,2010,25.0
ARM,2011,25.0
ARM,2012,25.0
ARM,2013,25.0
ARM,2014,25.0
ARM,2015,25.0
ARM,2016,25.0
ARM,2017,25.0
ARM,2018,25.0
ARM,2019,25.0
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,0.0
ATG,2001,0.0
ATG,2002,0.0
ATG,2003,0.0
ATG,2004,0.0
ATG,2005,0.0
ATG,2006,0.0
ATG,2007,0.0
ATG,2008,0.0
ATG,2009,0.0
ATG,2010,0.0
ATG,2011,0.0
ATG,2012,0.0
ATG,2013,0.0
ATG,2014,0.0
ATG,2015,0.0
ATG,2016,0.0
ATG,2017,0.0
ATG,2018,0.0
ATG,2019,0.0
AUS,2000,524.0
AUS,2001,524.0
AUS,2002,524.0
AUS,2003,524.0
AUS,2004,524.0
AUS,2005,524.0
AUS,2006,524.0
AUS,2007,524.0
AUS,2008,524.0
AUS,2009,524.0
AUS,2010,524.0
AUS,2011,524.0
AUS,2012,524.0
AUS,2013,524.0
AUS,2014,524.0
AUS,2015,524.0
AUS,2016,524.0
AUS,2017,524.0
AUS,2018,524.0
AUS,2019,524.0
AUT,2000,0.0
AUT,2001,0.0
AUT,2002,0.0
AUT,2003,0.0
AUT,2004,0.0
AUT,2005,0.0
AUT,2006,0.0
AUT,2007,0.0
AUT,2008,0.0
AUT,2009,0.0
AUT,2010,0.0
AUT,2011,0.0
AUT,2012,0.0
AUT,2013,0.0
AUT,2014,0.0
AUT,2015,0.0
AUT,2016,0.0
AUT,2017,0.0
AUT,2018,0.0
AUT,2019,0.0
AZE,2000,607.0
AZE,2001,607.0
AZE,2002,607.0
AZE,2003,607.0
AZE,2004,607.0
AZE,2005,607.0
AZE,2006,607.0
AZE,2007,607.0
AZE,2008,607.0
AZE,2009,607.0
AZE,2010,607.0
AZE,2011,607.0
AZE,2012,607.0
AZE,2013,607.0
AZE,2014,607.0
AZE,2015,607.0
AZE,2016,607.0
AZE,2017,607.0
AZE,2018,607.0
AZE,2019,607.0
BDI,2000,0.0
BDI,2001,0.0
BDI,2002,0.0
BDI,2003,0.0
BDI,2004,0.0
BDI,2005,0.0
BDI,2006,0.0
BDI,2007,0.0
BDI,2008,0.0
BDI,2009,0.0
BDI,2010,0.0
BDI,2011,0.0
BDI,2012,0.0
BDI,2013,0.0
BDI,2014,0.0
BDI,2015,0.0
BDI,2016,0.0
BDI,2017,0.0
BDI,2018,0.0
BDI,2019,0.0
BEL,2000,0.0
BEL,2001,0.0
BEL,2002,0.0
BEL,2003,0.0
BEL,2004,0.0
BEL,2005,0.0
BEL,2006,0.0
BEL,2007,0.0
BEL,2008,0.0
BEL,2009,0.0
BEL,2010,0.0
BEL,2011,0.0
BEL,2012,0.0
BEL,2013,0.0
BEL,2014,0.0
BEL,2015,0.0
BEL,2016,0.0
BEL,2017,0.0
BEL,2018,0.0
BEL,2019,0.0
BEN,2000,4.57
BEN,2001,4.57
BEN,2002,4.57
BEN,2003,4.57
BEN,2004,4.57
BEN,2005,4.57
BEN,2006,4.57
BEN,2007,4.57
BEN,2008,4.57
BEN,2009,4.57
BEN,2010,4.57
BEN,2011,4.57
BEN,2012,4.57
BEN,2013,4.57
BEN,2014,4.57
BEN,2015,4.57
BEN,2016,4.57
BEN,2017,4.57
BEN,2018,4.57
BEN,2019,4.57
BFA,2000,3.9
BFA,2001,3.9
BFA,2002,3.9
BFA,2003,3.9
BFA,2004,3.9
BFA,2005,3.9
BFA,2006,3.9
BFA,2007,3.9
BFA,2008,3.9
BFA,2009,3.9
BFA,2010,3.9
BFA,2011,3.9
BFA,2012,3.9
BFA,2013,3.9
BFA,2014,3.9
BFA,2015,3.9
BFA,2016,3.9
BFA,2017,3.9
BFA,2018,3.9
BFA,2019,3.9
BGD,2000,0.0
BGD,2001,0.0
BGD,2002,0.0
BGD,2003,0.0
BGD,2004,0.0
BGD,2005,0.0
BGD,2006,0.0
BGD,2007,0.0
BGD,2008,0.0
BGD,2009,0.0
BGD,2010,0.0
BGD,2011,0.0
BGD,2012,0.0
BGD,2013,0.0
BGD,2014,0.0
BGD,2015,0.0
BGD,2016,0.0
BGD,2017,0.0
BGD,2018,0.0
BGD,2019,0.0
BGR,2000,21.0
BGR,2001,21.0
BGR,2002,21.0
BGR,2003,21.0
BGR,2004,21.0
BGR,2005,21.0
BGR,2006,21.0
BGR,2007,21.0
BGR,2008,21.0
BGR,2009,21.0
BGR,2010,21.0
BGR,2011,21.0
BGR,2012,21.0
BGR,2013,21.0
BGR,2014,21.0
BGR,2015,21.0
BGR,2016,21.0
BGR,2017,21.0
BGR,2018,21.0
BGR,2019,21.0
BHR,2000,0.16
BHR,2001,0.16
BHR,2002,0.16
BHR,2003,0.16
BHR,2004,0.16
BHR,2005,0.16
BHR,2006,0.16
BHR,2007,0.16
BHR,2008,0.16
BHR,2009,0.16
BHR,2010,0.16
BHR,2011,0.16
BHR,2012,0.16
BHR,2013,0.16
BHR,2014,0.16
BHR,2015,0.16
BHR,2016,0.16
BHR,2017,0.16
BHR,2018,0.16
BHR,2019,0.16
BHS,2000,0.0
BHS,2001,0.0
BHS,2002,0.0
BHS,2003,0.0
BHS,2004,0.0
BHS,2005,0.0
BHS,2006,0.0
BHS,2007,0.0
