ISO,Year,SW
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,37.5
AFG,2001,37.5
AFG,2002,37.5
AFG,2003,37.5
AFG,2004,37.5
AFG,2005,37.5
AFG,2006,37.5
AFG,2007,37.5
AFG,2008,37.5
AFG,2009,37.5
AFG,2010,37.5
AFG,2011,37.5
AFG,2012,37.5
AFG,2013,37.5
AFG,2014,37.5
AFG,2015,37.5
AFG,2016,37.5
AFG,2017,37.5
AFG,2018,37.5
AFG,2019,37.5
AGO,2000,145.0
AGO,2001,145.0
AGO,2002,145.0
AGO,2003,145.0
AGO,2004,145.0
AGO,2005,145.0
AGO,2006,145.0
AGO,2007,145.0
AGO,2008,145.0
AGO,2009,145.0
AGO,2010,145.0
AGO,2011,145.0
AGO,2012,145.0
AGO,2013,145.0
AGO,2014,145.0
AGO,2015,145.0
AGO,2016,145.0
AGO,2017,145.0
AGO,2018,145.0
AGO,2019,145.0
ALB,2000,23.05
ALB,2001,23.05
ALB,2002,23.05
ALB,2003,23.05
ALB,2004,23.05
ALB,2005,23.05
ALB,2006,23.05
ALB,2007,23.05
ALB,2008,23.05
ALB,2009,23.05
ALB,2010,23.05
ALB,2011,23.05
ALB,2012,23.05
ALB,2013,23.05
ALB,2014,23.05
ALB,2015,23.05
ALB,2016,23.05
ALB,2017,23.05
ALB,2018,23.05
ALB,2019,23.05
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
ARE,2000,0.15
ARE,2001,0.15
ARE,2002,0.15
ARE,2003,0.15
ARE,2004,0.15
ARE,2005,0.15
ARE,2006,0.15
ARE,2007,0.15
ARE,2008,0.15
ARE,2009,0.15
ARE,2010,0.15
ARE,2011,0.15
ARE,2012,0.15
ARE,2013,0.15
ARE,2014,0.15
ARE,2015,0.15
ARE,2016,0.15
ARE,2017,0.15
ARE,2018,0.15
ARE,2019,0.15
ARG,2000,276.0
ARG,2001,276.0
ARG,2002,276.0
ARG,2003,276.0
ARG,2004,276.0
ARG,2005,276.0
ARG,2006,276.0
ARG,2007,276.0
ARG,2008,276.0
ARG,2009,276.0
ARG,2010,276.0
ARG,2011,276.0
ARG,2012,276.0
ARG,2013,276.0
ARG,2014,276.0
ARG,2015,276.0
ARG,2016,276.0
ARG,2017,276.0
ARG,2018,276.0
ARG,2019,276.0
ARM,2000,3.948
ARM,2001,3.948
ARM,2002,3.948
ARM,2003,3.948
ARM,2004,3.948
ARM,2005,3.948
ARM,2006,3.948
ARM,2007,3.948
ARM,2008,3.948
ARM,2009,3.948
ARM,2010,3.948
ARM,2011,3.948
ARM,2012,3.948
ARM,2013,3.948
ARM,2014,3.948
ARM,2015,3.948
ARM,2016,3.948
ARM,2017,3.948
ARM,2018,3.948
ARM,2019,3.948
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,0.0
ATG,2001,0.0
ATG,2002,0.0
ATG,2003,0.0
ATG,2004,0.0
ATG,2005,0.0
ATG,2006,0.0
ATG,2007,0.0
ATG,2008,0.0
ATG,2009,0.0
ATG,2010,0.0
ATG,2011,0.0
ATG,2012,0.0
ATG,2013,0.0
ATG,2014,0.0
ATG,2015,0.0
ATG,2016,0.0
ATG,2017,0.0
ATG,2018,0.0
ATG,2019,0.0
AUS,2000,440.0
AUS,2001,440.0
AUS,2002,440.0
AUS,2003,440.0
AUS,2004,440.0
AUS,2005,440.0
AUS,2006,440.0
AUS,2007,440.0
AUS,2008,440.0
AUS,2009,440.0
AUS,2010,440.0
AUS,2011,440.0
AUS,2012,440.0
AUS,2013,440.0
AUS,2014,440.0
AUS,2015,440.0
AUS,2016,440.0
AUS,2017,440.0
AUS,2018,440.0
AUS,2019,440.0
AUT,2000,55.0
AUT,2001,55.0
AUT,2002,55.0
AUT,2003,55.0
AUT,2004,55.0
AUT,2005,55.0
AUT,2006,55.0
AUT,2007,55.0
AUT,2008,55.0
AUT,2009,55.0
AUT,2010,55.0
AUT,2011,55.0
AUT,2012,55.0
AUT,2013,55.0
AUT,2014,55.0
AUT,2015,55.0
AUT,2016,55.0
AUT,2017,55.0
AUT,2018,55.0
AUT,2019,55.0
AZE,2000,5.955
AZE,2001,5.955
AZE,2002,5.955
AZE,2003,5.955
AZE,2004,5.955
AZE,2005,5.955
AZE,2006,5.955
AZE,2007,5.955
AZE,2008,5.955
AZE,2009,5.955
AZE,2010,5.955
AZE,2011,5.955
AZE,2012,5.955
AZE,2013,5.955
AZE,2014,5.955
AZE,2015,5.955
AZE,2016,5.955
AZE,2017,5.955
AZE,2018,5.955
AZE,2019,5.955
BDI,2000,10.06
BDI,2001,10.06
BDI,2002,10.06
BDI,2003,10.06
BDI,2004,10.06
BDI,2005,10.06
BDI,2006,10.06
BDI,2007,10.06
BDI,2008,10.06
BDI,2009,10.06
BDI,2010,10.06
BDI,2011,10.06
BDI,2012,10.06
BDI,2013,10.06
BDI,2014,10.06
BDI,2015,10.06
BDI,2016,10.06
BDI,2017,10.06
BDI,2018,10.06
BDI,2019,10.06
BEL,2000,12.0
BEL,2001,12.0
BEL,2002,12.0
BEL,2003,12.0
BEL,2004,12.0
BEL,2005,12.0
BEL,2006,12.0
BEL,2007,12.0
BEL,2008,12.0
BEL,2009,12.0
BEL,2010,12.0
BEL,2011,12.0
BEL,2012,12.0
BEL,2013,12.0
BEL,2014,12.0
BEL,2015,12.0
BEL,2016,12.0
BEL,2017,12.0
BEL,2018,12.0
BEL,2019,12.0
BEN,2000,10.0
BEN,2001,10.0
BEN,2002,10.0
BEN,2003,10.0
BEN,2004,10.0
BEN,2005,10.0
BEN,2006,10.0
BEN,2007,10.0
BEN,2008,10.0
BEN,2009,10.0
BEN,2010,10.0
BEN,2011,10.0
BEN,2012,10.0
BEN,2013,10.0
BEN,2014,10.0
BEN,2015,10.0
BEN,2016,10.0
BEN,2017,10.0
BEN,2018,10.0
BEN,2019,10.0
BFA,2000,8.0
BFA,2001,8.0
BFA,2002,8.0
BFA,2003,8.0
BFA,2004,8.0
BFA,2005,8.0
BFA,2006,8.0
BFA,2007,8.0
BFA,2008,8.0
BFA,2009,8.0
BFA,2010,8.0
BFA,2011,8.0
BFA,2012,8.0
BFA,2013,8.0
BFA,2014,8.0
BFA,2015,8.0
BFA,2016,8.0
BFA,2017,8.0
BFA,2018,8.0
BFA,2019,8.0
BGD,2000,83.91
BGD,2001,83.91
BGD,2002,83.91
BGD,2003,83.91
BGD,2004,83.91
BGD,2005,83.91
BGD,2006,83.91
BGD,2007,83.91
BGD,2008,83.91
BGD,2009,83.91
BGD,2010,83.91
BGD,2011,83.91
BGD,2012,83.91
BGD,2013,83.91
BGD,2014,83.91
BGD,2015,83.91
BGD,2016,83.91
BGD,2017,83.91
BGD,2018,83.91
BGD,2019,83.91
BGR,2000,20.1
BGR,2001,20.1
BGR,2002,20.1
BGR,2003,20.1
BGR,2004,20.1
BGR,2005,20.1
BGR,2006,20.1
BGR,2007,20.1
BGR,2008,20.1
BGR,2009,20.1
BGR,2010,20.1
BGR,2011,20.1
BGR,2012,20.1
BGR,2013,20.1
BGR,2014,20.1
BGR,2015,20.1
BGR,2016,20.1
BGR,2017,20.1
BGR,2018,20.1
BGR,2019,20.1
BHR,2000,0.004
BHR,2001,0.004
BHR,2002,0.004
BHR,2003,0.004
BHR,2004,0.004
BHR,2005,0.004
BHR,2006,0.004
BHR,2007,0.004
BHR,2008,0.004
BHR,2009,0.004
BHR,2010,0.004
BHR,2011,0.004
BHR,2012,0.004
BHR,2013,0.004
BHR,2014,0.004
BHR,2015,0.004
BHR,2016,0.004
BHR,2017,0.004
BHR,2018,0.004
BHR,2019,0.004
BHS,2000,0.0
BHS,2001,0.0
BHS,2002,0.0
BHS,2003,0.0
BHS,2004,0.0
BHS,2005,0.0
BHS,2006,0.0
BHS,2007,0.0
