ISO,Year,TW
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,0.0
AFG,2001,0.0
AFG,2002,0.0
AFG,2003,0.0
AFG,2004,0.0
AFG,2005,0.0
AFG,2006,0.0
AFG,2007,0.0
AFG,2008,0.0
AFG,2009,0.0
AFG,2010,0.0
AFG,2011,0.0
AFG,2012,0.0
AFG,2013,0.0
AFG,2014,0.0
AFG,2015,0.0
AFG,2016,0.0
AFG,2017,0.0
AFG,2018,0.0
AFG,2019,0.0
AGO,2000,0.0
AGO,2001,0.0
AGO,2002,0.0
AGO,2003,0.0
AGO,2004,0.0
AGO,2005,0.0
AGO,2006,0.0
AGO,2007,0.0
AGO,2008,0.0
AGO,2009,0.0
AGO,2010,0.0
AGO,2011,0.0
AGO,2012,0.0
AGO,2013,0.0
AGO,2014,0.0
AGO,2015,0.0
AGO,2016,0.0
AGO,2017,0.0
AGO,2018,0.0
AGO,2019,0.0
ALB,2000,0.0205
ALB,2001,0.0205
ALB,2002,0.0205
ALB,2003,0.0205
ALB,2004,0.0205
ALB,2005,0.0205
ALB,2006,0.0205
ALB,2007,0.0205
ALB,2008,0.0205
ALB,2009,0.0205
ALB,2010,0.0205
ALB,2011,0.0205
ALB,2012,0.0205
ALB,2013,0.0205
ALB,2014,0.0205
ALB,2015,0.0205
ALB,2016,0.0205
ALB,2017,0.0205
ALB,2018,0.0205
ALB,2019,0.0205
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
ARE,2000,0.265
ARE,2001,0.265
ARE,2002,0.265
ARE,2003,0.265
ARE,2004,0.265
ARE,2005,0.265
ARE,2006,0.289
ARE,2007,0.289
ARE,2008,0.289
ARE,2009,0.289
ARE,2010,0.289
ARE,2011,0.289
ARE,2012,0.289
ARE,2013,0.289
ARE,2014,0.289
ARE,2015,0.289
ARE,2016,0.289
ARE,2017,0.7356
ARE,2018,0.7356
ARE,2019,0.7356
ARG,2000,0.1042
ARG,2001,0.1042
ARG,2002,0.1042
ARG,2003,0.1042
ARG,2004,0.1042
ARG,2005,0.1042
ARG,2006,0.1042
ARG,2007,0.1042
ARG,2008,0.1042
ARG,2009,0.1042
ARG,2010,0.29
ARG,2011,0.29
ARG,2012,0.29
ARG,2013,0.29
ARG,2014,0.29
ARG,2015,0.29
ARG,2016,0.29
ARG,2017,0.29
ARG,2018,0.29
ARG,2019,0.29
ARM,2000,0.128
ARM,2001,0.128
ARM,2002,0.128
ARM,2003,0.128
ARM,2004,0.128
ARM,2005,0.128
ARM,2006,0.089
ARM,2007,0.089
ARM,2008,0.089
ARM,2009,0.089
ARM,2010,0.089
ARM,2011,0.115
ARM,2012,0.115
ARM,2013,0.115
ARM,2014,0.115
ARM,2015,0.115
ARM,2016,0.115
ARM,2017,0.17
ARM,2018,0.17
ARM,2019,0.17
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,0.0
ATG,2001,0.0
ATG,2002,0.0
ATG,2003,0.0
ATG,2004,0.0
ATG,2005,0.0
ATG,2006,0.0
ATG,2007,0.0
ATG,2008,0.0
ATG,2009,0.0
ATG,2010,0.0
ATG,2011,0.0
ATG,2012,0.0
ATG,2013,0.0
ATG,2014,0.0
ATG,2015,0.0
ATG,2016,0.0
ATG,2017,0.0
ATG,2018,0.0
ATG,2019,0.0
AUS,2000,1.779
AUS,2001,1.779
AUS,2002,1.779
AUS,2003,1.779
AUS,2004,1.779
AUS,2005,1.779
AUS,2006,1.779
AUS,2007,1.779
AUS,2008,1.779
AUS,2009,1.779
AUS,2010,1.779
AUS,2011,1.779
AUS,2012,1.779
AUS,2013,2.0
AUS,2014,2.0
AUS,2015,2.0
AUS,2016,2.0
AUS,2017,2.0
AUS,2018,2.0
AUS,2019,2.0
AUT,2000,0.794
AUT,2001,0.794
AUT,2002,0.794
AUT,2003,0.794
AUT,2004,0.794
AUT,2005,0.794
AUT,2006,0.794
AUT,2007,0.794
AUT,2008,0.794
AUT,2009,0.794
AUT,2010,1.919
AUT,2011,1.919
AUT,2012,1.919
AUT,2013,1.919
AUT,2014,1.919
AUT,2015,1.919
AUT,2016,1.919
AUT,2017,1.919
AUT,2018,1.919
AUT,2019,1.919
AZE,2000,0.161
AZE,2001,0.161
AZE,2002,0.161
AZE,2003,0.161
AZE,2004,0.161
AZE,2005,0.161
AZE,2006,0.161
AZE,2007,0.161
AZE,2008,0.161
AZE,2009,0.161
AZE,2010,0.161
AZE,2011,0.161
AZE,2012,0.161
AZE,2013,0.161
AZE,2014,0.161
AZE,2015,0.161
AZE,2016,0.161
AZE,2017,0.161
AZE,2018,0.161
AZE,2019,0.161
BDI,2000,0.0
BDI,2001,0.0
BDI,2002,0.0
BDI,2003,0.0
BDI,2004,0.0
BDI,2005,0.0
BDI,2006,0.0
BDI,2007,0.0
BDI,2008,0.0
BDI,2009,0.0
BDI,2010,0.0
BDI,2011,0.0
BDI,2012,0.0
BDI,2013,0.0
BDI,2014,0.0
BDI,2015,0.0
BDI,2016,0.0
BDI,2017,0.0
BDI,2018,0.0
BDI,2019,0.0
BEL,2000,0.0
BEL,2001,0.0
BEL,2002,0.0
BEL,2003,0.0
BEL,2004,0.0
BEL,2005,0.0
BEL,2006,0.0
BEL,2007,0.0
BEL,2008,0.0
BEL,2009,0.0
BEL,2010,0.0
BEL,2011,0.0
BEL,2012,0.0
BEL,2013,0.0
BEL,2014,0.0
BEL,2015,0.0
BEL,2016,0.0
BEL,2017,0.0
BEL,2018,0.0
BEL,2019,0.0
BEN,2000,0.0
BEN,2001,0.0
BEN,2002,0.0
BEN,2003,0.0
BEN,2004,0.0
BEN,2005,0.0
BEN,2006,0.0
BEN,2007,0.0
BEN,2008,0.0
BEN,2009,0.0
BEN,2010,0.0
BEN,2011,0.0
BEN,2012,0.0
BEN,2013,0.0
BEN,2014,0.0
BEN,2015,0.0
BEN,2016,0.0
BEN,2017,0.0
BEN,2018,0.0
BEN,2019,0.0
BFA,2000,0.0014
BFA,2001,0.0014
BFA,2002,0.0014
BFA,2003,0.0014
BFA,2004,0.0014
BFA,2005,0.0014
BFA,2006,0.0014
BFA,2007,0.0014
BFA,2008,0.0014
BFA,2009,0.0014
BFA,2010,0.0014
BFA,2011,0.0014
BFA,2012,0.0014
BFA,2013,0.0014
BFA,2014,0.0014
BFA,2015,0.0014
BFA,2016,0.0014
BFA,2017,0.0014
BFA,2018,0.0014
BFA,2019,0.0014
BGD,2000,0.0
BGD,2001,0.0
BGD,2002,0.0
BGD,2003,0.0
BGD,2004,0.0
BGD,2005,0.0
BGD,2006,0.0
BGD,2007,0.0
BGD,2008,0.0
BGD,2009,0.0
BGD,2010,0.0
BGD,2011,0.0
BGD,2012,0.0
BGD,2013,0.0
BGD,2014,0.0
BGD,2015,0.0
BGD,2016,0.0
BGD,2017,0.0
BGD,2018,0.0
BGD,2019,0.0
BGR,2000,0.0
BGR,2001,0.0
BGR,2002,0.0
BGR,2003,0.0
BGR,2004,0.0
BGR,2005,0.0
BGR,2006,0.0
BGR,2007,0.0
BGR,2008,0.0
BGR,2009,0.0
BGR,2010,0.0
BGR,2011,0.0
BGR,2012,0.0
BGR,2013,0.0
BGR,2014,0.0
BGR,2015,0.0
BGR,2016,0.0
BGR,2017,0.0
BGR,2018,0.0
BGR,2019,0.0
BHR,2000,0.0619
BHR,2001,0.0619
BHR,2002,0.0619
BHR,2003,0.0619
BHR,2004,0.0619
BHR,2005,0.0619
BHR,2006,0.0619
BHR,2007,0.0619
BHR,2008,0.0619
BHR,2009,0.0619
BHR,2010,0.0619
BHR,2011,0.0619
BHR,2012,0.076
BHR,2013,0.076
BHR,2014,0.076
BHR,2015,0.076
BHR,2016,0.1482
BHR,2017,0.1482
BHR,2018,0.1482
BHR,2019,0.1482
BHS,2000,0.0
BHS,2001,0.0
