ISO,Year,TWW
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,20.28
AFG,2001,20.28
AFG,2002,20.28
AFG,2003,20.28
AFG,2004,20.28
AFG,2005,20.28
AFG,2006,20.28
AFG,2007,20.28
AFG,2008,20.28
AFG,2009,20.28
AFG,2010,20.28
AFG,2011,20.28
AFG,2012,20.28
AFG,2013,20.28
AFG,2014,20.28
AFG,2015,20.28
AFG,2016,20.28
AFG,2017,20.28
AFG,2018,20.28
AFG,2019,20.28
AGO,2000,0.6404
AGO,2001,0.6404
AGO,2002,0.6404
AGO,2003,0.6404
AGO,2004,0.6404
AGO,2005,0.7057
AGO,2006,0.7057
AGO,2007,0.7057
AGO,2008,0.7057
AGO,2009,0.7057
AGO,2010,0.7057
AGO,2011,0.7057
AGO,2012,0.7057
AGO,2013,0.7057
AGO,2014,0.7057
AGO,2015,0.7057
AGO,2016,0.7057
AGO,2017,0.7057
AGO,2018,0.7057
AGO,2019,0.7057
ALB,2000,1.838
ALB,2001,1.838
ALB,2002,1.838
ALB,2003,1.838
ALB,2004,1.838
ALB,2005,1.838
ALB,2006,1.311
ALB,2007,1.311
ALB,2008,1.311
ALB,2009,1.311
ALB,2010,1.311
ALB,2011,1.311
ALB,2012,1.311
ALB,2013,1.311
ALB,2014,1.311
ALB,2015,1.311
ALB,2016,1.311
ALB,2017,1.188
ALB,2018,1.188
ALB,2019,1.188
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
ARE,2000,2.334
ARE,2001,2.334
ARE,2002,2.334
ARE,2003,2.334
ARE,2004,2.334
ARE,2005,2.235
ARE,2006,2.235
ARE,2007,2.235
ARE,2008,2.235
ARE,2009,2.235
ARE,2010,2.235
ARE,2011,2.235
ARE,2012,2.235
ARE,2013,2.235
ARE,2014,2.235
ARE,2015,2.235
ARE,2016,2.235
ARE,2017,2.562
ARE,2018,2.562
ARE,2019,2.562
ARG,2000,37.69
ARG,2001,37.69
ARG,2002,37.69
ARG,2003,37.69
ARG,2004,37.69
ARG,2005,37.69
ARG,2006,37.69
ARG,2007,37.69
ARG,2008,37.69
ARG,2009,37.69
ARG,2010,37.69
ARG,2011,37.69
ARG,2012,37.69
ARG,2013,37.69
ARG,2014,37.69
ARG,2015,37.69
ARG,2016,37.69
ARG,2017,37.69
ARG,2018,37.69
ARG,2019,37.69
ARM,2000,1.732
ARM,2001,1.732
ARM,2002,1.732
ARM,2003,1.732
ARM,2004,1.732
ARM,2005,1.732
ARM,2006,1.732
ARM,2007,2.858
ARM,2008,2.858
ARM,2009,2.858
ARM,2010,2.858
ARM,2011,2.858
ARM,2012,2.941
ARM,2013,2.941
ARM,2014,2.941
ARM,2015,2.941
ARM,2016,2.941
ARM,2017,2.865
ARM,2018,2.865
ARM,2019,2.865
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,0.0051
ATG,2001,0.0051
ATG,2002,0.0051
ATG,2003,0.0051
ATG,2004,0.0051
ATG,2005,0.0051
ATG,2006,0.0051
ATG,2007,0.0051
ATG,2008,0.0051
ATG,2009,0.0051
ATG,2010,0.0051
ATG,2011,0.0051
ATG,2012,0.0044
ATG,2013,0.0044
ATG,2014,0.0044
ATG,2015,0.0044
ATG,2016,0.0044
ATG,2017,0.0044
ATG,2018,0.0044
ATG,2019,0.0044
AUS,2000,21.5
AUS,2001,21.5
AUS,2002,21.5
AUS,2003,21.5
AUS,2004,21.5
AUS,2005,18.51
AUS,2006,18.51
AUS,2007,18.51
AUS,2008,18.51
AUS,2009,18.51
AUS,2010,18.51
AUS,2011,18.51
AUS,2012,15.45
AUS,2013,15.45
AUS,2014,15.45
AUS,2015,15.45
AUS,2016,15.45
AUS,2017,15.94
AUS,2018,15.94
AUS,2019,15.94
AUT,2000,3.666
AUT,2001,3.666
AUT,2002,3.666
AUT,2003,3.666
AUT,2004,3.666
AUT,2005,3.666
AUT,2006,3.666
AUT,2007,3.666
AUT,2008,3.666
AUT,2009,3.666
AUT,2010,3.492
AUT,2011,3.492
AUT,2012,3.492
AUT,2013,3.492
AUT,2014,3.492
AUT,2015,3.492
AUT,2016,3.492
AUT,2017,3.492
AUT,2018,3.492
AUT,2019,3.492
AZE,2000,10.07
AZE,2001,10.07
AZE,2002,10.07
AZE,2003,10.07
AZE,2004,10.07
AZE,2005,10.07
AZE,2006,10.07
AZE,2007,12.27
AZE,2008,12.27
AZE,2009,12.27
AZE,2010,12.27
AZE,2011,12.27
AZE,2012,11.97
AZE,2013,11.97
AZE,2014,11.97
AZE,2015,11.97
AZE,2016,11.97
AZE,2017,12.78
AZE,2018,12.78
AZE,2019,12.78
BDI,2000,0.288
BDI,2001,0.288
BDI,2002,0.288
BDI,2003,0.288
BDI,2004,0.288
BDI,2005,0.288
BDI,2006,0.288
BDI,2007,0.288
BDI,2008,0.288
BDI,2009,0.288
BDI,2010,0.288
BDI,2011,0.288
BDI,2012,0.288
BDI,2013,0.288
BDI,2014,0.288
BDI,2015,0.288
BDI,2016,0.288
BDI,2017,0.288
BDI,2018,0.288
BDI,2019,0.288
BEL,2000,6.735
BEL,2001,6.735
BEL,2002,6.735
BEL,2003,6.735
BEL,2004,6.735
BEL,2005,6.735
BEL,2006,6.735
BEL,2007,6.214
BEL,2008,6.214
BEL,2009,6.214
BEL,2010,6.214
BEL,2011,6.214
BEL,2012,5.3
BEL,2013,5.3
BEL,2014,5.3
BEL,2015,3.994
BEL,2016,3.994
BEL,2017,3.994
BEL,2018,3.994
BEL,2019,3.994
BEN,2000,0.13
BEN,2001,0.13
BEN,2002,0.13
BEN,2003,0.13
BEN,2004,0.13
BEN,2005,0.13
BEN,2006,0.13
BEN,2007,0.13
BEN,2008,0.13
BEN,2009,0.13
BEN,2010,0.13
BEN,2011,0.13
BEN,2012,0.13
BEN,2013,0.13
BEN,2014,0.13
BEN,2015,0.13
BEN,2016,0.13
BEN,2017,0.13
BEN,2018,0.13
BEN,2019,0.13
BFA,2000,0.7157
BFA,2001,0.7157
BFA,2002,0.7157
BFA,2003,0.7157
BFA,2004,0.7157
BFA,2005,0.818
BFA,2006,0.818
BFA,2007,0.818
BFA,2008,0.818
BFA,2009,0.818
BFA,2010,0.818
BFA,2011,0.818
BFA,2012,0.818
BFA,2013,0.818
BFA,2014,0.818
BFA,2015,0.818
BFA,2016,0.818
BFA,2017,0.818
BFA,2018,0.818
BFA,2019,0.818
BGD,2000,35.87
BGD,2001,35.87
BGD,2002,35.87
BGD,2003,35.87
BGD,2004,35.87
BGD,2005,35.87
BGD,2006,35.87
BGD,2007,35.87
BGD,2008,35.87
BGD,2009,35.87
BGD,2010,35.87
BGD,2011,35.87
BGD,2012,35.87
BGD,2013,35.87
BGD,2014,35.87
BGD,2015,35.87
BGD,2016,35.87
BGD,2017,35.87
BGD,2018,35.87
BGD,2019,35.87
BGR,2000,6.589
BGR,2001,6.589
BGR,2002,6.589
BGR,2003,6.589
BGR,2004,6.589
BGR,2005,6.589
BGR,2006,6.589
BGR,2007,6.202
BGR,2008,6.202
BGR,2009,6.202
BGR,2010,6.202
BGR,2011,6.202
BGR,2012,5.715
BGR,2013,5.715
BGR,2014,5.715
BGR,2015,5.715
BGR,2016,5.715
BGR,2017,5.658
BGR,2018,5.658
BGR,2019,5.658
BHR,2000,0.2387
BHR,2001,0.2387
BHR,2002,0.2387
BHR,2003,0.2387
BHR,2004,0.2387
BHR,2005,0.2387
BHR,2006,0.2387
BHR,2007,0.2387
BHR,2008,0.2387
BHR,2009,0.2387
BHR,2010,0.2387
BHR,2011,0.2387
BHR,2012,0.2387
BHR,2013,0.2387
BHR,2014,0.2387
BHR,2015,0.2387
BHR,2016,0.1533
BHR,2017,0.1533
BHR,2018,0.1533
BHR,2019,0.1533
BHS,2000,0.0
BHS,2001,0.0
