ISO,Year,WP
ABW,2000,3.71
ABW,2001,3.71
ABW,2002,3.71
ABW,2003,3.71
ABW,2004,3.71
ABW,2005,3.71
ABW,2006,3.71
ABW,2007,3.71
ABW,2008,3.71
ABW,2009,3.71
ABW,2010,3.71
ABW,2011,3.71
ABW,2012,3.71
ABW,2013,3.71
ABW,2014,3.71
ABW,2015,3.71
ABW,2016,3.71
ABW,2017,3.71
ABW,2018,3.71
ABW,2019,3.71
AFG,2000,0.35
AFG,2001,0.35
AFG,2002,0.35
AFG,2003,0.35
AFG,2004,0.35
AFG,2005,0.35
AFG,2006,0.35
AFG,2007,0.35
AFG,2008,0.35
AFG,2009,0.35
AFG,2010,0.35
AFG,2011,0.35
AFG,2012,0.35
AFG,2013,0.35
AFG,2014,0.35
AFG,2015,0.35
AFG,2016,0.35
AFG,2017,0.35
AFG,2018,0.35
AFG,2019,0.35
AGO,2000,0.53
AGO,2001,0.53
AGO,2002,0.53
AGO,2003,0.53
AGO,2004,0.53
AGO,2005,0.53
AGO,2006,0.53
AGO,2007,0.53
AGO,2008,0.53
AGO,2009,0.53
AGO,2010,0.53
AGO,2011,0.53
AGO,2012,0.53
AGO,2013,0.53
AGO,2014,0.53
AGO,2015,0.53
AGO,2016,0.53
AGO,2017,0.53
AGO,2018,0.53
AGO,2019,0.53
ALB,2000,0.53
ALB,2001,0.53
ALB,2002,0.53
ALB,2003,0.53
ALB,2004,0.53
ALB,2005,0.53
ALB,2006,0.53
ALB,2007,0.53
ALB,2008,0.53
ALB,2009,0.53
ALB,2010,0.53
ALB,2011,0.53
ALB,2012,0.53
ALB,2013,0.53
ALB,2014,0.53
ALB,2015,0.53
ALB,2016,0.53
ALB,2017,0.53
ALB,2018,0.53
ALB,2019,0.53
AND,2000,0.83
AND,2001,0.83
AND,2002,0.83
AND,2003,0.83
AND,2004,0.83
AND,2005,0.83
AND,2006,0.83
AND,2007,0.83
AND,2008,0.83
AND,2009,0.83
AND,2010,0.83
AND,2011,0.83
AND,2012,0.83
AND,2013,0.83
AND,2014,0.83
AND,2015,0.83
AND,2016,0.83
AND,2017,0.83
AND,2018,0.83
AND,2019,0.83
ARE,2000,1.59
ARE,2001,1.59
ARE,2002,1.59
ARE,2003,1.59
ARE,2004,1.59
ARE,2005,1.59
ARE,2006,1.59
ARE,2007,1.59
ARE,2008,1.59
ARE,2009,1.59
ARE,2010,1.59
ARE,2011,1.59
ARE,2012,1.59
ARE,2013,1.59
ARE,2014,1.59
ARE,2015,1.59
ARE,2016,1.59
ARE,2017,1.59
ARE,2018,1.59
ARE,2019,1.59
ARG,2000,0.4
ARG,2001,0.4
ARG,2002,0.4
ARG,2003,0.4
ARG,2004,0.4
ARG,2005,0.4
ARG,2006,0.4
ARG,2007,0.4
ARG,2008,0.4
ARG,2009,0.4
ARG,2010,0.4
ARG,2011,0.4
ARG,2012,0.4
ARG,2013,0.4
ARG,2014,0.4
ARG,2015,0.4
ARG,2016,0.4
ARG,2017,0.4
ARG,2018,0.4
ARG,2019,0.4
ARM,2000,0.32
ARM,2001,0.32
ARM,2002,0.32
ARM,2003,0.32
ARM,2004,0.32
ARM,2005,0.32
ARM,2006,0.32
ARM,2007,0.32
ARM,2008,0.32
ARM,2009,0.32
ARM,2010,0.32
ARM,2011,0.32
ARM,2012,0.32
ARM,2013,0.32
ARM,2014,0.32
ARM,2015,0.32
ARM,2016,0.32
ARM,2017,0.32
ARM,2018,0.32
ARM,2019,0.32
ASM,2000,2.03
ASM,2001,2.03
ASM,2002,2.03
ASM,2003,2.03
ASM,2004,2.03
ASM,2005,2.03
ASM,2006,2.03
ASM,2007,2.03
ASM,2008,2.03
ASM,2009,2.03
ASM,2010,2.03
ASM,2011,2.03
ASM,2012,2.03
ASM,2013,2.03
ASM,2014,2.03
ASM,2015,2.03
ASM,2016,2.03
ASM,2017,2.03
ASM,2018,2.03
ASM,2019,2.03
ATG,2000,2.6
ATG,2001,2.6
ATG,2002,2.6
ATG,2003,2.6
ATG,2004,2.6
ATG,2005,2.6
ATG,2006,2.6
ATG,2007,2.6
ATG,2008,2.6
ATG,2009,2.6
ATG,2010,2.6
ATG,2011,2.6
ATG,2012,2.6
ATG,2013,2.6
ATG,2014,2.6
ATG,2015,2.6
ATG,2016,2.6
ATG,2017,2.6
ATG,2018,2.6
ATG,2019,2.6
AUS,2000,2.64
AUS,2001,2.64
AUS,2002,2.64
AUS,2003,2.64
AUS,2004,2.64
AUS,2005,2.64
AUS,2006,2.64
AUS,2007,2.64
AUS,2008,2.64
AUS,2009,2.64
AUS,2010,2.64
AUS,2011,2.64
AUS,2012,2.64
AUS,2013,2.64
AUS,2014,2.64
AUS,2015,2.64
AUS,2016,2.64
AUS,2017,2.64
AUS,2018,2.64
AUS,2019,2.64
AUT,2000,2.12
AUT,2001,2.12
AUT,2002,2.12
AUT,2003,2.12
AUT,2004,2.12
AUT,2005,2.12
AUT,2006,2.12
AUT,2007,2.12
AUT,2008,2.12
AUT,2009,2.12
AUT,2010,2.12
AUT,2011,2.12
AUT,2012,2.12
AUT,2013,2.12
AUT,2014,2.12
AUT,2015,2.12
AUT,2016,2.12
AUT,2017,2.12
AUT,2018,2.12
AUT,2019,2.12
AZE,2000,0.21
AZE,2001,0.21
AZE,2002,0.21
AZE,2003,0.21
AZE,2004,0.21
AZE,2005,0.21
AZE,2006,0.21
AZE,2007,0.21
AZE,2008,0.21
AZE,2009,0.21
AZE,2010,0.21
AZE,2011,0.21
AZE,2012,0.21
AZE,2013,0.21
AZE,2014,0.21
AZE,2015,0.21
AZE,2016,0.21
AZE,2017,0.21
AZE,2018,0.21
AZE,2019,0.21
BDI,2000,0.23
BDI,2001,0.23
BDI,2002,0.23
BDI,2003,0.23
BDI,2004,0.23
BDI,2005,0.23
BDI,2006,0.23
BDI,2007,0.23
BDI,2008,0.23
BDI,2009,0.23
BDI,2010,0.23
BDI,2011,0.23
BDI,2012,0.23
BDI,2013,0.23
BDI,2014,0.23
BDI,2015,0.23
BDI,2016,0.23
