ISO,Year,WRR
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,55.0
AFG,2001,55.0
AFG,2002,55.0
AFG,2003,55.0
AFG,2004,55.0
AFG,2005,55.0
AFG,2006,55.0
AFG,2007,55.0
AFG,2008,55.0
AFG,2009,55.0
AFG,2010,55.0
AFG,2011,55.0
AFG,2012,55.0
AFG,2013,55.0
AFG,2014,55.0
AFG,2015,55.0
AFG,2016,55.0
AFG,2017,55.0
AFG,2018,55.0
AFG,2019,55.0
AGO,2000,27.0
AGO,2001,27.0
AGO,2002,27.0
AGO,2003,27.0
AGO,2004,27.0
AGO,2005,27.0
AGO,2006,27.0
AGO,2007,27.0
AGO,2008,27.0
AGO,2009,27.0
AGO,2010,27.0
AGO,2011,27.0
AGO,2012,27.0
AGO,2013,27.0
AGO,2014,27.0
AGO,2015,27.0
AGO,2016,27.0
AGO,2017,27.0
AGO,2018,27.0
AGO,2019,27.0
ALB,2000,62.0
ALB,2001,62.0
ALB,2002,62.0
ALB,2003,62.0
ALB,2004,62.0
ALB,2005,62.0
ALB,2006,62.0
ALB,2007,62.0
ALB,2008,62.0
ALB,2009,62.0
ALB,2010,62.0
ALB,2011,62.0
ALB,2012,62.0
ALB,2013,62.0
ALB,2014,62.0
ALB,2015,62.0
ALB,2016,62.0
ALB,2017,62.0
ALB,2018,62.0
ALB,2019,62.0
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
ARE,2000,55.0
ARE,2001,55.0
ARE,2002,55.0
ARE,2003,55.0
ARE,2004,55.0
ARE,2005,55.0
ARE,2006,55.0
ARE,2007,55.0
ARE,2008,55.0
ARE,2009,55.0
ARE,2010,55.0
ARE,2011,55.0
ARE,2012,55.0
ARE,2013,55.0
ARE,2014,55.0
ARE,2015,55.0
ARE,2016,55.0
ARE,2017,55.0
ARE,2018,55.0
ARE,2019,55.0
ARG,2000,44.0
ARG,2001,44.0
ARG,2002,44.0
ARG,2003,44.0
ARG,2004,44.0
ARG,2005,44.0
ARG,2006,44.0
ARG,2007,44.0
ARG,2008,44.0
ARG,2009,44.0
ARG,2010,44.0
ARG,2011,44.0
ARG,2012,44.0
ARG,2013,44.0
ARG,2014,44.0
ARG,2015,44.0
ARG,2016,44.0
ARG,2017,44.0
ARG,2018,44.0
ARG,2019,44.0
ARM,2000,34.0
ARM,2001,34.0
ARM,2002,34.0
ARM,2003,34.0
ARM,2004,34.0
ARM,2005,34.0
ARM,2006,34.0
ARM,2007,34.0
ARM,2008,34.0
ARM,2009,34.0
ARM,2010,34.0
ARM,2011,34.0
ARM,2012,34.0
ARM,2013,34.0
ARM,2014,34.0
ARM,2015,34.0
ARM,2016,34.0
ARM,2017,34.0
ARM,2018,34.0
ARM,2019,34.0
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,0.0
ATG,2001,0.0
ATG,2002,0.0
ATG,2003,0.0
ATG,2004,0.0
ATG,2005,0.0
ATG,2006,0.0
ATG,2007,0.0
ATG,2008,0.0
ATG,2009,0.0
ATG,2010,0.0
ATG,2011,0.0
ATG,2012,0.0
ATG,2013,0.0
ATG,2014,0.0
ATG,2015,0.0
ATG,2016,0.0
ATG,2017,0.0
ATG,2018,0.0
ATG,2019,0.0
AUS,2000,59.0
AUS,2001,59.0
AUS,2002,59.0
AUS,2003,59.0
AUS,2004,59.0
AUS,2005,59.0
AUS,2006,59.0
AUS,2007,59.0
AUS,2008,59.0
AUS,2009,59.0
AUS,2010,59.0
AUS,2011,59.0
AUS,2012,59.0
AUS,2013,59.0
AUS,2014,59.0
AUS,2015,59.0
AUS,2016,59.0
AUS,2017,59.0
AUS,2018,59.0
AUS,2019,59.0
AUT,2000,60.0
AUT,2001,60.0
AUT,2002,60.0
AUT,2003,60.0
AUT,2004,60.0
AUT,2005,60.0
AUT,2006,60.0
AUT,2007,60.0
AUT,2008,60.0
AUT,2009,60.0
AUT,2010,60.0
AUT,2011,60.0
AUT,2012,60.0
AUT,2013,60.0
AUT,2014,60.0
AUT,2015,60.0
AUT,2016,60.0
AUT,2017,60.0
AUT,2018,60.0
AUT,2019,60.0
AZE,2000,39.0
AZE,2001,39.0
AZE,2002,39.0
AZE,2003,39.0
AZE,2004,39.0
AZE,2005,39.0
AZE,2006,39.0
AZE,2007,39.0
AZE,2008,39.0
AZE,2009,39.0
AZE,2010,39.0
AZE,2011,39.0
AZE,2012,39.0
AZE,2013,39.0
AZE,2014,39.0
AZE,2015,39.0
AZE,2016,39.0
AZE,2017,39.0
AZE,2018,39.0
AZE,2019,39.0
BDI,2000,44.0
BDI,2001,44.0
BDI,2002,44.0
BDI,2003,44.0
BDI,2004,44.0
BDI,2005,44.0
BDI,2006,44.0
BDI,2007,44.0
BDI,2008,44.0
BDI,2009,44.0
BDI,2010,44.0
BDI,2011,44.0
BDI,2012,44.0
BDI,2013,44.0
BDI,2014,44.0
BDI,2015,44.0
BDI,2016,44.0
BDI,2017,44.0
BDI,2018,44.0
BDI,2019,44.0
BEL,2000,60.0
BEL,2001,60.0
BEL,2002,60.0
BEL,2003,60.0
BEL,2004,60.0
BEL,2005,60.0
BEL,2006,60.0
BEL,2007,60.0
BEL,2008,60.0
BEL,2009,60.0
BEL,2010,60.0
BEL,2011,60.0
BEL,2012,60.0
BEL,2013,60.0
BEL,2014,60.0
BEL,2015,60.0
BEL,2016,60.0
BEL,2017,60.0
BEL,2018,60.0
BEL,2019,60.0
BEN,2000,24.0
BEN,2001,24.0
BEN,2002,24.0
BEN,2003,24.0
BEN,2004,24.0
BEN,2005,24.0
BEN,2006,24.0
BEN,2007,24.0
BEN,2008,24.0
BEN,2009,24.0
BEN,2010,24.0
BEN,2011,24.0
BEN,2012,24.0
BEN,2013,24.0
BEN,2014,24.0
BEN,2015,24.0
BEN,2016,24.0
BEN,2017,24.0
BEN,2018,24.0
BEN,2019,24.0
BFA,2000,31.0
BFA,2001,31.0
BFA,2002,31.0
BFA,2003,31.0
BFA,2004,31.0
BFA,2005,31.0
BFA,2006,31.0
BFA,2007,31.0
BFA,2008,31.0
BFA,2009,31.0
BFA,2010,31.0
BFA,2011,31.0
BFA,2012,31.0
BFA,2013,31.0
BFA,2014,31.0
BFA,2015,31.0
BFA,2016,31.0
BFA,2017,31.0
BFA,2018,31.0
BFA,2019,31.0
BGD,2000,78.0
BGD,2001,78.0
BGD,2002,78.0
BGD,2003,78.0
BGD,2004,78.0
BGD,2005,78.0
BGD,2006,78.0
BGD,2007,78.0
BGD,2008,78.0
BGD,2009,78.0
BGD,2010,78.0
BGD,2011,78.0
BGD,2012,78.0
BGD,2013,78.0
BGD,2014,78.0
BGD,2015,78.0
BGD,2016,78.0
BGD,2017,78.0
BGD,2018,78.0
BGD,2019,78.0
BGR,2000,31.0
BGR,2001,31.0
BGR,2002,31.0
BGR,2003,31.0
BGR,2004,31.0
BGR,2005,31.0
BGR,2006,31.0
BGR,2007,31.0
BGR,2008,31.0
BGR,2009,31.0
BGR,2010,31.0
BGR,2011,31.0
BGR,2012,31.0
BGR,2013,31.0
BGR,2014,31.0
BGR,2015,31.0
BGR,2016,31.0
BGR,2017,31.0
BGR,2018,31.0
BGR,2019,31.0
BHR,2000,25.0
BHR,2001,25.0
BHR,2002,25.0
BHR,2003,25.0
BHR,2004,25.0
BHR,2005,25.0
BHR,2006,25.0
BHR,2007,25.0
BHR,2008,25.0
BHR,2009,25.0
BHR,2010,25.0
BHR,2011,25.0
BHR,2012,25.0
BHR,2013,25.0
BHR,2014,25.0
BHR,2015,25.0
BHR,2016,25.0
BHR,2017,25.0
BHR,2018,25.0
BHR,2019,25.0
BHS,2000,0.0
BHS,2001,0.0
BHS,2002,0.0
BHS,2003,0.0
BHS,2004,0.0
BHS,2005,0.0
BHS,2006,0.0
BHS,2007,0.0
