ISO,Item,Year,DMCi
AFG,Biomass,1970,33567718.1066
AFG,Biomass,1971,33214625.2875
AFG,Biomass,1972,32079594.3004
AFG,Biomass,1973,35108566.3408
AFG,Biomass,1974,36561111.5475
AFG,Biomass,1975,38010809.8005
AFG,Biomass,1976,41927329.5763
AFG,Biomass,1977,40313458.452
AFG,Biomass,1978,41779752.3261
AFG,Biomass,1979,41273875.9381
AFG,Biomass,1980,41330101.6697
AFG,Biomass,1981,41950478.3338
AFG,Biomass,1982,41710727.8815
AFG,Biomass,1983,39938860.3826
AFG,Biomass,1984,37853010.4261
AFG,Biomass,1985,34691878.2492
AFG,Biomass,1986,32236315.0105
AFG,Biomass,1987,34116442.996
AFG,Biomass,1988,34195692.9838
AFG,Biomass,1989,34806097.3405
AFG,Biomass,1990,37145156.7168
AFG,Biomass,1991,37552813.8283
AFG,Biomass,1992,36340693.8976
AFG,Biomass,1993,38730725.3706
AFG,Biomass,1994,40974938.0678
AFG,Biomass,1995,42793581.6223
AFG,Biomass,1996,45530781.1443
AFG,Biomass,1997,49930467.1157
AFG,Biomass,1998,53633707.1809
AFG,Biomass,1999,53673798.8646
AFG,Biomass,2000,45570426.5292
AFG,Biomass,2001,41133768.2111
AFG,Biomass,2002,45602989.0935
AFG,Biomass,2003,46413886.7173
AFG,Biomass,2004,46653865.1945
AFG,Biomass,2005,51403371.2444
AFG,Biomass,2006,45652105.7889
AFG,Biomass,2007,47767146.9796
AFG,Biomass,2008,47039881.9026
AFG,Biomass,2009,55311953.5043
AFG,Biomass,2010,55778838.5574
AFG,Biomass,2011,54198769.5756
AFG,Biomass,2012,58498430.2543
AFG,Biomass,2013,58163420.7233
AFG,Biomass,2014,59624398.8822
AFG,Biomass,2015,60795949.1084
AFG,Biomass,2016,62001256.844
AFG,Biomass,2017,63206564.5797
AFG,Fossil fuels,1970,1934318.3175
AFG,Fossil fuels,1971,1971455.3439
AFG,Fossil fuels,1972,2133746.8957
AFG,Fossil fuels,1973,2025973.027
AFG,Fossil fuels,1974,2179800.385
AFG,Fossil fuels,1975,2195664.8146
AFG,Fossil fuels,1976,1910883.2936
AFG,Fossil fuels,1977,1929967.5949
AFG,Fossil fuels,1978,1853614.2171
AFG,Fossil fuels,1979,1756295.7825
AFG,Fossil fuels,1980,2086842.0054
AFG,Fossil fuels,1981,2010590.1082
AFG,Fossil fuels,1982,1966240.4481
AFG,Fossil fuels,1983,2056942.4481
AFG,Fossil fuels,1984,2183692.495
AFG,Fossil fuels,1985,2289122.5509
AFG,Fossil fuels,1986,2300002.7007
AFG,Fossil fuels,1987,1536322.8192
AFG,Fossil fuels,1988,1272536.3296
AFG,Fossil fuels,1989,378934.1395
AFG,Fossil fuels,1990,256007.7684
AFG,Fossil fuels,1991,239561.58734
AFG,Fossil fuels,1992,140714.134128
AFG,Fossil fuels,1993,135340.118496
AFG,Fossil fuels,1994,128940.102864
AFG,Fossil fuels,1995,122900.087232
AFG,Fossil fuels,1996,115500.046896
AFG,Fossil fuels,1997,105500.031264
AFG,Fossil fuels,1998,98300.031264
AFG,Fossil fuels,1999,90100.01563200001
AFG,Fossil fuels,2000,82900.01563200001
AFG,Fossil fuels,2001,102500.44272
AFG,Fossil fuels,2002,221178.35549
AFG,Fossil fuels,2003,204974.59248
AFG,Fossil fuels,2004,117574.57685
AFG,Fossil fuels,2005,153798.55214
AFG,Fossil fuels,2006,155096.59248
AFG,Fossil fuels,2007,356080.098
AFG,Fossil fuels,2008,455869.8507
AFG,Fossil fuels,2009,599746.4329
AFG,Fossil fuels,2010,824750.2313
AFG,Fossil fuels,2011,838088.2313
AFG,Fossil fuels,2012,862386.6493
AFG,Fossil fuels,2013,1455709.401
AFG,Fossil fuels,2014,1626020.27174
AFG,Fossil fuels,2015,1726736.58691
AFG,Fossil fuels,2016,1827452.90209
AFG,Fossil fuels,2017,1928169.21726
AFG,Metal ores,1970,4124.531
AFG,Metal ores,1971,7782.496
AFG,Metal ores,1972,6698.446999999999
AFG,Metal ores,1973,3713.855
AFG,Metal ores,1974,4917.062
AFG,Metal ores,1975,6015.023
AFG,Metal ores,1976,4912.594
AFG,Metal ores,1977,5382.706999999999
AFG,Metal ores,1978,0.0
AFG,Metal ores,1979,0.0
AFG,Metal ores,1980,0.0
AFG,Metal ores,1981,0.0
AFG,Metal ores,1982,0.0
AFG,Metal ores,1983,0.0
AFG,Metal ores,1984,0.0
