ISO,Year,GDPC
ABW,1986,15669.6160398263
ABW,1987,18427.6115299095
ABW,1988,22134.0172712515
ABW,1989,24837.9509579621
ABW,1990,25357.7869437251
ABW,1991,26329.3131412118
ABW,1992,26401.9687400419
ABW,1993,26663.2077602359
ABW,1994,27272.3100411519
ABW,1995,26705.1813209964
ABW,1996,26087.7756610939
ABW,1997,27190.5014747821
ABW,1998,27151.9237278694
ABW,1999,26954.404887031
ABW,2000,28417.3842120132
ABW,2001,26966.0548644166
ABW,2002,25508.3027198476
ABW,2003,25469.2876015726
ABW,2004,27005.5294296216
ABW,2005,26979.8853984373
ABW,2006,27046.224230202
ABW,2007,27427.5785719272
ABW,2008,27365.9311941508
ABW,2009,24463.6921995023
ABW,2010,23512.6025956397
ABW,2011,24233.0010815022
ABW,2012,23781.2572983852
ABW,2013,24635.764947531
ABW,2014,24563.2343250816
ABW,2015,25822.2513745534
ABW,2016,26231.0266768348
ABW,2017,26630.2052807325
AFG,2002,330.303552908057
AFG,2003,343.080889714587
AFG,2004,333.216684486798
AFG,2005,357.234719908026
AFG,2006,365.284494951006
AFG,2007,405.548979051796
AFG,2008,412.014286663305
AFG,2009,488.300250990155
AFG,2010,543.303041863931
AFG,2011,528.736648057768
AFG,2012,576.190125450699
AFG,2013,587.565090150175
AFG,2014,583.656192833123
AFG,2015,574.184114271259
AFG,2016,571.07377452356
AFG,2017,571.440690906349
AFG,2018,564.609991742901
AFG,2019,573.287551042738
AGO,1980,3193.40386146031
AGO,1981,2947.19411234777
AGO,1982,2844.32188041471
AGO,1983,2859.91920641002
AGO,1984,2925.36676659462
AGO,1985,2922.21685478586
AGO,1986,2902.61784962511
AGO,1987,2916.79393491043
AGO,1988,2989.61658586719
AGO,1989,2889.88585921143
AGO,1990,2697.49077823593
AGO,1991,2635.15554951792
AGO,1992,2401.23365594738
AGO,1993,1767.02533535
AGO,1994,1733.84384399231
AGO,1995,1930.79950949125
AGO,1996,2122.96845868156
AGO,1997,2205.29400017451
AGO,1998,2235.39017194206
AGO,1999,2211.12993969616
AGO,2000,2205.20533780581
AGO,2001,2223.33463308956
AGO,2002,2444.41778235176
AGO,2003,2433.86155040755
AGO,2004,2608.7840447081
AGO,2005,2896.55472912948
AGO,2006,3116.18103865483
AGO,2007,3424.37170191088
AGO,2008,3668.07989214814
AGO,2009,3565.05693638622
AGO,2010,3587.88379824396
AGO,2011,3579.95990738589
AGO,2012,3748.45065461021
AGO,2013,3796.88218936433
AGO,2014,3843.19787714916
AGO,2015,3748.32011771476
AGO,2016,3530.31067153378
AGO,2017,3409.93030259958
AGO,2018,3233.90623484048
AGO,2019,3111.15769874335
ALB,1980,1992.29193141135
ALB,1981,2064.98366201803
ALB,1982,2081.41762946956
ALB,1983,2060.25372979627
ALB,1984,1992.11089530965
ALB,1985,1986.32191372469
ALB,1986,2058.12060889689
ALB,1987,2001.53265726801
ALB,1988,1936.2322073095
ALB,1989,2070.28951506789
ALB,1990,1838.66748471688
ALB,1991,1331.80531341432
ALB,1992,1243.60582446625
ALB,1993,1370.82607057959
ALB,1994,1493.78590178292
ALB,1995,1703.28184475531
ALB,1996,1869.86587314624
ALB,1997,1676.12710708271
ALB,1998,1835.6466813013
ALB,1999,2085.42599716821
ALB,2000,2244.62463172571
ALB,2001,2453.62441365203
ALB,2002,2572.72143217486
ALB,2003,2725.17138911963
ALB,2004,2887.37034243453
ALB,2005,3062.67388299547
ALB,2006,3263.90171311883
ALB,2007,3485.32240934607
ALB,2008,3775.58131429173
ALB,2009,3928.45039149695
ALB,2010,4094.3503344202
ALB,2011,4209.87480089435
ALB,2012,4276.60790388367
ALB,2013,4327.37995998728
ALB,2014,4413.29689127908
ALB,2015,4524.3730858712
ALB,2016,4681.82656299266
ALB,2017,4864.31061630449
ALB,2018,5074.85722194352
ALB,2019,5210.68829038413
AND,1970,41701.5444268705
AND,1971,41449.7985565243
AND,1972,42605.7949944759
AND,1973,43744.396232266
