ISO,MAX_sat
AFG,464.842786731611
AGO,999.99999999971
ALB,623.3855316711237
AND,623.3855316711237
ARE,535.7421558379726
ARG,999.9999135923395
ARM,535.7421558379726
AUS,999.8359773741117
AUT,650.4367133164886
AZE,535.7421558379726
BDI,771.4356594992365
BEL,650.4367133164886
BEN,550.475546232234
BFA,550.475546232234
BGD,464.842786731611
BGR,939.2989678714952
BHR,535.7421558379726
BHS,999.999999605772
BIH,623.3855316711237
BLR,939.2989678714952
BLZ,532.3644069488184
BMU,999.9999999999983
BOL,999.9999135923395
BRA,999.9999135923395
BRB,999.999999605772
BRN,404.50795567298854
BWA,336.3077884349672
CAN,999.9999999999983
CHE,650.4367133164886
CHL,999.9999135923395
CHN,503.70328470497236
CIV,550.475546232234
CMR,999.99999999971
COD,999.99999999971
COL,999.9999135923395
CRI,532.3644069488184
CUB,999.999999605772
CYP,535.7421558379726
CZE,939.2989678714952
DEU,650.4367133164886
DNK,887.4335504566286
DOM,999.999999605772
DZA,272.4991836000881
ECU,999.9999135923395
EGY,272.4991836000881
ESP,623.3855316711237
EST,887.4335504566286
ETH,771.4356594992365
FIN,887.4335504566286
FRA,650.4367133164886
GBR,887.4335504566286
GEO,535.7421558379726
GHA,550.475546232234
GRC,623.3855316711237
GTM,532.3644069488184
GUM,879.5085380938343
HKG,503.70328470497236
HND,532.3644069488184
HRV,623.3855316711237
HTI,999.999999605772
HUN,939.2989678714952
IDN,404.50795567298854
IND,464.842786731611
IRL,887.4335504566286
IRN,464.842786731611
IRQ,535.7421558379726
ISL,887.4335504566286
ISR,535.7421558379726
ITA,623.3855316711237
JAM,999.999999605772
JOR,535.7421558379726
JPN,503.70328470497236
KAZ,999.9999999973899
KEN,771.4356594992365
KGZ,999.9999999973899
KOR,503.70328470497236
KWT,535.7421558379726
LBN,535.7421558379726
LBR,550.475546232234
LBY,272.4991836000881
LKA,464.842786731611
LTU,887.4335504566286
LUX,650.4367133164886
LVA,887.4335504566286
MAR,272.4991836000881
MDA,939.2989678714952
MDG,771.4356594992365
MEX,532.3644069488184
MKD,623.3855316711237
MLI,550.475546232234
MLT,623.3855316711237
MNE,623.3855316711237
MOZ,771.4356594992365
MRT,550.475546232234
MUS,771.4356594992365
MWI,771.4356594992365
MYS,404.50795567298854
NGA,550.475546232234
NIC,532.3644069488184
NLD,650.4367133164886
NOR,887.4335504566286
NZL,999.8359773741117
OMN,535.7421558379726
PAK,464.842786731611
PAN,532.3644069488184
PER,999.9999135923395
PHL,404.50795567298854
POL,939.2989678714952
PRI,999.999999605772
PRT,623.3855316711237
PRY,999.9999135923395
PSE,535.7421558379726
QAT,535.7421558379726
ROU,939.2989678714952
RUS,939.2989678714952
SAU,535.7421558379726
SDN,272.4991836000881
SEN,550.475546232234
SGP,404.50795567298854
SLV,532.3644069488184
SRB,623.3855316711237
SUR,999.9999135923395
SVK,939.2989678714952
SVN,623.3855316711237
SWE,887.4335504566286
TGO,550.475546232234
THA,404.50795567298854
TJK,999.9999999973899
TKM,999.9999999973899
TTO,999.999999605772
TUN,272.4991836000881
TUR,535.7421558379726
TZA,771.4356594992365
UGA,771.4356594992365
UKR,939.2989678714952
URY,999.9999135923395
USA,999.9999999999983
UZB,999.9999999973899
VEN,999.9999135923395
VNM,404.50795567298854
YEM,535.7421558379726
ZAF,336.3077884349672
ZMB,771.4356594992365
ZWE,771.4356594992365
