ISO,VEHC_mid
AFG,4.016291839269635
AGO,5.213626122500671
ALB,4.056240916770676
AND,4.056240916770676
ARE,3.2871565651813723
ARG,4.7982492671483215
ARM,3.2871565651813723
AUS,6.389923724440783
AUT,3.4486033375382363
AZE,3.2871565651813723
BDI,5.1467407055383685
BEL,3.4486033375382363
BEN,4.815486495646008
BFA,4.815486495646008
BGD,4.016291839269635
BGR,3.144653614623605
BHR,3.2871565651813723
BHS,4.0520455757089415
BIH,4.056240916770676
BLR,3.144653614623605
BLZ,4.181615651523181
BMU,2.5024309621436904
BOL,4.7982492671483215
BRA,4.7982492671483215
BRB,4.0520455757089415
BRN,4.576927135186169
BWA,9.997182586736944
CAN,2.5024309621436904
CHE,3.4486033375382363
CHL,4.7982492671483215
CHN,5.054678075036271
CIV,4.815486495646008
CMR,5.213626122500671
COD,5.213626122500671
COL,4.7982492671483215
CRI,4.181615651523181
CUB,4.0520455757089415
CYP,3.2871565651813723
CZE,3.144653614623605
DEU,3.4486033375382363
DNK,2.0082809891099553
DOM,4.0520455757089415
DZA,2.7082618585162392
ECU,4.7982492671483215
EGY,2.7082618585162392
ESP,4.056240916770676
EST,2.0082809891099553
ETH,5.1467407055383685
FIN,2.0082809891099553
FRA,3.4486033375382363
GBR,2.0082809891099553
GEO,3.2871565651813723
GHA,4.815486495646008
GRC,4.056240916770676
GTM,4.181615651523181
GUM,9.999625910123346
HKG,5.054678075036271
HND,4.181615651523181
HRV,4.056240916770676
HTI,4.0520455757089415
HUN,3.144653614623605
IDN,4.576927135186169
IND,4.016291839269635
IRL,2.0082809891099553
IRN,4.016291839269635
IRQ,3.2871565651813723
ISL,2.0082809891099553
ISR,3.2871565651813723
ITA,4.056240916770676
JAM,4.0520455757089415
JOR,3.2871565651813723
JPN,5.054678075036271
KAZ,4.308257152048131
KEN,5.1467407055383685
KGZ,4.308257152048131
KOR,5.054678075036271
KWT,3.2871565651813723
LBN,3.2871565651813723
LBR,4.815486495646008
LBY,2.7082618585162392
LKA,4.016291839269635
LTU,2.0082809891099553
LUX,3.4486033375382363
LVA,2.0082809891099553
MAR,2.7082618585162392
MDA,3.144653614623605
MDG,5.1467407055383685
MEX,4.181615651523181
MKD,4.056240916770676
MLI,4.815486495646008
MLT,4.056240916770676
MNE,4.056240916770676
MOZ,5.1467407055383685
MRT,4.815486495646008
MUS,5.1467407055383685
MWI,5.1467407055383685
MYS,4.576927135186169
NGA,4.815486495646008
NIC,4.181615651523181
NLD,3.4486033375382363
NOR,2.0082809891099553
NZL,6.389923724440783
OMN,3.2871565651813723
PAK,4.016291839269635
PAN,4.181615651523181
PER,4.7982492671483215
PHL,4.576927135186169
POL,3.144653614623605
PRI,4.0520455757089415
PRT,4.056240916770676
PRY,4.7982492671483215
PSE,3.2871565651813723
QAT,3.2871565651813723
ROU,3.144653614623605
RUS,3.144653614623605
SAU,3.2871565651813723
SDN,2.7082618585162392
SEN,4.815486495646008
SGP,4.576927135186169
SLV,4.181615651523181
SRB,4.056240916770676
SUR,4.7982492671483215
SVK,3.144653614623605
SVN,4.056240916770676
SWE,2.0082809891099553
TGO,4.815486495646008
THA,4.576927135186169
TJK,4.308257152048131
TKM,4.308257152048131
TTO,4.0520455757089415
TUN,2.7082618585162392
TUR,3.2871565651813723
TZA,5.1467407055383685
UGA,5.1467407055383685
UKR,3.144653614623605
URY,4.7982492671483215
USA,2.5024309621436904
UZB,4.308257152048131
VEN,4.7982492671483215
VNM,4.576927135186169
YEM,3.2871565651813723
ZAF,9.997182586736944
ZMB,5.1467407055383685
ZWE,5.1467407055383685
